boolean is Datatype.
isContributingFactorInvolvedInFall InverseOf involvesContributingFactor.
isContributingFactorThatCauses is ObjectProperty.
isContributingFactorThatCauses InverseOf isCausedByContributingFactor.
isFailureInvolvedInFall is ObjectProperty.
isFailureInvolvedInFall InverseOf involvesFailure.
isFailureThatCauses is ObjectProperty.
isFailureThatCauses InverseOf isCausedByFailure.
isInjuredIn is ObjectProperty.
isInjuredIn InverseOf injures.
isInvolvedInFall is ObjectProperty.
isInvolvedInFall InverseOf involves.
isObservedByPersonPlayingRole is ObjectProperty.
isObservedByPersonPlayingRole Domain Fall.
isObservedByPersonPlayingRole Range PersonPlayingRole.
isObservedByPersonPlayingRole InverseOf observes.
isPersonInvolvedInFall is ObjectProperty.
isPersonInvolvedInFall InverseOf involvesPersonPlayingRole.
isPersonWhoCauses is ObjectProperty.
isPersonWhoCauses InverseOf isCausedByPersonPlayingRole.
observes is ObjectProperty.
observes InverseOf isObservedByPersonPlayingRole.
resultsInInjury is ObjectProperty.
resultsInInjury Domain Fall.
resultsInInjury Range Injury.
isAControlledFall is DataProperty.
isAControlledFall Domain Fall.
isAControlledFall Range boolean.
AlarmMat is Class.
AlarmMat SubClassOf StructuralDevice.
ArmRestraint is Class.
ArmRestraint SubClassOf Restraint.
AssistanceFromMobilityAids is Class.
AssistanceFromMobilityAids SubClassOf StructuralDevice.
BalanceFactor is Class.
BedChairInHeightAppropriatePosition is Class.
BedChairInHeightAppropriatePosition SubClassOf EnvironmentalFallMinimisationStrategy.
BedInLowPosition is Class.
BedInLowPosition SubClassOf EnvironmentalFallMinimisationStrategy.
Bedrails is Class.
Bedrails SubClassOf StructuralDevice.
Braden is Class.
CalciumSupplement is Class.
CalciumSupplement SubClassOf ProceduralDevice.
CallBell is Class.
CallBell SubClassOf StructuralDevice.
CallBellWithinReach is Class.
CallBellWithinReach SubClassOf EnvironmentalFallMinimisationStrategy.
ChemicalRestraint is Class.
ChemicalRestraint SubClassOf ProceduralDevice.
ClinicalRiskAssessment is Class.
ClinicalRiskAssessment DisjointWith FormalRiskAssessment.
DeleriumFactor is Class.
Douglas is Class.
Downton is Class.
DrinkWithinReach is Class.
DrinkWithinReach SubClassOf EnvironmentalFallMinimisationStrategy.
DutchConsensusScoreCbo is Class.
EnvironmentalFallMinimisationStrategy is Class.
EnvironmentalFallMinimisationStrategy SubClassOf FallMinimisationStrategy.
FallAlertInPlace is Class.
FallAlertInPlace SubClassOf ProceduralDevice.
FallMinimisationStrategy is Class.
FallMinimisationStrategy SubClassOf MinimisationStrategy.
FallMinimisationStrategy DisjointWith PressureUlcerMinimisationStrategy.
FallRiskAssessment is Class.
FallRiskAssessment SubClassOf RiskAssessment.
FallRiskAssessment DisjointWith PressureUlcerRiskAssessment.
FallRiskAssessmentTool is Class.
FallRiskAssessmentTool SubClassOf RiskAssessmentTool.
FallRiskAssessmentTool DisjointWith PressureUlcerRiskAssessmentTool.
Fibre is Class.
Fibre SubClassOf SupportiveSurfaceEquipment.
Foam is Class.
Foam SubClassOf SupportiveSurfaceEquipment.
FormalRiskAssessment is Class.
FormalRiskAssessment SubClassOf PressureUlcerRiskAssessment.
FormalRiskAssessment DisjointWith ClinicalRiskAssessment.
Gosnell is Class.
HipProtector is Class.
HipProtector SubClassOf StructuralDevice.
HistoryOfFallsFactor is Class.
HistoryOfFallsFactor SubClassOf ModifiableRiskFactor.
HumanRestraint is Class.
HumanRestraint SubClassOf ProceduralDevice.
ImpactReducingFloormat is Class.
ImpactReducingFloormat SubClassOf StructuralDevice.
Innes is Class.
Innes SubClassOf NumericalTool.
Knoll is Class.
LegRestraint is Class.
LegRestraint SubClassOf Restraint.
Lighting is Class.
Lighting SubClassOf EnvironmentalFallMinimisationStrategy.
MedicationModified is Class.
MedicationModified SubClassOf ProceduralDevice.
MedicationsFactor is Class.
MinimisationStrategy is Class.
MobilityAidCalipers is Class.
MobilityAidCalipers SubClassOf AssistanceFromMobilityAids.
MobilityAidCrutches is Class.
MobilityAidCrutches SubClassOf AssistanceFromMobilityAids.
MobilityAidLifter is Class.
MobilityAidLifter SubClassOf AssistanceFromMobilityAids.
MobilityAidProstheticDevice is Class.
MobilityAidProstheticDevice SubClassOf AssistanceFromMobilityAids.
MobilityAidWheelchair is Class.
MobilityAidWheelchair SubClassOf AssistanceFromMobilityAids.
MobilityFactor is Class.
MobilityTransferPlan is Class.
MobilityTransferPlan SubClassOf ProceduralDevice.
ModifiableRiskFactor is Class.
Morse is Class.
Norton is Class.
Norton SubClassOf PressureUlcerRiskAssessmentTool.
NumericalTool is Class.
NumericalTool SubClassOf FallRiskAssessmentTool.
Orthotics is Class.
Orthotics SubClassOf AssistanceFromMobilityAids.
PatientFamilyEducation is Class.
PatientFamilyEducation SubClassOf ProceduralDevice.
PatientPositioningAid is Class.
PatientSituatedCloseToNursesStation is Class.
PatientSituatedCloseToNursesStation SubClassOf EnvironmentalFallMinimisationStrategy.
PersonalAlert is Class.
PersonalAlert SubClassOf StructuralDevice.
PhysicalOccupationalTherapy is Class.
PhysicalOccupationalTherapy SubClassOf ProceduralDevice.
Pillow is Class.
Pillow SubClassOf PatientPositioningAid.
PressureSorePredictionScorePsps is Class.
PressureUlcerMinimisationStrategy is Class.
PressureUlcerMinimisationStrategy DisjointWith FallMinimisationStrategy.
PressureUlcerRiskAssessment is Class.
PressureUlcerRiskAssessment DisjointWith FallRiskAssessment.
PressureUlcerRiskAssessmentTool is Class.
PressureUlcerRiskAssessmentTool DisjointWith FallRiskAssessmentTool.
ProceduralDevice is Class.
ProceduralDevice SubClassOf FallMinimisationStrategy.
ReferralForFurtherAssessment is Class.
ReferralForFurtherAssessment SubClassOf ProceduralDevice.
ResidentAssessmentInstrument is Class.
Restraint is Class.
Restraint SubClassOf StructuralDevice.
RiskAssessment is Class.
RiskAssessmentResult is Class.
RiskAssessmentTool is Class.
SafetyHelmet is Class.
SafetyHelmet SubClassOf StructuralDevice.
Schimd is Class.
Schimd SubClassOf NumericalTool.
SeatbeltRestraint is Class.
SeatbeltRestraint SubClassOf Restraint.
SedationFactor is Class.
SitterInUse is Class.
SitterInUse SubClassOf ProceduralDevice.
SkinInspection is Class.
SlippingHazardsManaged is Class.
SlippingHazardsManaged SubClassOf EnvironmentalFallMinimisationStrategy.
Stratify is Class.
StructuralDevice is Class.
StructuralDevice SubClassOf FallMinimisationStrategy.
SupportiveSurfaceEquipment is Class.
Tinetti is Class.
TinettiAssessmentTool is Class.
ToiletingRegime is Class.
ToiletingRegime SubClassOf ProceduralDevice.
TorsoRestraint is Class.
TorsoRestraint SubClassOf Restraint.
TrippingHazardsManaged is Class.
TrippingHazardsManaged SubClassOf EnvironmentalFallMinimisationStrategy.
UrgeIncontinenceFactor is Class.
VisualAid is Class.
VisualAid SubClassOf EnvironmentalFallMinimisationStrategy.
WaistRestraint is Class.
WaistRestraint SubClassOf Restraint.
WalkingFrame is Class.
WalkingFrame SubClassOf AssistanceFromMobilityAids.
WalkingStick is Class.
WalkingStick SubClassOf AssistanceFromMobilityAids.
WalkingTripod is Class.
WalkingTripod SubClassOf AssistanceFromMobilityAids.
Waterlow is Class.
Waterlow SubClassOf PressureUlcerRiskAssessmentTool.
Wedge is Class.
Wedge SubClassOf PatientPositioningAid.
www.ICPS/ontologies/Activity.# is Class.
www.ICPS/ontologies/AmelioratingActions.# is Class.
OrganisationRelated is www.ICPS/ontologies/AmelioratingActions.#.
www.ICPS/ontologies/AmelioratingActions.# is Class.
PatientRelated is www.ICPS/ontologies/AmelioratingActions.#.
www.ICPS/ontologies/AmelioratingActions.# is Class.
www.ICPS/ontologies/AmelioratingActions.# is Class.
www.ICPS/ontologies/AmelioratingActions.# is Class.
OrganisationRelated is www.ICPS/ontologies/AmelioratingActions.#.
HumanBodyAnatomicalPart is Class.
HumanBodySide is Class.
Balcony is Class.
Balcony SubClassOf BuildingStructure.
BuildingStructure is Class.
FlagPole is Class.
FlagPole SubClassOf BuildingStructure.
Floor is Class.
Floor SubClassOf BuildingStructure.
FloorSurface is Class.
Thing is www.w3.org/2002/07/#.
Scaffolding is Class.
Scaffolding SubClassOf BuildingStructure.
Wall is Class.
Wall SubClassOf BuildingStructure.
www.ICPS/ontologies/Clothing.# is Class.
Thing is www.w3.org/2002/07/#.
Clothing, www.ICPS/ontologies/HospitalEquipment.# is www.ICPS/ontologies/Clothing.#.
www.ICPS/ontologies/Clothing.# is Class.
BedLinen is www.ICPS/ontologies/Clothing.#.
www.ICPS/ontologies/Clothing.# is Class.
BedLinen is www.ICPS/ontologies/Clothing.#.
www.ICPS/ontologies/Detection.# is Class.
www.ICPS/ontologies/Detection.# is Class.
DetectionProcess is www.ICPS/ontologies/Detection.#.
www.ICPS/ontologies/Furniture.# is Class.
www.ICPS/ontologies/HospitalEquipment.# is Class.
BedLinen is www.ICPS/ontologies/Clothing.#.
www.ICPS/ontologies/HospitalEquipment.# is Class.
TherapeuticEquipment is www.ICPS/ontologies/HospitalEquipment.#.
www.ICPS/ontologies/HospitalEquipment.# is Class.
BedLinen is www.ICPS/ontologies/Clothing.#.
www.ICPS/ontologies/HospitalEquipment.# is Class.
TherapeuticEquipment is www.ICPS/ontologies/HospitalEquipment.#.
www.ICPS/ontologies/HospitalEquipment.# is Class.
Detection is Class.
www.ICPS/ontologies/Medication.# is Class.
www.ICPS/ontologies/Medication.# is Class.
www.ICPS/ontologies/MitigatingFactors.# is Class.
OrganisationalMitigatingFactor is www.ICPS/ontologies/MitigatingFactors.#.
www.ICPS/ontologies/MitigatingFactors.# is Class.
OrganisationalMitigatingFactor is www.ICPS/ontologies/MitigatingFactors.#.
www.ICPS/ontologies/MitigatingFactors.# is Class.
OrganisationalMitigatingFactor is www.ICPS/ontologies/MitigatingFactors.#.
www.ICPS/ontologies/MitigatingFactors.# is Class.
OrganisationalMitigatingFactor is www.ICPS/ontologies/MitigatingFactors.#.
www.ICPS/ontologies/MitigatingFactors.# is Class.
OrganisationalMitigatingFactor is www.ICPS/ontologies/MitigatingFactors.#.
www.ICPS/ontologies/MitigatingFactors.# is Class.
OrganisationalMitigatingFactor is www.ICPS/ontologies/MitigatingFactors.#.
www.ICPS/ontologies/MitigatingFactors.# is Class.
StaffMitigatingFactor is www.ICPS/ontologies/MitigatingFactors.#.
www.ICPS/ontologies/MitigatingFactors.# is Class.
PatientMitigatingFactor is www.ICPS/ontologies/MitigatingFactors.#.
www.ICPS/ontologies/MitigatingFactors.# is Class.
PatientMitigatingFactor is www.ICPS/ontologies/MitigatingFactors.#.
www.ICPS/ontologies/MitigatingFactors.# is Class.
www.ICPS/ontologies/MitigatingFactors.# is Class.
MitigatingFactor is www.ICPS/ontologies/MitigatingFactors.#.
www.ICPS/ontologies/MitigatingFactors.# is Class.
PatientMitigatingFactor is www.ICPS/ontologies/MitigatingFactors.#.
www.ICPS/ontologies/MitigatingFactors.# is Class.
www.ICPS/ontologies/MitigatingFactors.# is Class.
OrganisationalMitigatingFactor is www.ICPS/ontologies/MitigatingFactors.#.
www.ICPS/ontologies/MitigatingFactors.# is Class.
OrganisationalMitigatingFactor is www.ICPS/ontologies/MitigatingFactors.#.
www.ICPS/ontologies/MitigatingFactors.# is Class.
StaffMitigatingFactor is www.ICPS/ontologies/MitigatingFactors.#.
www.ICPS/ontologies/MitigatingFactors.# is Class.
AdditionalEquipmentRequired is Class.
AdditionalEquipmentRequired SubClassOf IncreaseInRequiredResourceAllocationForPatient.
AdditionalStaffRequired is Class.
AdditionalStaffRequired SubClassOf IncreaseInRequiredResourceAllocationForPatient.
AdditionalTest is Class.
AdditionalTest SubClassOf IncreaseInRequiredResourceAllocationForPatient.
AdditionalTreatment is Class.
AdditionalTreatment SubClassOf IncreaseInRequiredResourceAllocationForPatient.
AdmissionToSpecialCareArea is Class.
AdmissionToSpecialCareArea SubClassOf IncreaseInRequiredResourceAllocationForPatient.
DisruptedDelaysForOtherPatients is Class.
DisruptedDelaysForOtherPatients SubClassOf IncreaseInRequiredResourceAllocationForPatient.
DisruptedWorkflowForOtherPatients is Class.
DisruptedWorkflowForOtherPatients SubClassOf IncreaseInRequiredResourceAllocationForPatient.
FormalComplaint is Class.
FormalComplaint SubClassOf OrganizationalOutcome.
IncreaseInRequiredResourceAllocationForPatient is Class.
IncreaseInRequiredResourceAllocationForPatient SubClassOf OrganizationalOutcome.
IncreasedLengthOfStay is Class.
IncreasedLengthOfStay SubClassOf IncreaseInRequiredResourceAllocationForPatient.
LegalRamification is Class.
LegalRamification SubClassOf OrganizationalOutcome.
OrganizationalOutcome is Class.
www.ICPS/ontologies/PatientCharacteristics.# is Class.
PrimaryDiagnosis is www.ICPS/ontologies/PatientCharacteristics.#.
www.ICPS/ontologies/PatientCharacteristics.# is Class.
PrimaryDiagnosis is www.ICPS/ontologies/PatientCharacteristics.#.
www.ICPS/ontologies/PatientCharacteristics.# is Class.
PrimaryDiagnosis is www.ICPS/ontologies/PatientCharacteristics.#.
www.ICPS/ontologies/PatientCharacteristics.# is Class.
PrimaryDiagnosis is www.ICPS/ontologies/PatientCharacteristics.#.
www.ICPS/ontologies/PatientCharacteristics.# is Class.
PrimaryDiagnosis is www.ICPS/ontologies/PatientCharacteristics.#.
www.ICPS/ontologies/PatientCharacteristics.# is Class.
PrimaryDiagnosis is www.ICPS/ontologies/PatientCharacteristics.#.
www.ICPS/ontologies/PatientCharacteristics.# is Class.
PrimaryDiagnosis is www.ICPS/ontologies/PatientCharacteristics.#.
www.ICPS/ontologies/PatientCharacteristics.# is Class.
PrimaryDiagnosis is www.ICPS/ontologies/PatientCharacteristics.#.
www.ICPS/ontologies/PatientCharacteristics.# is Class.
PrimaryDiagnosis is www.ICPS/ontologies/PatientCharacteristics.#.
www.ICPS/ontologies/PatientCharacteristics.# is Class.
PrimaryDiagnosis is www.ICPS/ontologies/PatientCharacteristics.#.
www.ICPS/ontologies/PatientCharacteristics.# is Class.
Harm is Class.
Injury is Class.
PressureUlcerStage is Class.
AlarmMatFailure is Class.
BedrailsFailure is Class.
Blood-BloodProduct is Class.
Blood-BloodProduct SubClassOf Incident.
CallBellFailure is Class.
CallBellFailure SubClassOf RestraintSafetyDeviceFailure.
CareSetting is Class.
ClinicalAdministration is Class.
ClinicalProcess is Class.
Collapse is Class.
Collapse SubClassOf Fall.
ConfirmedStatusOfFall is Class.
ConfirmedStatusOfFall is equivalent to {confirmedFall , suspectedFall}.
Thing is www.w3.org/2002/07/#.
Thing DisjointWith suspectedFall}.
Thing DisjointWith {confirmedFall.
Documentation is Class.
Fall is Class.
Fall SubClassOf Incident,.
Thing) is (hasFallMechanism only FallMechanism) and (hasFallMechanism max 1 www.w3.org/2002/07/#.
FallHeight is Class.
FallHeight is equivalent to {fallFromAHeight , fallOnTheSameLevel}.
Thing is www.w3.org/2002/07/#.
FallMechanism is Class.
Thing is www.w3.org/2002/07/#.
FinalHealthCareFacilityStay is Class.
FinalHealthCareFacilityStay SubClassOf HealthCareFacilityStay,.
Thing) is (hasNextHealthCareFacilityStay only HealthCareFacilityStay) and (hasNextHealthCareFacilityStay max 0 www.w3.org/2002/07/#.
FinalPressureUlcerStageSequenceItem is Class.
FinalPressureUlcerStageSequenceItem SubClassOf PressureUlcerStageSequenceItem,.
Thing) is (hasNextPressureUlcerStageSequenceItem only PressureUlcerStageSequenceItem) and (hasNextPressureUlcerStageSequenceItem max 0 www.w3.org/2002/07/#.
Gender is Class.
HasMinimisationStrategyToPreventItRelation is Class.
HealCareAssociatedInfection is Class.
HealthCareFacilityStay is Class.
HipProtectorFailure is Class.
HipProtectorFailure SubClassOf RestraintSafetyDeviceFailure.
Hospital is Class.
Hospital SubClassOf CareSetting.
ImpactFloormatFailure is Class.
ImpactFloormatFailure SubClassOf RestraintSafetyDeviceFailure.
Incident is Class.
Infrastructure-Building-Fixture is Class.
LossOfBalance is Class.
LossOfBalance SubClassOf Fall.
MedicalDevice-Equipment is Class.
Medication-IVFluid is Class.
MobilityAidFailure is Class.
Nutrition is Class.
Oxigen-Gas-Vapour is Class.
Oxigen-Gas-Vapour SubClassOf Incident.
Pathology-Laboratory is Class.
PatientAccident is Class.
PatientBehaviour is Class.
PersonPlayingRole is Class.
PersonalAlertFailure is Class.
PressureUlcer is Class.
PressureUlcerStageSequenceItem is Class.
Resource-OrganizationalManagement is Class.
Resource-OrganizationalManagement SubClassOf Incident.
RestraintFailure is Class.
RestraintSafetyDeviceFailure is Class.
SafetyHelmetFailure is Class.
Slip is Class.
Slip SubClassOf Fall.
Trip is Class.
Trip SubClassOf Fall.
Patient is Class.
Person is Class.
HospitalArea is Class.
BedLinen is www.ICPS/ontologies/Clothing.#.
HospitalBuilding is Class.
AssociatedState is Class.
AssociatedState DisjointWith VirtuallyAnnexedTerritory.
AssociatedState DisjointWith FullyDependentTerritory.
Country is Class.
FullyDependentTerritory is Class.
FullyDependentTerritory SubClassOf Country.
FullyDependentTerritory DisjointWith VirtuallyAnnexedTerritory.
FullyDependentTerritory DisjointWith VirtualTerritory.
FullyDependentTerritory DisjointWith UnclaimableTerritory.
FullyDependentTerritory DisjointWith OccupiedTerritory.
FullyDependentTerritory DisjointWith IndependentState.
FullyDependentTerritory DisjointWith IndependenceDisputedState.
FullyDependentTerritory DisjointWith AssociatedState.
ISO3166DefinedCountry is Class.
IndependenceDisputedState is Class.
IndependenceDisputedState DisjointWith VirtuallyAnnexedTerritory.
IndependenceDisputedState DisjointWith FullyDependentTerritory.
IndependentState is Class.
IndependentState DisjointWith VirtuallyAnnexedTerritory.
IndependentState DisjointWith FullyDependentTerritory.
OccupiedTerritory is Class.
OccupiedTerritory DisjointWith VirtuallyAnnexedTerritory.
OccupiedTerritory DisjointWith FullyDependentTerritory.
UnclaimableTerritory is Class.
UnclaimableTerritory DisjointWith VirtuallyAnnexedTerritory.
UnclaimableTerritory DisjointWith FullyDependentTerritory.
VirtualTerritory is Class.
VirtualTerritory DisjointWith VirtuallyAnnexedTerritory.
VirtualTerritory DisjointWith FullyDependentTerritory.
VirtuallyAnnexedTerritory is Class.
VirtuallyAnnexedTerritory SubClassOf Country.
VirtuallyAnnexedTerritory DisjointWith VirtualTerritory.
VirtuallyAnnexedTerritory DisjointWith UnclaimableTerritory.
VirtuallyAnnexedTerritory DisjointWith OccupiedTerritory.
VirtuallyAnnexedTerritory DisjointWith IndependentState.
VirtuallyAnnexedTerritory DisjointWith IndependenceDisputedState.
VirtuallyAnnexedTerritory DisjointWith FullyDependentTerritory.
VirtuallyAnnexedTerritory DisjointWith AssociatedState.
www.ontologydesignpatterns.org/cp//objectrole.# is Class.
www.w3.org/2002/07/# is Class.
CalendarClockDescription is Class.
Event is Class.
Instant is Class.
Instant SubClassOf InstantThing,.
Instant SubClassOf TemporalEntity.
Instant DisjointWith ProperInterval.
InstantThing is Class.
Interval is Class.
Interval SubClassOf TemporalEntity.
IntervalEvent is Class.
IntervalEvent SubClassOf Event,.
IntervalEvent SubClassOf IntervalThing.
IntervalThing is Class.
ProperInterval is Class.
ProperInterval DisjointWith Instant.
TemporalEntity is Class.
TemporalEntity is equivalent to Instant or Interval.
TemporalEntity SubClassOf TemporalThing.
TemporalThing is Class.
TimeZone is Class.
Thing is www.w3.org/2002/07/#.
asphalt is Individual.
asphalt Types FloorSurface.
carpet is Individual.
carpet Types FloorSurface.
cork is Individual.
cork Types FloorSurface.
floorBoards is Individual.
floorBoards Types FloorSurface.
grass is Individual.
grass Types FloorSurface.
rubber is Individual.
rubber Types FloorSurface.
slate is Individual.
slate Types FloorSurface.
terrazo is Individual.
terrazo Types FloorSurface.
tiles is Individual.
tiles Types FloorSurface.
vinyl is Individual.
vinyl Types FloorSurface.
www.ICPS/ontologies/Clothing.# is Individual.
BedLinen is www.ICPS/ontologies/Clothing.#.
www.ICPS/ontologies/Clothing.# is Individual.
Sheet is www.ICPS/ontologies/Clothing.#.
www.ICPS/ontologies/Clothing.# is Individual.
BedLinen is www.ICPS/ontologies/Clothing.#.
www.ICPS/ontologies/Clothing.# is Individual.
Sheet is www.ICPS/ontologies/Clothing.#.
callBellDamaged is Individual.
callBellDamaged Types CallBellFailure.
callBellDisconnected is Individual.
callBellDisconnected Types CallBellFailure.
callBellFaulty is Individual.
callBellFaulty Types CallBellFailure.
callBellNotHeard is Individual.
callBellNotHeard Types CallBellFailure.
callBellNotProvided is Individual.
callBellNotProvided Types CallBellFailure.
callBellOutOfReach is Individual.
callBellOutOfReach Types CallBellFailure.
callBellProvidedButNotUsed is Individual.
callBellProvidedButNotUsed Types CallBellFailure.
collapse is Individual.
collapse Types FallMechanism.
confirmedFall is Individual.
confirmedFall Types ConfirmedStatusOfFall.
fallFromAHeight is Individual.
fallFromAHeight Types FallHeight.
fallOnTheSameLevel is Individual.
fallOnTheSameLevel Types FallHeight.
hipShieldsIncorrectSize is Individual.
hipShieldsIncorrectSize Types HipProtectorFailure.
hipShieldsIncorrectWorn is Individual.
hipShieldsIncorrectWorn Types HipProtectorFailure.
hipShieldsNotInPlace is Individual.
hipShieldsNotInPlace Types HipProtectorFailure.
impactFloorMatDamage is Individual.
impactFloorMatDamage Types ImpactFloormatFailure.
impactFloorMatNotUsedWhenIndicated is Individual.
impactFloorMatNotUsedWhenIndicated Types ImpactFloormatFailure.
impactFloorMatPlacedInIncorrectPosition is Individual.
impactFloorMatPlacedInIncorrectPosition Types ImpactFloormatFailure.
lossOfBalance is Individual.
lossOfBalance Types FallMechanism.
mistookOtherSwitchButtonForCallBell is Individual.
mistookOtherSwitchButtonForCallBell Types CallBellFailure.
slip is Individual.
slip Types FallMechanism.
stumble is Individual.
stumble Types FallMechanism.
suspectedFall is Individual.
suspectedFall Types ConfirmedStatusOfFall.
trip is Individual.
trip Types FallMechanism.
AlandIslands is Individual.
AlandIslands Types FullyDependentTerritory.
AmericanSamoa is Individual.
AmericanSamoa Types FullyDependentTerritory.
Anguilla is Individual.
Anguilla Types FullyDependentTerritory.
Aruba is Individual.
Aruba Types FullyDependentTerritory.
Bermuda is Individual.
Bermuda Types FullyDependentTerritory.
BouvetIsland is Individual.
BouvetIsland Types FullyDependentTerritory.
BritishIndianOceanTerritories is Individual.
BritishIndianOceanTerritories Types FullyDependentTerritory.
CaymanIslands is Individual.
CaymanIslands Types FullyDependentTerritory.
ChristmasIsland is Individual.
ChristmasIsland Types FullyDependentTerritory.
CocosIslands is Individual.
CocosIslands Types FullyDependentTerritory.
FalklandIslands is Individual.
FalklandIslands Types FullyDependentTerritory.
FaroeIslands is Individual.
FaroeIslands Types FullyDependentTerritory.
FrenchGuiana is Individual.
FrenchGuiana Types FullyDependentTerritory.
FrenchPolynesia is Individual.
FrenchPolynesia Types FullyDependentTerritory.
FrenchSouthernTerritories is Individual.
FrenchSouthernTerritories Types FullyDependentTerritory.
Gibraltar is Individual.
Gibraltar Types FullyDependentTerritory.
Greenland is Individual.
Greenland Types FullyDependentTerritory.
Guadeloupe is Individual.
Guadeloupe Types FullyDependentTerritory.
Guam is Individual.
Guam Types FullyDependentTerritory.
HeardIslandAndMcDonaldIslands is Individual.
HeardIslandAndMcDonaldIslands Types FullyDependentTerritory.
HongKong is Individual.
HongKong Types FullyDependentTerritory.
Macau is Individual.
Macau Types FullyDependentTerritory.
Martinique is Individual.
Martinique Types FullyDependentTerritory.
Mayotte is Individual.
Mayotte Types FullyDependentTerritory.
Montserrat is Individual.
Montserrat Types FullyDependentTerritory.
NetherlandsAntilles is Individual.
NetherlandsAntilles Types FullyDependentTerritory.
NewCaledonia is Individual.
NewCaledonia Types FullyDependentTerritory.
NorfolkIsland is Individual.
NorfolkIsland Types FullyDependentTerritory.
NorthernMarianaIslands is Individual.
NorthernMarianaIslands Types FullyDependentTerritory.
PitcairnIslands is Individual.
PitcairnIslands Types FullyDependentTerritory.
PuertoRico is Individual.
PuertoRico Types FullyDependentTerritory.
Reunion is Individual.
Reunion Types FullyDependentTerritory.
SaintHelena is Individual.
SaintHelena Types FullyDependentTerritory.
SaintPierreAndMiquelon is Individual.
SaintPierreAndMiquelon Types FullyDependentTerritory.
SouthGeorgiaAndTheSouthSandwichIslands is Individual.
SouthGeorgiaAndTheSouthSandwichIslands Types FullyDependentTerritory.
SvalbardAndJanMayenIslands is Individual.
SvalbardAndJanMayenIslands Types FullyDependentTerritory.
Tokelau is Individual.
Tokelau Types FullyDependentTerritory.
TurksAndCaicosIslands is Individual.
TurksAndCaicosIslands Types FullyDependentTerritory.
UnitedStatesMinorOutlyingIslands is Individual.
UnitedStatesMinorOutlyingIslands Types FullyDependentTerritory.
VirginIslandsBritish is Individual.
VirginIslandsBritish Types FullyDependentTerritory.
VirginIslandsUS is Individual.
VirginIslandsUS Types FullyDependentTerritory.
WallisAndFutunaIslands is Individual.
WallisAndFutunaIslands Types FullyDependentTerritory.
WesternSahara is Individual.
WesternSahara Types VirtuallyAnnexedTerritory.
