www.obofoundry.org/ro/ro.# is ObjectProperty
TMO_0103 SubClassOf TMO_0121
TMO_0104 is Class
TMO_0104 SubClassOf TMO_0099
TMO_0105 is Class
TMO_0105 SubClassOf TMO_0121
TMO_0106 is Class
TMO_0106 SubClassOf TMO_0089
TMO_0107 is Class
TMO_0107 SubClassOf TMO_0011
TMO_0110 is Class
TMO_0110 SubClassOf TMO_0120
TMO_0116 is Class
TMO_0116 SubClassOf TMO_0137
TMO_0119 is Class
TMO_0119 SubClassOf TMO_0159
TMO_0120 is Class
TMO_0120 SubClassOf TMO_0099
TMO_0121 is Class
TMO_0121 SubClassOf TMO_0099
TMO_0128 is Class
TMO_0128 SubClassOf TMO_0089
TMO_0129 is Class
TMO_0129 SubClassOf TMO_0128
TMO_0129 DisjointWith TMO_0130
TMO_0130 is Class
TMO_0130 SubClassOf TMO_0128
has_part some TMO_0130 is TMO_0129, www.obofoundry.org/ro/ro.#
TMO_0131 is Class
TMO_0131 SubClassOf TMO_0130
TMO_0132 is Class
TMO_0132 SubClassOf TMO_0130
TMO_0133 is Class
TMO_0133 SubClassOf TMO_0129
TMO_0134 is Class
TMO_0134 SubClassOf TMO_0129
TMO_0135 is Class
TMO_0135 SubClassOf TMO_0089
TMO_0136 is Class
TMO_0136 SubClassOf TMO_0135
TMO_0137 is Class
TMO_0137 SubClassOf IAO_0000030
TMO_0138 is Class
TMO_0138 SubClassOf TMO_0128,
has_part some TMO_0130, is www.obofoundry.org/ro/ro.#
has_part some is www.obofoundry.org/ro/ro.#
has_part some TMO_0130)), is (TMO_0130 and (www.obofoundry.org/ro/ro.#
has_part only (www.obofoundry.org/ro/ro.# is www.obofoundry.org/ro/ro.#
TMO_0141 is Class
TMO_0141 SubClassOf TMO_0138,
has_part only TMO_0129 is www.obofoundry.org/ro/ro.#
TMO_0142 is Class
TMO_0142 SubClassOf TMO_0135
TMO_0143 is Class
TMO_0143 SubClassOf TMO_0135
TMO_0146 is Class
TMO_0146 SubClassOf TMO_0099
TMO_0147 is Class
TMO_0147 SubClassOf TMO_0146
TMO_0149 is Class
TMO_0149 SubClassOf TMO_0146
TMO_0150 is Class
TMO_0150 SubClassOf TMO_0146
TMO_0151 is Class
TMO_0151 SubClassOf IAO_0000033
TMO_0157 is Class
TMO_0157 SubClassOf TMO_0158
TMO_0158 is Class
TMO_0158 SubClassOf TMO_0137
TMO_0159 is Class
TMO_0159 SubClassOf TMO_0158
TMO_0161 is Class
TMO_0161 SubClassOf TMO_0159
TMO_0164 is Class
TMO_0164 DisjointWith IAO_0000030
TMO_0165 is Class
TMO_0165 SubClassOf IAO_0000028
TMO_0171 is Class
TMO_0171 SubClassOf IAO_0000009
TMO_0176 is Class
TMO_0176 SubClassOf TMO_0158
TMO_0182 is Class
TMO_0182 SubClassOf TMO_0104
TMO_0183 is Class
TMO_0183 SubClassOf TMO_0104
TMO_0184 is Class
TMO_0184 SubClassOf TMO_0104
TMO_0188 is Class
TMO_0188 SubClassOf TMO_0104
TMO_0194 is Class
TMO_0194 SubClassOf TMO_0135
TMO_0195 is Class
TMO_0195 SubClassOf TMO_0194
TMO_0197 is Class
TMO_0197 SubClassOf TMO_0158
TMO_0221 is Class
TMO_0221 DisjointWith IAO_0000442
www.w3.org/2002/07/# is Class
