www.w3.org/2000/01/-schema# is AnnotationProperty.
CHEBI_100289 SubClassOf CHEBI_22712,.
CHEBI_100289 SubClassOf CHEBI_36820,.
CHEBI_100289 SubClassOf CHEBI_38777.
CHEBI_100316 is Class.
CHEBI_100316 SubClassOf CHEBI_33836.
CHEBI_100326 is Class.
CHEBI_100326 SubClassOf CHEBI_22712,.
CHEBI_100326 SubClassOf CHEBI_36820,.
CHEBI_100326 SubClassOf CHEBI_38777.
CHEBI_100340 is Class.
CHEBI_100340 SubClassOf CHEBI_26151.
CHEBI_100355 is Class.
CHEBI_100355 SubClassOf CHEBI_22712,.
CHEBI_100355 SubClassOf CHEBI_36820,.
CHEBI_100355 SubClassOf CHEBI_38777.
CHEBI_10036 is Class.
CHEBI_100405 is Class.
CHEBI_100405 SubClassOf CHEBI_13248.
CHEBI_10043 is Class.
CHEBI_100431 is Class.
CHEBI_100431 SubClassOf CHEBI_22712,.
CHEBI_100431 SubClassOf CHEBI_36820,.
CHEBI_100431 SubClassOf CHEBI_38777.
CHEBI_100437 is Class.
CHEBI_100437 SubClassOf CHEBI_22712,.
CHEBI_100437 SubClassOf CHEBI_36820,.
CHEBI_100437 SubClassOf CHEBI_38777.
CHEBI_100441 is Class.
CHEBI_100441 SubClassOf CHEBI_33836.
CHEBI_100444 is Class.
CHEBI_100444 SubClassOf CHEBI_33836.
CHEBI_100459 is Class.
CHEBI_100459 SubClassOf CHEBI_33836.
CHEBI_100499 is Class.
CHEBI_100499 SubClassOf CHEBI_26151.
CHEBI_100503 is Class.
CHEBI_100503 SubClassOf CHEBI_33836.
CHEBI_100571 is Class.
CHEBI_100571 SubClassOf CHEBI_13248.
CHEBI_100573 is Class.
CHEBI_100573 SubClassOf CHEBI_22712,.
CHEBI_100573 SubClassOf CHEBI_36820,.
CHEBI_100573 SubClassOf CHEBI_38777.
CHEBI_100579 is Class.
CHEBI_100579 SubClassOf CHEBI_26151.
CHEBI_100607 is Class.
CHEBI_100607 SubClassOf CHEBI_22712,.
CHEBI_100607 SubClassOf CHEBI_36820,.
CHEBI_100607 SubClassOf CHEBI_38777.
CHEBI_100642 is Class.
CHEBI_100642 SubClassOf CHEBI_26151.
CHEBI_100662 is Class.
CHEBI_100662 SubClassOf CHEBI_33836.
CHEBI_100686 is Class.
CHEBI_100686 SubClassOf CHEBI_33836.
CHEBI_100691 is Class.
CHEBI_100691 SubClassOf CHEBI_22712,.
CHEBI_100691 SubClassOf CHEBI_36820,.
CHEBI_100691 SubClassOf CHEBI_38777.
CHEBI_100694 is Class.
CHEBI_100694 SubClassOf CHEBI_22712,.
CHEBI_100694 SubClassOf CHEBI_36820,.
CHEBI_100694 SubClassOf CHEBI_38777.
CHEBI_100724 is Class.
CHEBI_100724 SubClassOf CHEBI_22712,.
CHEBI_100724 SubClassOf CHEBI_36820,.
CHEBI_100724 SubClassOf CHEBI_38777.
CHEBI_100731 is Class.
CHEBI_100731 SubClassOf CHEBI_22712,.
CHEBI_100731 SubClassOf CHEBI_36820,.
CHEBI_100731 SubClassOf CHEBI_38777.
CHEBI_100751 is Class.
CHEBI_100751 SubClassOf CHEBI_22712,.
CHEBI_100751 SubClassOf CHEBI_36820,.
CHEBI_100751 SubClassOf CHEBI_38777.
CHEBI_100759 is Class.
CHEBI_100759 SubClassOf CHEBI_33836.
CHEBI_100771 is Class.
CHEBI_100771 SubClassOf CHEBI_22712,.
CHEBI_100771 SubClassOf CHEBI_36820,.
CHEBI_100771 SubClassOf CHEBI_38777.
CHEBI_100809 is Class.
CHEBI_100809 SubClassOf CHEBI_33836.
CHEBI_10082 is Class.
CHEBI_10082 SubClassOf CHEBI_38976.
CHEBI_100853 is Class.
CHEBI_100853 SubClassOf CHEBI_33836.
CHEBI_100854 is Class.
CHEBI_100854 SubClassOf CHEBI_33836.
CHEBI_100862 is Class.
CHEBI_100862 SubClassOf CHEBI_22712,.
CHEBI_100862 SubClassOf CHEBI_36820,.
CHEBI_100862 SubClassOf CHEBI_38777.
CHEBI_100881 is Class.
CHEBI_100881 SubClassOf CHEBI_33836.
CHEBI_100890 is Class.
CHEBI_100890 SubClassOf CHEBI_22712,.
CHEBI_100890 SubClassOf CHEBI_36820,.
CHEBI_100890 SubClassOf CHEBI_38777.
CHEBI_100928 is Class.
CHEBI_100928 SubClassOf CHEBI_46867.
CHEBI_100936 is Class.
CHEBI_100936 SubClassOf CHEBI_22712,.
CHEBI_100936 SubClassOf CHEBI_36820,.
CHEBI_100936 SubClassOf CHEBI_38777.
CHEBI_100938 is Class.
CHEBI_100938 SubClassOf CHEBI_26151.
CHEBI_100958 is Class.
CHEBI_100958 SubClassOf CHEBI_22712,.
CHEBI_100958 SubClassOf CHEBI_36820,.
CHEBI_100958 SubClassOf CHEBI_38777.
CHEBI_100959 is Class.
CHEBI_100959 SubClassOf CHEBI_33836.
CHEBI_100966 is Class.
CHEBI_100966 SubClassOf CHEBI_83565.
CHEBI_100980 is Class.
CHEBI_100980 SubClassOf CHEBI_22712,.
CHEBI_100980 SubClassOf CHEBI_36820,.
CHEBI_100980 SubClassOf CHEBI_38777.
CHEBI_100994 is Class.
CHEBI_100994 SubClassOf CHEBI_22712,.
CHEBI_100994 SubClassOf CHEBI_36820,.
CHEBI_100994 SubClassOf CHEBI_38777.
CHEBI_101005 is Class.
CHEBI_101005 SubClassOf CHEBI_22712,.
CHEBI_101005 SubClassOf CHEBI_36820,.
CHEBI_101005 SubClassOf CHEBI_38777.
CHEBI_101021 is Class.
CHEBI_101021 SubClassOf CHEBI_83565.
CHEBI_101026 is Class.
CHEBI_101026 SubClassOf CHEBI_83565.
CHEBI_101033 is Class.
CHEBI_101033 SubClassOf CHEBI_33836.
CHEBI_101046 is Class.
CHEBI_101046 SubClassOf CHEBI_26151.
CHEBI_101064 is Class.
CHEBI_101064 SubClassOf CHEBI_37149.
CHEBI_101079 is Class.
CHEBI_101079 SubClassOf CHEBI_22712,.
CHEBI_101079 SubClassOf CHEBI_36820,.
CHEBI_101079 SubClassOf CHEBI_38777.
CHEBI_101080 is Class.
CHEBI_101080 SubClassOf CHEBI_22712.
CHEBI_101108 is Class.
CHEBI_101108 SubClassOf CHEBI_26151.
CHEBI_101111 is Class.
CHEBI_101111 SubClassOf CHEBI_33836.
CHEBI_101118 is Class.
CHEBI_101118 SubClassOf CHEBI_22712,.
CHEBI_101118 SubClassOf CHEBI_36820,.
CHEBI_101118 SubClassOf CHEBI_38777.
CHEBI_101123 is Class.
CHEBI_101123 SubClassOf CHEBI_22712,.
CHEBI_101123 SubClassOf CHEBI_36820,.
CHEBI_101123 SubClassOf CHEBI_38777.
CHEBI_101128 is Class.
CHEBI_101128 SubClassOf CHEBI_46867.
CHEBI_101130 is Class.
CHEBI_101130 SubClassOf CHEBI_22712,.
CHEBI_101130 SubClassOf CHEBI_36820,.
CHEBI_101130 SubClassOf CHEBI_38777.
CHEBI_101148 is Class.
CHEBI_101148 SubClassOf CHEBI_83565.
CHEBI_101150 is Class.
CHEBI_101150 SubClassOf CHEBI_22712,.
CHEBI_101150 SubClassOf CHEBI_36820,.
CHEBI_101150 SubClassOf CHEBI_38777.
CHEBI_101162 is Class.
CHEBI_101162 SubClassOf CHEBI_25529.
CHEBI_101169 is Class.
CHEBI_101169 SubClassOf CHEBI_22712,.
CHEBI_101169 SubClassOf CHEBI_36820,.
CHEBI_101169 SubClassOf CHEBI_38777.
CHEBI_101176 is Class.
CHEBI_101176 SubClassOf CHEBI_26151.
CHEBI_101189 is Class.
CHEBI_101189 SubClassOf CHEBI_22712,.
CHEBI_101189 SubClassOf CHEBI_36820,.
CHEBI_101189 SubClassOf CHEBI_38777.
CHEBI_101208 is Class.
CHEBI_101208 SubClassOf CHEBI_26151.
CHEBI_101216 is Class.
CHEBI_101216 SubClassOf CHEBI_22712,.
CHEBI_101216 SubClassOf CHEBI_36820,.
CHEBI_101216 SubClassOf CHEBI_38777.
CHEBI_101228 is Class.
CHEBI_101228 SubClassOf CHEBI_33860.
CHEBI_101248 is Class.
CHEBI_101248 SubClassOf CHEBI_26151.
CHEBI_101253 is Class.
CHEBI_101253 SubClassOf CHEBI_22712,.
CHEBI_101253 SubClassOf CHEBI_36820,.
CHEBI_101253 SubClassOf CHEBI_38777.
CHEBI_101274 is Class.
CHEBI_101274 SubClassOf CHEBI_83565.
CHEBI_101279 is Class.
CHEBI_101279 SubClassOf CHEBI_46850,.
CHEBI_101279 SubClassOf BFO_0000051 some CHEBI_101333,.
CHEBI_101279 SubClassOf BFO_0000051 some CHEBI_27110,.
CHEBI_101279 SubClassOf RO_0000087 some CHEBI_67267.
CHEBI_101289 is Class.
CHEBI_101289 SubClassOf CHEBI_33836.
CHEBI_101298 is Class.
CHEBI_101298 SubClassOf CHEBI_13248.
CHEBI_101312 is Class.
CHEBI_101312 SubClassOf CHEBI_22712,.
CHEBI_101312 SubClassOf CHEBI_36820,.
CHEBI_101312 SubClassOf CHEBI_38777.
CHEBI_101321 is Class.
CHEBI_101321 SubClassOf CHEBI_22712,.
CHEBI_101321 SubClassOf CHEBI_36820,.
CHEBI_101321 SubClassOf CHEBI_38777.
CHEBI_101329 is Class.
CHEBI_101329 SubClassOf CHEBI_26151.
CHEBI_101330 is Class.
CHEBI_101330 SubClassOf CHEBI_22712,.
CHEBI_101330 SubClassOf CHEBI_36820,.
CHEBI_101330 SubClassOf CHEBI_38777.
CHEBI_101333 is Class.
CHEBI_101359 is Class.
CHEBI_101359 SubClassOf CHEBI_22712,.
CHEBI_101359 SubClassOf CHEBI_36820,.
CHEBI_101359 SubClassOf CHEBI_38777.
CHEBI_101365 is Class.
CHEBI_101365 SubClassOf CHEBI_22712,.
CHEBI_101365 SubClassOf CHEBI_36820,.
CHEBI_101365 SubClassOf CHEBI_38777.
CHEBI_101369 is Class.
CHEBI_101369 SubClassOf CHEBI_26151.
CHEBI_101434 is Class.
CHEBI_101434 SubClassOf CHEBI_22712,.
CHEBI_101434 SubClassOf CHEBI_36820,.
CHEBI_101434 SubClassOf CHEBI_38777.
CHEBI_101453 is Class.
CHEBI_101453 SubClassOf CHEBI_33836.
CHEBI_101475 is Class.
CHEBI_101475 SubClassOf CHEBI_33836.
CHEBI_101483 is Class.
CHEBI_101483 SubClassOf CHEBI_33836.
CHEBI_101532 is Class.
CHEBI_101532 SubClassOf CHEBI_22712,.
CHEBI_101532 SubClassOf CHEBI_36820,.
CHEBI_101532 SubClassOf CHEBI_38777.
CHEBI_101536 is Class.
CHEBI_101536 SubClassOf CHEBI_26151.
CHEBI_101561 is Class.
CHEBI_101561 SubClassOf CHEBI_13248.
CHEBI_101585 is Class.
CHEBI_101585 SubClassOf CHEBI_22712,.
CHEBI_101585 SubClassOf CHEBI_36820,.
CHEBI_101585 SubClassOf CHEBI_38777.
CHEBI_101587 is Class.
CHEBI_101587 SubClassOf CHEBI_33836.
CHEBI_101589 is Class.
CHEBI_101589 SubClassOf CHEBI_22712,.
CHEBI_101589 SubClassOf CHEBI_36820,.
CHEBI_101589 SubClassOf CHEBI_38777.
CHEBI_101611 is Class.
CHEBI_101611 SubClassOf CHEBI_22712,.
CHEBI_101611 SubClassOf CHEBI_36820,.
CHEBI_101611 SubClassOf CHEBI_38777.
CHEBI_101633 is Class.
CHEBI_101633 SubClassOf CHEBI_33836.
CHEBI_101640 is Class.
CHEBI_101640 SubClassOf CHEBI_22712,.
CHEBI_101640 SubClassOf CHEBI_36820,.
CHEBI_101640 SubClassOf CHEBI_38777.
CHEBI_101679 is Class.
CHEBI_101679 SubClassOf CHEBI_33836.
CHEBI_101691 is Class.
CHEBI_101691 SubClassOf CHEBI_26151.
CHEBI_101693 is Class.
CHEBI_101693 SubClassOf CHEBI_83565.
CHEBI_101699 is Class.
CHEBI_101699 SubClassOf CHEBI_33836.
CHEBI_101713 is Class.
CHEBI_101713 SubClassOf CHEBI_83943.
CHEBI_101716 is Class.
CHEBI_101716 SubClassOf CHEBI_22712,.
CHEBI_101716 SubClassOf CHEBI_36820,.
CHEBI_101716 SubClassOf CHEBI_38777.
CHEBI_101720 is Class.
CHEBI_101720 SubClassOf CHEBI_33836.
CHEBI_101760 is Class.
CHEBI_101760 SubClassOf CHEBI_13248.
CHEBI_101769 is Class.
CHEBI_101769 SubClassOf CHEBI_22712,.
CHEBI_101769 SubClassOf CHEBI_36820,.
CHEBI_101769 SubClassOf CHEBI_38777.
CHEBI_101789 is Class.
CHEBI_101789 SubClassOf CHEBI_22712,.
CHEBI_101789 SubClassOf CHEBI_36820,.
CHEBI_101789 SubClassOf CHEBI_38777.
CHEBI_101797 is Class.
CHEBI_101797 SubClassOf CHEBI_33836.
CHEBI_101804 is Class.
CHEBI_101804 SubClassOf CHEBI_22712.
CHEBI_101822 is Class.
CHEBI_101822 SubClassOf CHEBI_22723.
CHEBI_101866 is Class.
CHEBI_101866 SubClassOf CHEBI_26151.
CHEBI_101872 is Class.
CHEBI_101872 SubClassOf CHEBI_22712,.
CHEBI_101872 SubClassOf CHEBI_36820,.
CHEBI_101872 SubClassOf CHEBI_38777.
CHEBI_101877 is Class.
CHEBI_101877 SubClassOf CHEBI_33836.
CHEBI_101892 is Class.
CHEBI_101892 SubClassOf CHEBI_33836.
CHEBI_101897 is Class.
CHEBI_101897 SubClassOf CHEBI_26151.
CHEBI_101928 is Class.
CHEBI_101928 SubClassOf CHEBI_26151.
CHEBI_101947 is Class.
CHEBI_101947 SubClassOf CHEBI_33836.
CHEBI_101957 is Class.
CHEBI_101957 SubClassOf CHEBI_22712,.
CHEBI_101957 SubClassOf CHEBI_36820,.
CHEBI_101957 SubClassOf CHEBI_38777.
CHEBI_101958 is Class.
CHEBI_101958 SubClassOf CHEBI_33836.
CHEBI_101961 is Class.
CHEBI_101961 SubClassOf CHEBI_26151.
CHEBI_101963 is Class.
CHEBI_101963 SubClassOf CHEBI_83565.
CHEBI_101982 is Class.
CHEBI_101982 SubClassOf CHEBI_22712,.
CHEBI_101982 SubClassOf CHEBI_36820,.
CHEBI_101982 SubClassOf CHEBI_38777.
CHEBI_101999 is Class.
CHEBI_101999 SubClassOf CHEBI_22712,.
CHEBI_101999 SubClassOf CHEBI_36820,.
CHEBI_101999 SubClassOf CHEBI_38777.
CHEBI_102005 is Class.
CHEBI_102005 SubClassOf CHEBI_22712,.
CHEBI_102005 SubClassOf CHEBI_36820,.
CHEBI_102005 SubClassOf CHEBI_38777.
CHEBI_102020 is Class.
CHEBI_102020 SubClassOf CHEBI_22712,.
CHEBI_102020 SubClassOf CHEBI_36820,.
CHEBI_102020 SubClassOf CHEBI_38777.
CHEBI_102025 is Class.
CHEBI_102025 SubClassOf CHEBI_22712,.
CHEBI_102025 SubClassOf CHEBI_36820,.
CHEBI_102025 SubClassOf CHEBI_38777.
CHEBI_102051 is Class.
CHEBI_102051 SubClassOf CHEBI_13248.
CHEBI_102063 is Class.
CHEBI_102063 SubClassOf CHEBI_33836.
CHEBI_102070 is Class.
CHEBI_102070 SubClassOf CHEBI_33836.
CHEBI_102076 is Class.
CHEBI_102076 SubClassOf CHEBI_22712,.
CHEBI_102076 SubClassOf CHEBI_36820,.
CHEBI_102076 SubClassOf CHEBI_38777.
CHEBI_102111 is Class.
CHEBI_102111 SubClassOf CHEBI_22712,.
CHEBI_102111 SubClassOf CHEBI_36820,.
CHEBI_102111 SubClassOf CHEBI_38777.
CHEBI_102127 is Class.
CHEBI_102127 SubClassOf CHEBI_25529.
CHEBI_102147 is Class.
CHEBI_102147 SubClassOf CHEBI_13248.
CHEBI_102156 is Class.
CHEBI_102156 SubClassOf CHEBI_33836.
CHEBI_102174 is Class.
CHEBI_102174 SubClassOf CHEBI_22712,.
CHEBI_102174 SubClassOf CHEBI_36820,.
CHEBI_102174 SubClassOf CHEBI_38777.
CHEBI_102195 is Class.
CHEBI_102195 SubClassOf CHEBI_33836.
CHEBI_102221 is Class.
CHEBI_102221 SubClassOf CHEBI_26151.
CHEBI_102243 is Class.
CHEBI_102243 SubClassOf CHEBI_33836.
CHEBI_102253 is Class.
CHEBI_102253 SubClassOf CHEBI_22712.
CHEBI_102268 is Class.
CHEBI_102268 SubClassOf CHEBI_24922.
CHEBI_102271 is Class.
CHEBI_102271 SubClassOf CHEBI_33836.
CHEBI_102277 is Class.
CHEBI_102277 SubClassOf CHEBI_46867.
CHEBI_102296 is Class.
CHEBI_102296 SubClassOf CHEBI_33836.
CHEBI_10230 is Class.
CHEBI_102309 is Class.
CHEBI_102309 SubClassOf CHEBI_83565.
CHEBI_102311 is Class.
CHEBI_102311 SubClassOf CHEBI_22712,.
CHEBI_102311 SubClassOf CHEBI_36820,.
CHEBI_102311 SubClassOf CHEBI_38777.
CHEBI_102312 is Class.
CHEBI_102312 SubClassOf CHEBI_22712,.
CHEBI_102312 SubClassOf CHEBI_36820,.
CHEBI_102312 SubClassOf CHEBI_38777.
CHEBI_102370 is Class.
CHEBI_102370 SubClassOf CHEBI_22723.
CHEBI_102400 is Class.
CHEBI_102400 SubClassOf CHEBI_22712,.
CHEBI_102400 SubClassOf CHEBI_36820,.
CHEBI_102400 SubClassOf CHEBI_38777.
CHEBI_102410 is Class.
CHEBI_102410 SubClassOf CHEBI_22712,.
CHEBI_102410 SubClassOf CHEBI_36820,.
CHEBI_102410 SubClassOf CHEBI_38777.
CHEBI_102458 is Class.
CHEBI_102458 SubClassOf CHEBI_33836.
CHEBI_102464 is Class.
CHEBI_102464 SubClassOf CHEBI_83565.
CHEBI_102473 is Class.
CHEBI_102473 SubClassOf CHEBI_33836.
CHEBI_102476 is Class.
CHEBI_102476 SubClassOf CHEBI_33836.
CHEBI_102509 is Class.
CHEBI_102509 SubClassOf CHEBI_22712,.
CHEBI_102509 SubClassOf CHEBI_36820,.
CHEBI_102509 SubClassOf CHEBI_38777.
CHEBI_102542 is Class.
CHEBI_102542 SubClassOf CHEBI_22712,.
CHEBI_102542 SubClassOf CHEBI_36820,.
CHEBI_102542 SubClassOf CHEBI_38777.
CHEBI_102552 is Class.
CHEBI_102552 SubClassOf CHEBI_26151.
CHEBI_102563 is Class.
CHEBI_102563 SubClassOf CHEBI_22712,.
CHEBI_102563 SubClassOf CHEBI_36820,.
CHEBI_102563 SubClassOf CHEBI_38777.
CHEBI_102583 is Class.
CHEBI_102583 SubClassOf CHEBI_22712,.
CHEBI_102583 SubClassOf CHEBI_36820,.
CHEBI_102583 SubClassOf CHEBI_38777.
CHEBI_102589 is Class.
CHEBI_102589 SubClassOf CHEBI_26151.
CHEBI_1026 is Class.
CHEBI_1026 SubClassOf CHEBI_22512.
CHEBI_102619 is Class.
CHEBI_102619 SubClassOf CHEBI_26151.
CHEBI_102622 is Class.
CHEBI_102622 SubClassOf CHEBI_22712,.
CHEBI_102622 SubClassOf CHEBI_36820,.
CHEBI_102622 SubClassOf CHEBI_38777.
CHEBI_102631 is Class.
CHEBI_102631 SubClassOf CHEBI_22712,.
CHEBI_102631 SubClassOf CHEBI_36820,.
CHEBI_102631 SubClassOf CHEBI_38777.
CHEBI_102632 is Class.
CHEBI_102632 SubClassOf CHEBI_83565.
CHEBI_102636 is Class.
CHEBI_102636 SubClassOf CHEBI_33836.
CHEBI_102652 is Class.
CHEBI_102652 SubClassOf CHEBI_26151.
CHEBI_102701 is Class.
CHEBI_102701 SubClassOf CHEBI_83565.
CHEBI_102708 is Class.
CHEBI_102708 SubClassOf CHEBI_83565.
CHEBI_102716 is Class.
CHEBI_102716 SubClassOf CHEBI_83565.
CHEBI_102718 is Class.
CHEBI_10272 is Class.
CHEBI_102721 is Class.
CHEBI_102721 SubClassOf CHEBI_26151.
CHEBI_102759 is Class.
CHEBI_102759 SubClassOf CHEBI_33836.
CHEBI_102765 is Class.
CHEBI_102765 SubClassOf CHEBI_33836.
CHEBI_102823 is Class.
CHEBI_102823 SubClassOf CHEBI_33836.
CHEBI_102848 is Class.
CHEBI_102848 SubClassOf CHEBI_22712,.
CHEBI_102848 SubClassOf CHEBI_36820,.
CHEBI_102848 SubClassOf CHEBI_38777.
CHEBI_102860 is Class.
CHEBI_102860 SubClassOf CHEBI_22712.
CHEBI_102871 is Class.
CHEBI_102871 SubClassOf CHEBI_83565.
CHEBI_102873 is Class.
CHEBI_102873 SubClassOf CHEBI_26151.
CHEBI_102889 is Class.
CHEBI_102889 SubClassOf CHEBI_26151.
CHEBI_102895 is Class.
CHEBI_102895 SubClassOf CHEBI_22712,.
CHEBI_102895 SubClassOf CHEBI_36820,.
CHEBI_102895 SubClassOf CHEBI_38777.
CHEBI_102896 is Class.
CHEBI_102896 SubClassOf CHEBI_13248.
CHEBI_102931 is Class.
CHEBI_102931 SubClassOf CHEBI_13248.
CHEBI_102939 is Class.
CHEBI_102939 SubClassOf CHEBI_22712,.
CHEBI_102939 SubClassOf CHEBI_36820,.
CHEBI_102939 SubClassOf CHEBI_38777.
CHEBI_102974 is Class.
CHEBI_102974 SubClassOf CHEBI_33836.
CHEBI_102990 is Class.
CHEBI_102990 SubClassOf CHEBI_26151.
CHEBI_102992 is Class.
CHEBI_102992 SubClassOf CHEBI_83565.
CHEBI_102994 is Class.
CHEBI_102994 SubClassOf CHEBI_26151.
CHEBI_103001 is Class.
CHEBI_103001 SubClassOf CHEBI_33836.
CHEBI_103003 is Class.
CHEBI_103003 SubClassOf CHEBI_33836.
CHEBI_103006 is Class.
CHEBI_103006 SubClassOf CHEBI_26151.
CHEBI_103012 is Class.
CHEBI_103012 SubClassOf CHEBI_26151.
CHEBI_103014 is Class.
CHEBI_103014 SubClassOf CHEBI_22712,.
CHEBI_103014 SubClassOf CHEBI_36820,.
CHEBI_103014 SubClassOf CHEBI_38777.
CHEBI_103015 is Class.
CHEBI_103015 SubClassOf CHEBI_13248.
CHEBI_103023 is Class.
CHEBI_103023 SubClassOf CHEBI_22712,.
CHEBI_103023 SubClassOf CHEBI_36820,.
CHEBI_103023 SubClassOf CHEBI_38777.
CHEBI_103034 is Class.
CHEBI_103034 SubClassOf CHEBI_22712,.
CHEBI_103034 SubClassOf CHEBI_36820,.
CHEBI_103034 SubClassOf CHEBI_38777.
CHEBI_103035 is Class.
CHEBI_103035 SubClassOf CHEBI_83565.
CHEBI_103040 is Class.
CHEBI_103040 SubClassOf CHEBI_22712,.
CHEBI_103040 SubClassOf CHEBI_36820,.
CHEBI_103040 SubClassOf CHEBI_38777.
CHEBI_103075 is Class.
CHEBI_103075 SubClassOf CHEBI_33836.
CHEBI_103091 is Class.
CHEBI_103091 SubClassOf CHEBI_26151.
CHEBI_103101 is Class.
CHEBI_103101 SubClassOf CHEBI_22712,.
CHEBI_103101 SubClassOf CHEBI_36820,.
CHEBI_103101 SubClassOf CHEBI_38777.
CHEBI_103102 is Class.
CHEBI_103102 SubClassOf CHEBI_33836.
CHEBI_103140 is Class.
CHEBI_103140 SubClassOf CHEBI_26151.
CHEBI_103141 is Class.
CHEBI_103141 SubClassOf CHEBI_33836.
CHEBI_103175 is Class.
CHEBI_103175 SubClassOf CHEBI_33836.
CHEBI_103187 is Class.
CHEBI_103187 SubClassOf CHEBI_22712,.
CHEBI_103187 SubClassOf CHEBI_36820,.
CHEBI_103187 SubClassOf CHEBI_38777.
CHEBI_103188 is Class.
CHEBI_103188 SubClassOf CHEBI_22712.
CHEBI_103192 is Class.
CHEBI_103192 SubClassOf CHEBI_22712,.
CHEBI_103192 SubClassOf CHEBI_36820,.
CHEBI_103192 SubClassOf CHEBI_38777.
CHEBI_103193 is Class.
CHEBI_103193 SubClassOf CHEBI_22712,.
CHEBI_103193 SubClassOf CHEBI_36820,.
CHEBI_103193 SubClassOf CHEBI_38777.
CHEBI_103196 is Class.
CHEBI_103196 SubClassOf CHEBI_22712,.
CHEBI_103196 SubClassOf CHEBI_36820,.
CHEBI_103196 SubClassOf CHEBI_38777.
CHEBI_103217 is Class.
CHEBI_103217 SubClassOf CHEBI_22712,.
CHEBI_103217 SubClassOf CHEBI_36820,.
CHEBI_103217 SubClassOf CHEBI_38777.
CHEBI_103231 is Class.
CHEBI_103231 SubClassOf CHEBI_33836.
CHEBI_103232 is Class.
CHEBI_103232 SubClassOf CHEBI_22712,.
CHEBI_103232 SubClassOf CHEBI_36820,.
CHEBI_103232 SubClassOf CHEBI_38777.
CHEBI_103314 is Class.
CHEBI_103314 SubClassOf CHEBI_26151.
CHEBI_103315 is Class.
CHEBI_103315 SubClassOf CHEBI_26151.
CHEBI_103602 is Class.
CHEBI_103602 SubClassOf CHEBI_22712,.
CHEBI_103602 SubClassOf CHEBI_36820,.
CHEBI_103602 SubClassOf CHEBI_38777.
CHEBI_103689 is Class.
CHEBI_103689 SubClassOf CHEBI_83565.
