integer is Datatype.
MOSAIC_00000862 is Class.
MOSAIC_00000862 SubClassOf MOSAIC_00000036.
MOSAIC_00000863 is Class.
MOSAIC_00000863 SubClassOf MOSAIC_00000036.
MOSAIC_00000864 is Class.
MOSAIC_00000864 SubClassOf MOSAIC_00000036.
MOSAIC_00000865 is Class.
MOSAIC_00000865 SubClassOf MOSAIC_00000036.
MOSAIC_00000866 is Class.
MOSAIC_00000866 SubClassOf MOSAIC_00000036.
MOSAIC_00000867 is Class.
MOSAIC_00000867 SubClassOf MOSAIC_00000036.
MOSAIC_00000868 is Class.
MOSAIC_00000868 SubClassOf MOSAIC_00000036.
MOSAIC_00000869 is Class.
MOSAIC_00000869 SubClassOf MOSAIC_00000036.
MOSAIC_00000870 is Class.
MOSAIC_00000870 SubClassOf MOSAIC_00000036.
MOSAIC_00000871 is Class.
MOSAIC_00000871 SubClassOf MOSAIC_00000036.
MOSAIC_00000872 is Class.
MOSAIC_00000872 SubClassOf MOSAIC_00000036.
MOSAIC_00000873 is Class.
MOSAIC_00000873 SubClassOf MOSAIC_00000036.
MOSAIC_00000874 is Class.
MOSAIC_00000874 SubClassOf MOSAIC_00000036.
MOSAIC_00000875 is Class.
MOSAIC_00000875 SubClassOf MOSAIC_00000036.
MOSAIC_00000876 is Class.
MOSAIC_00000876 SubClassOf MOSAIC_00000036.
MOSAIC_00000877 is Class.
MOSAIC_00000877 SubClassOf MOSAIC_00000036.
MOSAIC_00000878 is Class.
MOSAIC_00000878 SubClassOf MOSAIC_00000036.
MOSAIC_00000879 is Class.
MOSAIC_00000879 SubClassOf MOSAIC_00000036.
MOSAIC_00000880 is Class.
MOSAIC_00000880 SubClassOf MOSAIC_00000036.
MOSAIC_00000881 is Class.
MOSAIC_00000881 SubClassOf MOSAIC_00000036.
MOSAIC_00000882 is Class.
MOSAIC_00000882 SubClassOf MOSAIC_00000036.
MOSAIC_00000883 is Class.
MOSAIC_00000883 SubClassOf MOSAIC_00000036.
MOSAIC_00000884 is Class.
MOSAIC_00000884 SubClassOf MOSAIC_00000036.
MOSAIC_00000885 is Class.
MOSAIC_00000885 SubClassOf MOSAIC_00000036.
MOSAIC_00000886 is Class.
MOSAIC_00000886 SubClassOf MOSAIC_00000036.
MOSAIC_00000887 is Class.
MOSAIC_00000887 SubClassOf MOSAIC_00000036.
MOSAIC_00000888 is Class.
MOSAIC_00000888 SubClassOf MOSAIC_00000036.
MOSAIC_00000889 is Class.
MOSAIC_00000889 SubClassOf MOSAIC_00000036.
MOSAIC_00000890 is Class.
MOSAIC_00000890 SubClassOf MOSAIC_00000036.
MOSAIC_00000891 is Class.
MOSAIC_00000891 SubClassOf MOSAIC_00000036.
MOSAIC_00000892 is Class.
MOSAIC_00000892 SubClassOf MOSAIC_00000036.
MOSAIC_00000893 is Class.
MOSAIC_00000893 SubClassOf MOSAIC_00000036.
MOSAIC_00000894 is Class.
MOSAIC_00000894 SubClassOf MOSAIC_00000036.
MOSAIC_00000895 is Class.
MOSAIC_00000895 SubClassOf MOSAIC_00000036.
MOSAIC_00000896 is Class.
MOSAIC_00000896 SubClassOf MOSAIC_00000036.
MOSAIC_00000897 is Class.
MOSAIC_00000897 SubClassOf MOSAIC_00000036.
MOSAIC_00000898 is Class.
MOSAIC_00000898 SubClassOf MOSAIC_00000036.
MOSAIC_00000899 is Class.
MOSAIC_00000899 SubClassOf MOSAIC_00000036.
MOSAIC_00000900 is Class.
MOSAIC_00000900 SubClassOf MOSAIC_00000036.
MOSAIC_00000901 is Class.
MOSAIC_00000901 SubClassOf MOSAIC_00000036.
MOSAIC_00000902 is Class.
MOSAIC_00000902 SubClassOf MOSAIC_00000036.
MOSAIC_00000903 is Class.
MOSAIC_00000903 SubClassOf MOSAIC_00000036.
MOSAIC_00000904 is Class.
MOSAIC_00000904 SubClassOf MOSAIC_00000036.
MOSAIC_00000905 is Class.
MOSAIC_00000905 SubClassOf MOSAIC_00000036.
MOSAIC_00000906 is Class.
MOSAIC_00000906 SubClassOf MOSAIC_00000036.
MOSAIC_00000907 is Class.
MOSAIC_00000907 SubClassOf MOSAIC_00000036.
MOSAIC_00000908 is Class.
MOSAIC_00000908 SubClassOf MOSAIC_00000036.
MOSAIC_00000909 is Class.
MOSAIC_00000909 SubClassOf MOSAIC_00000036.
MOSAIC_00000910 is Class.
MOSAIC_00000910 SubClassOf MOSAIC_00000036.
MOSAIC_00000911 is Class.
MOSAIC_00000911 SubClassOf MOSAIC_00000036.
MOSAIC_00000912 is Class.
MOSAIC_00000912 SubClassOf MOSAIC_00000036.
MOSAIC_00000913 is Class.
MOSAIC_00000913 SubClassOf MOSAIC_00000036.
MOSAIC_00000914 is Class.
MOSAIC_00000914 SubClassOf MOSAIC_00000036.
MOSAIC_00000915 is Class.
MOSAIC_00000915 SubClassOf MOSAIC_00000036.
MOSAIC_00000916 is Class.
MOSAIC_00000916 SubClassOf MOSAIC_00000036.
MOSAIC_00000917 is Class.
MOSAIC_00000917 SubClassOf MOSAIC_00000036.
MOSAIC_00000918 is Class.
MOSAIC_00000918 SubClassOf MOSAIC_00000036.
MOSAIC_00000919 is Class.
MOSAIC_00000919 SubClassOf MOSAIC_00000036.
MOSAIC_00000920 is Class.
MOSAIC_00000920 SubClassOf MOSAIC_00000036.
MOSAIC_00000921 is Class.
MOSAIC_00000921 SubClassOf MOSAIC_00000036.
MOSAIC_00000922 is Class.
MOSAIC_00000922 SubClassOf MOSAIC_00000036.
MOSAIC_00000923 is Class.
MOSAIC_00000923 SubClassOf MOSAIC_00000036.
MOSAIC_00000924 is Class.
MOSAIC_00000924 SubClassOf MOSAIC_00000036.
MOSAIC_00000925 is Class.
MOSAIC_00000925 SubClassOf MOSAIC_00000036.
MOSAIC_00000926 is Class.
MOSAIC_00000926 SubClassOf MOSAIC_00000036.
MOSAIC_00000927 is Class.
MOSAIC_00000927 SubClassOf MOSAIC_00000036.
MOSAIC_00000928 is Class.
MOSAIC_00000928 SubClassOf MOSAIC_00000036.
MOSAIC_00000929 is Class.
MOSAIC_00000929 SubClassOf MOSAIC_00000036.
MOSAIC_00000930 is Class.
MOSAIC_00000930 SubClassOf MOSAIC_00000036.
MOSAIC_00000931 is Class.
MOSAIC_00000931 SubClassOf MOSAIC_00000036.
MOSAIC_00000932 is Class.
MOSAIC_00000932 SubClassOf MOSAIC_00000036.
MOSAIC_00000933 is Class.
MOSAIC_00000933 SubClassOf MOSAIC_00000036.
MOSAIC_00000934 is Class.
MOSAIC_00000934 SubClassOf MOSAIC_00000036.
MOSAIC_00000935 is Class.
MOSAIC_00000935 SubClassOf MOSAIC_00000036.
MOSAIC_00000936 is Class.
MOSAIC_00000936 SubClassOf MOSAIC_00000036.
MOSAIC_00000937 is Class.
MOSAIC_00000937 SubClassOf MOSAIC_00000036.
MOSAIC_00000938 is Class.
MOSAIC_00000938 SubClassOf MOSAIC_00000036.
MOSAIC_00000939 is Class.
MOSAIC_00000939 SubClassOf MOSAIC_00000036.
MOSAIC_00000940 is Class.
MOSAIC_00000940 SubClassOf MOSAIC_00000036.
MOSAIC_00000941 is Class.
MOSAIC_00000941 SubClassOf MOSAIC_00000036.
MOSAIC_00000942 is Class.
MOSAIC_00000942 SubClassOf MOSAIC_00000036.
MOSAIC_00000943 is Class.
MOSAIC_00000943 SubClassOf MOSAIC_00000036.
MOSAIC_00000944 is Class.
MOSAIC_00000944 SubClassOf MOSAIC_00000036.
MOSAIC_00000945 is Class.
MOSAIC_00000945 SubClassOf MOSAIC_00000036.
MOSAIC_00000946 is Class.
MOSAIC_00000946 SubClassOf MOSAIC_00000036.
MOSAIC_00000947 is Class.
MOSAIC_00000947 SubClassOf MOSAIC_00000036.
MOSAIC_00000948 is Class.
MOSAIC_00000948 SubClassOf MOSAIC_00000036.
MOSAIC_00000949 is Class.
MOSAIC_00000949 SubClassOf MOSAIC_00000036.
MOSAIC_00000950 is Class.
MOSAIC_00000950 SubClassOf MOSAIC_00000036.
MOSAIC_00000951 is Class.
MOSAIC_00000951 SubClassOf MOSAIC_00000036.
MOSAIC_00000952 is Class.
MOSAIC_00000952 SubClassOf MOSAIC_00000036.
MOSAIC_00000953 is Class.
MOSAIC_00000953 SubClassOf MOSAIC_00000036.
MOSAIC_00000954 is Class.
MOSAIC_00000954 SubClassOf MOSAIC_00000036.
MOSAIC_00000955 is Class.
MOSAIC_00000955 SubClassOf MOSAIC_00000036.
MOSAIC_00000956 is Class.
MOSAIC_00000956 SubClassOf MOSAIC_00000036.
MOSAIC_00000957 is Class.
MOSAIC_00000957 SubClassOf MOSAIC_00000036.
MOSAIC_00000958 is Class.
MOSAIC_00000958 SubClassOf MOSAIC_00000036.
MOSAIC_00000959 is Class.
MOSAIC_00000959 SubClassOf MOSAIC_00000036.
MOSAIC_00000960 is Class.
MOSAIC_00000960 SubClassOf MOSAIC_00000036.
MOSAIC_00000961 is Class.
MOSAIC_00000961 SubClassOf MOSAIC_00000036.
MOSAIC_00000962 is Class.
MOSAIC_00000962 SubClassOf MOSAIC_00000036.
MOSAIC_00000963 is Class.
MOSAIC_00000963 SubClassOf MOSAIC_00000036.
MOSAIC_00000964 is Class.
MOSAIC_00000964 SubClassOf MOSAIC_00000036.
MOSAIC_00000965 is Class.
MOSAIC_00000965 SubClassOf MOSAIC_00000036.
MOSAIC_00000966 is Class.
MOSAIC_00000966 SubClassOf MOSAIC_00000036.
MOSAIC_00000967 is Class.
MOSAIC_00000967 SubClassOf MOSAIC_00000036.
MOSAIC_00000968 is Class.
MOSAIC_00000968 SubClassOf MOSAIC_00000036.
MOSAIC_00000969 is Class.
MOSAIC_00000969 SubClassOf MOSAIC_00000036.
MOSAIC_00000970 is Class.
MOSAIC_00000970 SubClassOf MOSAIC_00000036.
MOSAIC_00000971 is Class.
MOSAIC_00000971 SubClassOf MOSAIC_00000036.
MOSAIC_00000972 is Class.
MOSAIC_00000972 SubClassOf MOSAIC_00000036.
MOSAIC_00000973 is Class.
MOSAIC_00000973 SubClassOf MOSAIC_00000036.
MOSAIC_00000974 is Class.
MOSAIC_00000974 SubClassOf MOSAIC_00000036.
MOSAIC_00000975 is Class.
MOSAIC_00000975 SubClassOf MOSAIC_00000036.
MOSAIC_00000976 is Class.
MOSAIC_00000976 SubClassOf MOSAIC_00000036.
MOSAIC_00000977 is Class.
MOSAIC_00000977 SubClassOf MOSAIC_00000036.
MOSAIC_00000978 is Class.
MOSAIC_00000978 SubClassOf MOSAIC_00000036.
MOSAIC_00000979 is Class.
MOSAIC_00000979 SubClassOf MOSAIC_00000036.
MOSAIC_00000980 is Class.
MOSAIC_00000980 SubClassOf MOSAIC_00000036.
MOSAIC_00000981 is Class.
MOSAIC_00000981 SubClassOf MOSAIC_00000036.
MOSAIC_00000982 is Class.
MOSAIC_00000982 SubClassOf MOSAIC_00000036.
MOSAIC_00000983 is Class.
MOSAIC_00000983 SubClassOf MOSAIC_00000036.
MOSAIC_00000984 is Class.
MOSAIC_00000984 SubClassOf MOSAIC_00000036.
MOSAIC_00000985 is Class.
MOSAIC_00000985 SubClassOf MOSAIC_00000036.
MOSAIC_00000986 is Class.
MOSAIC_00000986 SubClassOf MOSAIC_00000036.
MOSAIC_00000987 is Class.
MOSAIC_00000987 SubClassOf MOSAIC_00000036.
MOSAIC_00000988 is Class.
MOSAIC_00000988 SubClassOf MOSAIC_00000036.
MOSAIC_00011184 is Class.
MOSAIC_00012000 is Class.
Thing, is www.w3.org/2002/07/#.
Thing, is MOSAIC_00000900.
Event is Class.
Event EquivalentTo Deployment.
Event SubClassOf MOSAIC_00012000.
Person is Class.
Person EquivalentTo MOSAIC_00000819.
Person SubClassOf MOSAIC_00000036,.
Person SubClassOf MOSAIC_00011184.
Person DisjointWith MOSAIC_00000819.
www.w3.org/2002/07/# is Class.
Deployment is Class.
Deployment EquivalentTo Event.
Deployment SubClassOf MOSAIC_00012000.
MOSAIC_00000004 is Individual.
MOSAIC_00000004 Types MOSAIC_00000003,.
MOSAIC_00000004 Types MOSAIC_00012000.
MOSAIC_00000005 is Individual.
MOSAIC_00000005 Types MOSAIC_00000001,.
MOSAIC_00000005 Types MOSAIC_00012000.
MOSAIC_00000008 is Individual.
MOSAIC_00000008 Types MOSAIC_00000001,.
MOSAIC_00000008 Types MOSAIC_00012000.
MOSAIC_00000009 is Individual.
MOSAIC_00000009 Types MOSAIC_00000001,.
MOSAIC_00000009 Types MOSAIC_00012000.
MOSAIC_00000010 is Individual.
MOSAIC_00000010 Types MOSAIC_00000003,.
MOSAIC_00000010 Types MOSAIC_00012000.
MOSAIC_00000017 is Individual.
MOSAIC_00000017 Types MOSAIC_00000001,.
MOSAIC_00000017 Types MOSAIC_00012000.
MOSAIC_00000018 is Individual.
MOSAIC_00000018 Types MOSAIC_00000001,.
MOSAIC_00000018 Types MOSAIC_00012000.
MOSAIC_00000019 is Individual.
MOSAIC_00000019 Types MOSAIC_00000001,.
MOSAIC_00000019 Types MOSAIC_00012000.
MOSAIC_00000020 is Individual.
MOSAIC_00000020 Types MOSAIC_00000001,.
MOSAIC_00000020 Types MOSAIC_00012000.
MOSAIC_00000021 is Individual.
MOSAIC_00000021 Types MOSAIC_00000001,.
MOSAIC_00000021 Types MOSAIC_00012000.
MOSAIC_00000030 is Individual.
MOSAIC_00000030 Types MOSAIC_00000028,.
MOSAIC_00000030 Types MOSAIC_00012000.
MOSAIC_00000038 is Individual.
MOSAIC_00000038 Types MOSAIC_00000028,.
MOSAIC_00000038 Types MOSAIC_00012000.
MOSAIC_00000989 is Individual.
MOSAIC_00000989 Types MOSAIC_00000040,.
MOSAIC_00000989 Types MOSAIC_00000252,.
MOSAIC_00000989 Types MOSAIC_00012000.
MOSAIC_00000990 is Individual.
MOSAIC_00000990 Types MOSAIC_00000040,.
MOSAIC_00000990 Types MOSAIC_00000253,.
MOSAIC_00000990 Types MOSAIC_00012000.
MOSAIC_00000991 is Individual.
MOSAIC_00000991 Types MOSAIC_00000040,.
MOSAIC_00000991 Types MOSAIC_00000254,.
MOSAIC_00000991 Types MOSAIC_00012000.
MOSAIC_00000992 is Individual.
MOSAIC_00000992 Types MOSAIC_00000040,.
MOSAIC_00000992 Types MOSAIC_00000255,.
MOSAIC_00000992 Types MOSAIC_00012000.
MOSAIC_00000993 is Individual.
MOSAIC_00000993 Types MOSAIC_00000040,.
MOSAIC_00000993 Types MOSAIC_00000255,.
MOSAIC_00000993 Types MOSAIC_00012000.
MOSAIC_00000994 is Individual.
MOSAIC_00000994 Types MOSAIC_00000040,.
MOSAIC_00000994 Types MOSAIC_00000256,.
MOSAIC_00000994 Types MOSAIC_00012000.
MOSAIC_00000995 is Individual.
MOSAIC_00000995 Types MOSAIC_00000040,.
MOSAIC_00000995 Types MOSAIC_00000257,.
MOSAIC_00000995 Types MOSAIC_00012000.
MOSAIC_00000996 is Individual.
MOSAIC_00000996 Types MOSAIC_00000040,.
MOSAIC_00000996 Types MOSAIC_00000258,.
MOSAIC_00000996 Types MOSAIC_00012000.
MOSAIC_00000997 is Individual.
MOSAIC_00000997 Types MOSAIC_00000040,.
MOSAIC_00000997 Types MOSAIC_00000259,.
MOSAIC_00000997 Types MOSAIC_00012000.
MOSAIC_00000998 is Individual.
MOSAIC_00000998 Types MOSAIC_00000040,.
MOSAIC_00000998 Types MOSAIC_00000256,.
MOSAIC_00000998 Types MOSAIC_00012000.
MOSAIC_00000999 is Individual.
MOSAIC_00000999 Types MOSAIC_00000040,.
MOSAIC_00000999 Types MOSAIC_00000257,.
MOSAIC_00000999 Types MOSAIC_00012000.
MOSAIC_00001000 is Individual.
MOSAIC_00001000 Types MOSAIC_00000040,.
MOSAIC_00001000 Types MOSAIC_00000259,.
MOSAIC_00001000 Types MOSAIC_00012000.
MOSAIC_00001001 is Individual.
MOSAIC_00001001 Types MOSAIC_00000040,.
MOSAIC_00001001 Types MOSAIC_00000256,.
MOSAIC_00001001 Types MOSAIC_00012000.
MOSAIC_00001002 is Individual.
MOSAIC_00001002 Types MOSAIC_00000040,.
MOSAIC_00001002 Types MOSAIC_00000257,.
MOSAIC_00001002 Types MOSAIC_00012000.
MOSAIC_00001003 is Individual.
MOSAIC_00001003 Types MOSAIC_00000040,.
MOSAIC_00001003 Types MOSAIC_00000259,.
MOSAIC_00001003 Types MOSAIC_00012000.
MOSAIC_00001004 is Individual.
MOSAIC_00001004 Types MOSAIC_00000040,.
MOSAIC_00001004 Types MOSAIC_00000256,.
MOSAIC_00001004 Types MOSAIC_00012000.
MOSAIC_00001005 is Individual.
MOSAIC_00001005 Types MOSAIC_00000040,.
MOSAIC_00001005 Types MOSAIC_00000257,.
MOSAIC_00001005 Types MOSAIC_00012000.
MOSAIC_00001006 is Individual.
MOSAIC_00001006 Types MOSAIC_00000040,.
MOSAIC_00001006 Types MOSAIC_00000259,.
MOSAIC_00001006 Types MOSAIC_00012000.
MOSAIC_00001007 is Individual.
MOSAIC_00001007 Types MOSAIC_00000040,.
MOSAIC_00001007 Types MOSAIC_00000256,.
MOSAIC_00001007 Types MOSAIC_00012000.
MOSAIC_00001008 is Individual.
MOSAIC_00001008 Types MOSAIC_00000040,.
MOSAIC_00001008 Types MOSAIC_00000257,.
MOSAIC_00001008 Types MOSAIC_00012000.
MOSAIC_00001009 is Individual.
MOSAIC_00001009 Types MOSAIC_00000040,.
MOSAIC_00001009 Types MOSAIC_00000259,.
MOSAIC_00001009 Types MOSAIC_00012000.
MOSAIC_00001010 is Individual.
MOSAIC_00001010 Types MOSAIC_00000040,.
MOSAIC_00001010 Types MOSAIC_00000256,.
MOSAIC_00001010 Types MOSAIC_00012000.
MOSAIC_00001011 is Individual.
MOSAIC_00001011 Types MOSAIC_00000040,.
MOSAIC_00001011 Types MOSAIC_00000257,.
MOSAIC_00001011 Types MOSAIC_00012000.
MOSAIC_00001012 is Individual.
MOSAIC_00001012 Types MOSAIC_00000040,.
MOSAIC_00001012 Types MOSAIC_00000259,.
MOSAIC_00001012 Types MOSAIC_00012000.
MOSAIC_00001013 is Individual.
MOSAIC_00001013 Types MOSAIC_00000040,.
MOSAIC_00001013 Types MOSAIC_00000256,.
MOSAIC_00001013 Types MOSAIC_00012000.
MOSAIC_00001014 is Individual.
MOSAIC_00001014 Types MOSAIC_00000040,.
MOSAIC_00001014 Types MOSAIC_00000257,.
MOSAIC_00001014 Types MOSAIC_00012000.
MOSAIC_00001015 is Individual.
MOSAIC_00001015 Types MOSAIC_00000040,.
MOSAIC_00001015 Types MOSAIC_00000259,.
MOSAIC_00001015 Types MOSAIC_00012000.
MOSAIC_00001016 is Individual.
MOSAIC_00001016 Types MOSAIC_00000040,.
MOSAIC_00001016 Types MOSAIC_00000256,.
MOSAIC_00001016 Types MOSAIC_00012000.
