phenomebrowser.net/ontologies/mesh/mesh.# is ObjectProperty.
EBI-1059498 SubClassOf MI_0915.
EBI-1059503 is Class.
EBI-1059503 SubClassOf MI_0915.
EBI-1059508 is Class.
EBI-1059508 SubClassOf MI_0915.
EBI-1059513 is Class.
EBI-1059513 SubClassOf MI_0915.
EBI-1059523 is Class.
EBI-1059523 SubClassOf MI_0915.
EBI-1059533 is Class.
EBI-1059533 SubClassOf MI_0915.
EBI-1059538 is Class.
EBI-1059538 SubClassOf MI_0915.
EBI-1059543 is Class.
EBI-1059543 SubClassOf MI_0915.
EBI-1059553 is Class.
EBI-1059553 SubClassOf MI_0915.
EBI-1059558 is Class.
EBI-1059558 SubClassOf MI_0915.
EBI-1059563 is Class.
EBI-1059563 SubClassOf MI_0915.
EBI-1059568 is Class.
EBI-1059568 SubClassOf MI_0915.
EBI-1059583 is Class.
EBI-1059583 SubClassOf MI_0915.
EBI-1059587 is Class.
EBI-1059587 SubClassOf MI_0915.
EBI-1059598 is Class.
EBI-1059598 SubClassOf MI_0915.
EBI-1059603 is Class.
EBI-1059603 SubClassOf MI_0915.
EBI-1059622 is Class.
EBI-1059622 SubClassOf MI_0915.
EBI-1059631 is Class.
EBI-1059631 SubClassOf MI_0915.
EBI-1059651 is Class.
EBI-1059651 SubClassOf MI_0915.
EBI-1059661 is Class.
EBI-1059661 SubClassOf MI_0915.
EBI-1059665 is Class.
EBI-1059665 SubClassOf MI_0915.
EBI-1059675 is Class.
EBI-1059675 SubClassOf MI_0915.
EBI-1059680 is Class.
EBI-1059680 SubClassOf MI_0915.
EBI-1059685 is Class.
EBI-1059685 SubClassOf MI_0915.
EBI-1059694 is Class.
EBI-1059694 SubClassOf MI_0915.
EBI-1059699 is Class.
EBI-1059699 SubClassOf MI_0915.
EBI-1059709 is Class.
EBI-1059709 SubClassOf MI_0915.
EBI-1059719 is Class.
EBI-1059719 SubClassOf MI_0915.
EBI-1059729 is Class.
EBI-1059729 SubClassOf MI_0915.
EBI-1059744 is Class.
EBI-1059744 SubClassOf MI_0915.
EBI-1059753 is Class.
EBI-1059753 SubClassOf MI_0915.
EBI-1059758 is Class.
EBI-1059758 SubClassOf MI_0915.
EBI-1059768 is Class.
EBI-1059768 SubClassOf MI_0915.
EBI-1059773 is Class.
EBI-1059773 SubClassOf MI_0915.
EBI-1059777 is Class.
EBI-1059777 SubClassOf MI_0915.
EBI-1059782 is Class.
EBI-1059782 SubClassOf MI_0915.
EBI-1059787 is Class.
EBI-1059787 SubClassOf MI_0915.
EBI-1059792 is Class.
EBI-1059792 SubClassOf MI_0915.
EBI-1059802 is Class.
EBI-1059802 SubClassOf MI_0915.
EBI-1059807 is Class.
EBI-1059807 SubClassOf MI_0915.
EBI-1059812 is Class.
EBI-1059812 SubClassOf MI_0915.
EBI-1059817 is Class.
EBI-1059817 SubClassOf MI_0915.
EBI-1059827 is Class.
EBI-1059827 SubClassOf MI_0915.
EBI-1059832 is Class.
EBI-1059832 SubClassOf MI_0915.
EBI-1059836 is Class.
EBI-1059836 SubClassOf MI_0915.
EBI-1059841 is Class.
EBI-1059841 SubClassOf MI_0915.
EBI-1059845 is Class.
EBI-1059845 SubClassOf MI_0915.
EBI-1059849 is Class.
EBI-1059849 SubClassOf MI_0915.
EBI-1059860 is Class.
EBI-1059860 SubClassOf MI_0915.
EBI-1059874 is Class.
EBI-1059874 SubClassOf MI_0915.
EBI-1059879 is Class.
EBI-1059879 SubClassOf MI_0915.
EBI-1059883 is Class.
EBI-1059883 SubClassOf MI_0915.
EBI-1059893 is Class.
EBI-1059893 SubClassOf MI_0915.
EBI-1059906 is Class.
EBI-1059906 SubClassOf MI_0915.
EBI-1059911 is Class.
EBI-1059911 SubClassOf MI_0915.
EBI-1059915 is Class.
EBI-1059915 SubClassOf MI_0915.
EBI-1059920 is Class.
EBI-1059920 SubClassOf MI_0915.
EBI-1059924 is Class.
EBI-1059924 SubClassOf MI_0915.
EBI-1059929 is Class.
EBI-1059929 SubClassOf MI_0915.
EBI-1059943 is Class.
EBI-1059943 SubClassOf MI_0915.
EBI-1059952 is Class.
EBI-1059952 SubClassOf MI_0915.
EBI-1059961 is Class.
EBI-1059961 SubClassOf MI_0915.
EBI-1059975 is Class.
EBI-1059975 SubClassOf MI_0915.
EBI-1059989 is Class.
EBI-1059989 SubClassOf MI_0915.
EBI-1059999 is Class.
EBI-1059999 SubClassOf MI_0915.
EBI-1060011 is Class.
EBI-1060011 SubClassOf MI_0915.
EBI-1060051 is Class.
EBI-1060051 SubClassOf MI_0915.
EBI-1060060 is Class.
EBI-1060060 SubClassOf MI_0915.
EBI-1060072 is Class.
EBI-1060072 SubClassOf MI_0915.
EBI-1060087 is Class.
EBI-1060087 SubClassOf MI_0915.
EBI-1060091 is Class.
EBI-1060091 SubClassOf MI_0915.
EBI-1060104 is Class.
EBI-1060104 SubClassOf MI_0915.
EBI-1060109 is Class.
EBI-1060109 SubClassOf MI_0915.
EBI-1060113 is Class.
EBI-1060113 SubClassOf MI_0915.
EBI-1060131 is Class.
EBI-1060131 SubClassOf MI_0915.
EBI-1060135 is Class.
EBI-1060135 SubClassOf MI_0915.
EBI-1060140 is Class.
EBI-1060140 SubClassOf MI_0915.
EBI-1060145 is Class.
EBI-1060145 SubClassOf MI_0915.
EBI-1060157 is Class.
EBI-1060157 SubClassOf MI_0915.
EBI-1060162 is Class.
EBI-1060162 SubClassOf MI_0915.
EBI-1060175 is Class.
EBI-1060175 SubClassOf MI_0915.
EBI-1060180 is Class.
EBI-1060180 SubClassOf MI_0915.
EBI-1060189 is Class.
EBI-1060189 SubClassOf MI_0915.
EBI-1060204 is Class.
EBI-1060204 SubClassOf MI_0915.
EBI-1060209 is Class.
EBI-1060209 SubClassOf MI_0915.
EBI-1060214 is Class.
EBI-1060214 SubClassOf MI_0915.
EBI-1060245 is Class.
EBI-1060245 SubClassOf MI_0915.
EBI-1060258 is Class.
EBI-1060258 SubClassOf MI_0915.
EBI-1060273 is Class.
EBI-1060273 SubClassOf MI_0915.
EBI-1060278 is Class.
EBI-1060278 SubClassOf MI_0915.
EBI-1060283 is Class.
EBI-1060283 SubClassOf MI_0915.
EBI-1060311 is Class.
EBI-1060311 SubClassOf MI_0915.
EBI-1060315 is Class.
EBI-1060315 SubClassOf MI_0915.
EBI-1060320 is Class.
EBI-1060320 SubClassOf MI_0915.
EBI-1060348 is Class.
EBI-1060348 SubClassOf MI_0915.
EBI-1060360 is Class.
EBI-1060360 SubClassOf MI_0915.
EBI-1060365 is Class.
EBI-1060365 SubClassOf MI_0915.
EBI-1060370 is Class.
EBI-1060370 SubClassOf MI_0915.
EBI-1060378 is Class.
EBI-1060378 SubClassOf MI_0915.
EBI-1060386 is Class.
EBI-1060386 SubClassOf MI_0915.
EBI-1060394 is Class.
EBI-1060394 SubClassOf MI_0915.
EBI-1060398 is Class.
EBI-1060398 SubClassOf MI_0915.
EBI-1060408 is Class.
EBI-1060408 SubClassOf MI_0915.
EBI-1060417 is Class.
EBI-1060417 SubClassOf MI_0915.
EBI-1060431 is Class.
EBI-1060431 SubClassOf MI_0915.
EBI-1060436 is Class.
EBI-1060436 SubClassOf MI_0915.
EBI-1060446 is Class.
EBI-1060446 SubClassOf MI_0915.
EBI-1060455 is Class.
EBI-1060455 SubClassOf MI_0915.
EBI-1060460 is Class.
EBI-1060460 SubClassOf MI_0915.
EBI-1060464 is Class.
EBI-1060464 SubClassOf MI_0915.
EBI-1060469 is Class.
EBI-1060469 SubClassOf MI_0915.
EBI-1060473 is Class.
EBI-1060473 SubClassOf MI_0915.
EBI-1060482 is Class.
EBI-1060482 SubClassOf MI_0915.
EBI-1060495 is Class.
EBI-1060495 SubClassOf MI_0915.
EBI-1060500 is Class.
EBI-1060500 SubClassOf MI_0915.
EBI-1060505 is Class.
EBI-1060505 SubClassOf MI_0915.
EBI-1060509 is Class.
EBI-1060509 SubClassOf MI_0915.
EBI-1060524 is Class.
EBI-1060524 SubClassOf MI_0915.
EBI-1060529 is Class.
EBI-1060529 SubClassOf MI_0915.
EBI-1060534 is Class.
EBI-1060534 SubClassOf MI_0915.
EBI-1060538 is Class.
EBI-1060538 SubClassOf MI_0915.
EBI-1060542 is Class.
EBI-1060542 SubClassOf MI_0915.
EBI-1060546 is Class.
EBI-1060546 SubClassOf MI_0915.
EBI-1060556 is Class.
EBI-1060556 SubClassOf MI_0915.
EBI-1060566 is Class.
EBI-1060566 SubClassOf MI_0915.
EBI-1060571 is Class.
EBI-1060571 SubClassOf MI_0915.
EBI-1060580 is Class.
EBI-1060580 SubClassOf MI_0915.
EBI-1060598 is Class.
EBI-1060598 SubClassOf MI_0915.
EBI-1060603 is Class.
EBI-1060603 SubClassOf MI_0915.
EBI-1060608 is Class.
EBI-1060608 SubClassOf MI_0915.
EBI-1060617 is Class.
EBI-1060617 SubClassOf MI_0915.
EBI-1060625 is Class.
EBI-1060625 SubClassOf MI_0915.
EBI-1060630 is Class.
EBI-1060630 SubClassOf MI_0915.
EBI-1060635 is Class.
EBI-1060635 SubClassOf MI_0915.
EBI-1060640 is Class.
EBI-1060640 SubClassOf MI_0915.
EBI-1060644 is Class.
EBI-1060644 SubClassOf MI_0915.
EBI-1060649 is Class.
EBI-1060649 SubClassOf MI_0915.
EBI-1060653 is Class.
EBI-1060653 SubClassOf MI_0915.
EBI-1060658 is Class.
EBI-1060658 SubClassOf MI_0915.
EBI-1060663 is Class.
EBI-1060663 SubClassOf MI_0915.
EBI-1060668 is Class.
EBI-1060668 SubClassOf MI_0915.
EBI-1060673 is Class.
EBI-1060673 SubClassOf MI_0915.
EBI-1060678 is Class.
EBI-1060678 SubClassOf MI_0915.
EBI-1060683 is Class.
EBI-1060683 SubClassOf MI_0915.
EBI-1060687 is Class.
EBI-1060687 SubClassOf MI_0915.
EBI-1060691 is Class.
EBI-1060691 SubClassOf MI_0915.
EBI-1060695 is Class.
EBI-1060695 SubClassOf MI_0915.
EBI-1060709 is Class.
EBI-1060709 SubClassOf MI_0915.
EBI-1060718 is Class.
EBI-1060718 SubClassOf MI_0915.
EBI-1060723 is Class.
EBI-1060723 SubClassOf MI_0915.
EBI-1060733 is Class.
EBI-1060733 SubClassOf MI_0915.
EBI-1060738 is Class.
EBI-1060738 SubClassOf MI_0915.
EBI-1060743 is Class.
EBI-1060743 SubClassOf MI_0915.
EBI-1060747 is Class.
EBI-1060747 SubClassOf MI_0915.
EBI-1060751 is Class.
EBI-1060751 SubClassOf MI_0915.
EBI-1060755 is Class.
EBI-1060755 SubClassOf MI_0915.
EBI-1060760 is Class.
EBI-1060760 SubClassOf MI_0915.
EBI-1060765 is Class.
EBI-1060765 SubClassOf MI_0915.
EBI-1060770 is Class.
EBI-1060770 SubClassOf MI_0915.
EBI-1060774 is Class.
EBI-1060774 SubClassOf MI_0915.
EBI-1060779 is Class.
EBI-1060779 SubClassOf MI_0915.
EBI-1060783 is Class.
EBI-1060783 SubClassOf MI_0915.
EBI-1060797 is Class.
EBI-1060797 SubClassOf MI_0915.
EBI-1060809 is Class.
EBI-1060809 SubClassOf MI_0915.
EBI-1060823 is Class.
EBI-1060823 SubClassOf MI_0915.
EBI-1060828 is Class.
EBI-1060828 SubClassOf MI_0915.
EBI-1060837 is Class.
EBI-1060837 SubClassOf MI_0915.
EBI-1060841 is Class.
EBI-1060841 SubClassOf MI_0915.
EBI-1060864 is Class.
EBI-1060864 SubClassOf MI_0915.
EBI-1060868 is Class.
EBI-1060868 SubClassOf MI_0915.
EBI-1060872 is Class.
EBI-1060872 SubClassOf MI_0915.
EBI-1060877 is Class.
EBI-1060877 SubClassOf MI_0915.
EBI-1060881 is Class.
EBI-1060881 SubClassOf MI_0915.
EBI-1060890 is Class.
EBI-1060890 SubClassOf MI_0915.
EBI-1060894 is Class.
EBI-1060894 SubClassOf MI_0915.
EBI-1060898 is Class.
EBI-1060898 SubClassOf MI_0915.
EBI-1060902 is Class.
EBI-1060902 SubClassOf MI_0915.
EBI-1060907 is Class.
EBI-1060907 SubClassOf MI_0915.
EBI-1060912 is Class.
EBI-1060912 SubClassOf MI_0915.
EBI-1060917 is Class.
EBI-1060917 SubClassOf MI_0915.
EBI-1060921 is Class.
EBI-1060921 SubClassOf MI_0915.
EBI-1060935 is Class.
EBI-1060935 SubClassOf MI_0915.
EBI-1060947 is Class.
EBI-1060947 SubClassOf MI_0915.
EBI-1060952 is Class.
EBI-1060952 SubClassOf MI_0915.
EBI-1060976 is Class.
EBI-1060976 SubClassOf MI_0915.
EBI-1060984 is Class.
EBI-1060984 SubClassOf MI_0915.
EBI-1060993 is Class.
EBI-1060993 SubClassOf MI_0915.
EBI-1061002 is Class.
EBI-1061002 SubClassOf MI_0915.
EBI-1061011 is Class.
EBI-1061011 SubClassOf MI_0915.
EBI-1061015 is Class.
EBI-1061015 SubClassOf MI_0915.
EBI-1061019 is Class.
EBI-1061019 SubClassOf MI_0915.
EBI-1061024 is Class.
EBI-1061024 SubClassOf MI_0915.
EBI-1061028 is Class.
EBI-1061028 SubClassOf MI_0915.
EBI-1061037 is Class.
EBI-1061037 SubClassOf MI_0915.
EBI-1061041 is Class.
EBI-1061041 SubClassOf MI_0915.
EBI-1061046 is Class.
EBI-1061046 SubClassOf MI_0915.
EBI-1061050 is Class.
EBI-1061050 SubClassOf MI_0915.
EBI-1061054 is Class.
EBI-1061054 SubClassOf MI_0915.
EBI-1061058 is Class.
EBI-1061058 SubClassOf MI_0915.
EBI-1061063 is Class.
EBI-1061063 SubClassOf MI_0915.
EBI-1061067 is Class.
EBI-1061067 SubClassOf MI_0915.
EBI-1061091 is Class.
EBI-1061091 SubClassOf MI_0915.
EBI-1061099 is Class.
EBI-1061099 SubClassOf MI_0915.
EBI-1061103 is Class.
EBI-1061103 SubClassOf MI_0915.
EBI-1061107 is Class.
EBI-1061107 SubClassOf MI_0915.
EBI-1061116 is Class.
EBI-1061116 SubClassOf MI_0915.
EBI-1061120 is Class.
EBI-1061120 SubClassOf MI_0915.
EBI-1061124 is Class.
EBI-1061124 SubClassOf MI_0915.
EBI-1061129 is Class.
EBI-1061129 SubClassOf MI_0915.
EBI-1061134 is Class.
EBI-1061134 SubClassOf MI_0915.
EBI-1061143 is Class.
EBI-1061143 SubClassOf MI_0915.
EBI-1061147 is Class.
EBI-1061147 SubClassOf MI_0915.
EBI-1061151 is Class.
EBI-1061151 SubClassOf MI_0915.
EBI-1061155 is Class.
EBI-1061155 SubClassOf MI_0915.
EBI-1061164 is Class.
EBI-1061164 SubClassOf MI_0915.
EBI-1061168 is Class.
EBI-1061168 SubClassOf MI_0915.
EBI-1061176 is Class.
EBI-1061176 SubClassOf MI_0915.
EBI-1061181 is Class.
EBI-1061181 SubClassOf MI_0915.
EBI-1061185 is Class.
EBI-1061185 SubClassOf MI_0915.
EBI-1061194 is Class.
EBI-1061194 SubClassOf MI_0915.
EBI-1061208 is Class.
EBI-1061208 SubClassOf MI_0915.
EBI-1061213 is Class.
EBI-1061213 SubClassOf MI_0915.
EBI-1061218 is Class.
EBI-1061218 SubClassOf MI_0915.
EBI-1061222 is Class.
EBI-1061222 SubClassOf MI_0915.
EBI-1061227 is Class.
EBI-1061227 SubClassOf MI_0915.
EBI-1061240 is Class.
EBI-1061240 SubClassOf MI_0915.
EBI-1061244 is Class.
EBI-1061244 SubClassOf MI_0915.
EBI-1061248 is Class.
EBI-1061248 SubClassOf MI_0915.
EBI-1061256 is Class.
EBI-1061256 SubClassOf MI_0915.
EBI-1061260 is Class.
EBI-1061260 SubClassOf MI_0915.
EBI-1061278 is Class.
EBI-1061278 SubClassOf MI_0915.
EBI-1061290 is Class.
EBI-1061290 SubClassOf MI_0915.
EBI-1061299 is Class.
EBI-1061299 SubClassOf MI_0915.
EBI-1061304 is Class.
EBI-1061304 SubClassOf MI_0915.
EBI-1061308 is Class.
EBI-1061308 SubClassOf MI_0915.
EBI-1061313 is Class.
EBI-1061313 SubClassOf MI_0915.
EBI-1061318 is Class.
EBI-1061318 SubClassOf MI_0915.
EBI-1061322 is Class.
EBI-1061322 SubClassOf MI_0915.
EBI-1061327 is Class.
EBI-1061327 SubClassOf MI_0915.
EBI-1061341 is Class.
EBI-1061341 SubClassOf MI_0915.
EBI-1061346 is Class.
EBI-1061346 SubClassOf MI_0915.
EBI-1061350 is Class.
EBI-1061350 SubClassOf MI_0915.
EBI-1061355 is Class.
EBI-1061355 SubClassOf MI_0915.
EBI-1061360 is Class.
EBI-1061360 SubClassOf MI_0915.
EBI-1061364 is Class.
EBI-1061364 SubClassOf MI_0915.
EBI-1061369 is Class.
EBI-1061369 SubClassOf MI_0915.
EBI-1061373 is Class.
EBI-1061373 SubClassOf MI_0915.
EBI-1061387 is Class.
EBI-1061387 SubClassOf MI_0915.
EBI-1061392 is Class.
EBI-1061392 SubClassOf MI_0915.
EBI-1061397 is Class.
EBI-1061397 SubClassOf MI_0915.
EBI-1061402 is Class.
EBI-1061402 SubClassOf MI_0915.
EBI-1061406 is Class.
EBI-1061406 SubClassOf MI_0915.
EBI-1061415 is Class.
EBI-1061415 SubClassOf MI_0915.
EBI-1061419 is Class.
EBI-1061419 SubClassOf MI_0915.
EBI-1061436 is Class.
EBI-1061436 SubClassOf MI_0915.
EBI-1061444 is Class.
EBI-1061444 SubClassOf MI_0915.
EBI-1061457 is Class.
EBI-1061457 SubClassOf MI_0915.
EBI-1061462 is Class.
EBI-1061462 SubClassOf MI_0915.
EBI-1061470 is Class.
EBI-1061470 SubClassOf MI_0915.
EBI-1061500 is Class.
EBI-1061500 SubClassOf MI_0915.
EBI-1061510 is Class.
EBI-1061510 SubClassOf MI_0915.
EBI-1061523 is Class.
EBI-1061523 SubClassOf MI_0915.
EBI-1061527 is Class.
EBI-1061527 SubClassOf MI_0915.
EBI-1061532 is Class.
EBI-1061532 SubClassOf MI_0915.
EBI-1061536 is Class.
EBI-1061536 SubClassOf MI_0915.
EBI-1061545 is Class.
EBI-1061545 SubClassOf MI_0915.
EBI-1061549 is Class.
EBI-1061549 SubClassOf MI_0915.
EBI-1061557 is Class.
EBI-1061557 SubClassOf MI_0915.
EBI-1061565 is Class.
EBI-1061565 SubClassOf MI_0915.
EBI-1061574 is Class.
EBI-1061574 SubClassOf MI_0915.
EBI-1061578 is Class.
EBI-1061578 SubClassOf MI_0915.
EBI-1061592 is Class.
EBI-1061592 SubClassOf MI_0915.
EBI-1061596 is Class.
EBI-1061596 SubClassOf MI_0915.
EBI-1061600 is Class.
EBI-1061600 SubClassOf MI_0915.
EBI-1061618 is Class.
EBI-1061618 SubClassOf MI_0915.
EBI-1061622 is Class.
EBI-1061622 SubClassOf MI_0915.
EBI-1061626 is Class.
EBI-1061626 SubClassOf MI_0915.
EBI-1061630 is Class.
EBI-1061630 SubClassOf MI_0915.
EBI-1061642 is Class.
EBI-1061642 SubClassOf MI_0915.
EBI-1061650 is Class.
EBI-1061650 SubClassOf MI_0915.
EBI-1061658 is Class.
EBI-1061658 SubClassOf MI_0915.
EBI-1061668 is Class.
EBI-1061668 SubClassOf MI_0915.
EBI-1061678 is Class.
EBI-1061678 SubClassOf MI_0915.
EBI-1061690 is Class.
EBI-1061690 SubClassOf MI_0915.
EBI-1061695 is Class.
EBI-1061695 SubClassOf MI_0915.
EBI-1061716 is Class.
EBI-1061716 SubClassOf MI_0915.
EBI-1061720 is Class.
EBI-1061720 SubClassOf MI_0915.
EBI-1061742 is Class.
EBI-1061742 SubClassOf MI_0915.
EBI-1061751 is Class.
EBI-1061751 SubClassOf MI_0915.
EBI-1061763 is Class.
EBI-1061763 SubClassOf MI_0915.
EBI-1061776 is Class.
EBI-1061776 SubClassOf MI_0915.
EBI-1061789 is Class.
EBI-1061789 SubClassOf MI_0915.
EBI-1061798 is Class.
EBI-1061798 SubClassOf MI_0915.
EBI-1061807 is Class.
EBI-1061807 SubClassOf MI_0915.
EBI-1061811 is Class.
EBI-1061811 SubClassOf MI_0915.
EBI-1061825 is Class.
EBI-1061825 SubClassOf MI_0915.
EBI-1061833 is Class.
EBI-1061833 SubClassOf MI_0915.
EBI-1061847 is Class.
EBI-1061847 SubClassOf MI_0915.
EBI-1061851 is Class.
EBI-1061851 SubClassOf MI_0915.
EBI-1061855 is Class.
EBI-1061855 SubClassOf MI_0915.
EBI-1061869 is Class.
EBI-1061869 SubClassOf MI_0915.
EBI-1061874 is Class.
EBI-1061874 SubClassOf MI_0915.
EBI-1061878 is Class.
EBI-1061878 SubClassOf MI_0915.
EBI-1061882 is Class.
EBI-1061882 SubClassOf MI_0915.
EBI-1061886 is Class.
EBI-1061886 SubClassOf MI_0915.
EBI-1061890 is Class.
EBI-1061890 SubClassOf MI_0915.
EBI-1061894 is Class.
EBI-1061894 SubClassOf MI_0915.
EBI-1061899 is Class.
EBI-1061899 SubClassOf MI_0915.
EBI-1061908 is Class.
EBI-1061908 SubClassOf MI_0915.
EBI-1061916 is Class.
EBI-1061916 SubClassOf MI_0915.
EBI-1061920 is Class.
EBI-1061920 SubClassOf MI_0915.
EBI-1061924 is Class.
EBI-1061924 SubClassOf MI_0915.
EBI-1061936 is Class.
EBI-1061936 SubClassOf MI_0915.
EBI-1061944 is Class.
EBI-1061944 SubClassOf MI_0915.
EBI-1061948 is Class.
