RO_0002481 is ObjectProperty.
VBO_0000944 SubClassOf VBO_0000931.
VBO_0000946 is Class.
VBO_0000946 SubClassOf VBO_0000931.
VBO_0000947 is Class.
VBO_0000947 SubClassOf VBO_0000931.
VBO_0000949 is Class.
VBO_0000949 SubClassOf VBO_0000931.
VBO_0000950 is Class.
VBO_0000950 SubClassOf VBO_0000931.
VBO_0000951 is Class.
VBO_0000951 SubClassOf VBO_0000931.
VBO_0000953 is Class.
VBO_0000953 SubClassOf VBO_0000931.
VBO_0000954 is Class.
VBO_0000954 SubClassOf VBO_0000931.
VBO_0000955 is Class.
VBO_0000955 SubClassOf VBO_0000931.
VBO_0000956 is Class.
VBO_0000956 SubClassOf VBO_0000931.
VBO_0000957 is Class.
VBO_0000957 SubClassOf VBO_0000931.
VBO_0000958 is Class.
VBO_0000958 SubClassOf VBO_0000931.
VBO_0000959 is Class.
VBO_0000959 SubClassOf VBO_0000931.
VBO_0000961 is Class.
VBO_0000961 SubClassOf VBO_0000931.
VBO_0000962 is Class.
VBO_0000962 SubClassOf VBO_0000931.
VBO_0000963 is Class.
VBO_0000963 SubClassOf VBO_0000931.
VBO_0000964 is Class.
VBO_0000964 SubClassOf VBO_0000931.
VBO_0000965 is Class.
VBO_0000965 SubClassOf VBO_0000931.
VBO_0000966 is Class.
VBO_0000966 SubClassOf VBO_0000931.
VBO_0000967 is Class.
VBO_0000967 SubClassOf VBO_0000931.
VBO_0000968 is Class.
VBO_0000968 SubClassOf VBO_0000931.
VBO_0000969 is Class.
VBO_0000969 SubClassOf VBO_0000931.
VBO_0000970 is Class.
VBO_0000970 SubClassOf VBO_0000931.
VBO_0000971 is Class.
VBO_0000971 SubClassOf VBO_0000931.
VBO_0000972 is Class.
VBO_0000972 SubClassOf VBO_0000931.
VBO_0000973 is Class.
VBO_0000973 SubClassOf VBO_0000931.
VBO_0000974 is Class.
VBO_0000974 SubClassOf VBO_0000931.
VBO_0000975 is Class.
VBO_0000975 SubClassOf VBO_0000931.
VBO_0000976 is Class.
VBO_0000976 SubClassOf VBO_0000931.
VBO_0000977 is Class.
VBO_0000977 SubClassOf VBO_0000931.
VBO_0000978 is Class.
VBO_0000978 SubClassOf VBO_0000931.
VBO_0000980 is Class.
VBO_0000980 SubClassOf VBO_0000931.
VBO_0000981 is Class.
VBO_0000981 SubClassOf VBO_0000931.
VBO_0000982 is Class.
VBO_0000982 SubClassOf VBO_0000931.
VBO_0000983 is Class.
VBO_0000983 SubClassOf VBO_0000931.
VBO_0000984 is Class.
VBO_0000984 SubClassOf VBO_0000931.
VBO_0000987 is Class.
VBO_0000987 SubClassOf VBO_0000931.
VBO_0000988 is Class.
VBO_0000988 SubClassOf VBO_0000931.
VBO_0000989 is Class.
VBO_0000989 SubClassOf VBO_0000931.
VBO_0000991 is Class.
VBO_0000991 SubClassOf VBO_0000931.
VBO_0000992 is Class.
VBO_0000992 SubClassOf VBO_0000931.
VBO_0000993 is Class.
VBO_0000993 SubClassOf VBO_0000931.
VBO_0000994 is Class.
VBO_0000994 SubClassOf VBO_0000931.
VBO_0000995 is Class.
VBO_0000995 SubClassOf VBO_0000931.
VBO_0000997 is Class.
VBO_0000997 SubClassOf VBO_0000931.
VBO_0000998 is Class.
VBO_0000998 SubClassOf VBO_0000931.
VBO_0000999 is Class.
VBO_0000999 SubClassOf VBO_0000931.
VBO_0001000 is Class.
VBO_0001000 SubClassOf VBO_0000931.
VBO_0001001 is Class.
VBO_0001001 SubClassOf VBO_0000931.
VBO_0001002 is Class.
VBO_0001002 SubClassOf VBO_0000931.
VBO_0001003 is Class.
VBO_0001003 SubClassOf VBO_0000931.
VBO_0001004 is Class.
VBO_0001004 SubClassOf VBO_0000931.
VBO_0001005 is Class.
VBO_0001005 SubClassOf VBO_0000931.
VBO_0001006 is Class.
VBO_0001006 SubClassOf VBO_0000931.
VBO_0001007 is Class.
VBO_0001007 SubClassOf VBO_0000931.
VBO_0001008 is Class.
VBO_0001008 SubClassOf VBO_0000931.
VBO_0001009 is Class.
VBO_0001009 SubClassOf VBO_0000931.
VBO_0001010 is Class.
VBO_0001010 SubClassOf VBO_0000931.
VBO_0001011 is Class.
VBO_0001011 SubClassOf VBO_0000931.
VBO_0001012 is Class.
VBO_0001012 SubClassOf VBO_0000931.
VBO_0001013 is Class.
VBO_0001013 SubClassOf VBO_0000931.
VBO_0001014 is Class.
VBO_0001014 SubClassOf VBO_0000931.
VBO_0001015 is Class.
VBO_0001015 SubClassOf VBO_0000931.
VBO_0001016 is Class.
VBO_0001016 SubClassOf VBO_0000931.
VBO_0001017 is Class.
VBO_0001017 SubClassOf VBO_0000931.
VBO_0001018 is Class.
VBO_0001018 SubClassOf VBO_0000931.
VBO_0001020 is Class.
VBO_0001020 SubClassOf VBO_0000931.
VBO_0001021 is Class.
VBO_0001021 SubClassOf VBO_0000931.
VBO_0001022 is Class.
VBO_0001022 SubClassOf VBO_0000931.
VBO_0001023 is Class.
VBO_0001023 SubClassOf VBO_0000931.
VBO_0001024 is Class.
VBO_0001024 SubClassOf VBO_0000931.
VBO_0001025 is Class.
VBO_0001025 SubClassOf VBO_0000931.
VBO_0001026 is Class.
VBO_0001026 SubClassOf VBO_0000931.
VBO_0001027 is Class.
VBO_0001027 SubClassOf VBO_0000931.
VBO_0001028 is Class.
VBO_0001028 SubClassOf VBO_0000931.
VBO_0001030 is Class.
VBO_0001030 SubClassOf VBO_0000931.
VBO_0001031 is Class.
VBO_0001031 SubClassOf VBO_0000931.
VBO_0001032 is Class.
VBO_0001032 SubClassOf VBO_0000931.
VBO_0001033 is Class.
VBO_0001033 SubClassOf VBO_0000931.
VBO_0001035 is Class.
VBO_0001035 SubClassOf VBO_0000931.
VBO_0001036 is Class.
VBO_0001036 SubClassOf VBO_0000931.
VBO_0001037 is Class.
VBO_0001037 SubClassOf VBO_0000931.
VBO_0001038 is Class.
VBO_0001038 SubClassOf VBO_0000931.
VBO_0001039 is Class.
VBO_0001039 SubClassOf VBO_0000931.
VBO_0001040 is Class.
VBO_0001040 SubClassOf VBO_0000931.
VBO_0001041 is Class.
VBO_0001041 SubClassOf VBO_0000931.
VBO_0001042 is Class.
VBO_0001042 SubClassOf VBO_0000931.
VBO_0001043 is Class.
VBO_0001043 SubClassOf VBO_0000931.
VBO_0001044 is Class.
VBO_0001044 SubClassOf VBO_0000931.
VBO_0001045 is Class.
VBO_0001045 SubClassOf VBO_0000931.
VBO_0001046 is Class.
VBO_0001046 SubClassOf VBO_0000931.
VBO_0001047 is Class.
VBO_0001047 SubClassOf VBO_0000931.
VBO_0001048 is Class.
VBO_0001048 SubClassOf VBO_0000931.
VBO_0001049 is Class.
VBO_0001049 SubClassOf VBO_0000931.
VBO_0001050 is Class.
VBO_0001050 SubClassOf VBO_0000931.
VBO_0001051 is Class.
VBO_0001051 SubClassOf VBO_0000931.
VBO_0001052 is Class.
VBO_0001052 SubClassOf VBO_0000931.
VBO_0001053 is Class.
VBO_0001053 SubClassOf VBO_0000931.
VBO_0001054 is Class.
VBO_0001054 SubClassOf VBO_0000931.
VBO_0001055 is Class.
VBO_0001055 SubClassOf VBO_0000931.
VBO_0001056 is Class.
VBO_0001056 SubClassOf VBO_0000931.
VBO_0001057 is Class.
VBO_0001057 SubClassOf VBO_0000931.
VBO_0001058 is Class.
VBO_0001058 SubClassOf VBO_0000931.
VBO_0001060 is Class.
VBO_0001060 SubClassOf VBO_0000931.
VBO_0001061 is Class.
VBO_0001061 SubClassOf VBO_0000931.
VBO_0001062 is Class.
VBO_0001062 SubClassOf VBO_0000931.
VBO_0001063 is Class.
VBO_0001063 SubClassOf VBO_0000931.
VBO_0001064 is Class.
VBO_0001064 SubClassOf VBO_0000931.
VBO_0001065 is Class.
VBO_0001065 SubClassOf VBO_0000931.
VBO_0001066 is Class.
VBO_0001066 SubClassOf VBO_0000931.
VBO_0001067 is Class.
VBO_0001067 SubClassOf VBO_0000931.
VBO_0001068 is Class.
VBO_0001068 SubClassOf VBO_0000931.
VBO_0001069 is Class.
VBO_0001069 SubClassOf VBO_0000931.
VBO_0001070 is Class.
VBO_0001070 SubClassOf VBO_0000931.
VBO_0001073 is Class.
VBO_0001073 SubClassOf VBO_0000931.
VBO_0001074 is Class.
VBO_0001074 SubClassOf VBO_0000931.
VBO_0001075 is Class.
VBO_0001075 SubClassOf VBO_0000931.
VBO_0001076 is Class.
VBO_0001076 SubClassOf VBO_0000931.
VBO_0001078 is Class.
VBO_0001078 SubClassOf VBO_0000931.
VBO_0001079 is Class.
VBO_0001079 SubClassOf VBO_0000931.
VBO_0001080 is Class.
VBO_0001080 SubClassOf VBO_0000931.
VBO_0001081 is Class.
VBO_0001081 SubClassOf VBO_0000931.
VBO_0001082 is Class.
VBO_0001082 SubClassOf VBO_0000931.
VBO_0001083 is Class.
VBO_0001083 SubClassOf VBO_0000931.
VBO_0001084 is Class.
VBO_0001084 SubClassOf VBO_0000931.
VBO_0001085 is Class.
VBO_0001085 SubClassOf VBO_0000931.
VBO_0001086 is Class.
VBO_0001086 SubClassOf VBO_0000931.
VBO_0001088 is Class.
VBO_0001088 SubClassOf VBO_0000931.
VBO_0001089 is Class.
VBO_0001089 SubClassOf VBO_0000931.
VBO_0001090 is Class.
VBO_0001090 SubClassOf VBO_0000931.
VBO_0001091 is Class.
VBO_0001091 SubClassOf VBO_0000931.
VBO_0001092 is Class.
VBO_0001092 SubClassOf VBO_0000931.
VBO_0001093 is Class.
VBO_0001093 SubClassOf VBO_0000931.
VBO_0001095 is Class.
VBO_0001095 SubClassOf VBO_0000931.
VBO_0010243 is Class.
VBO_0010243 SubClassOf VBO_0000931.
VBO_0010480 is Class.
VBO_0010480 SubClassOf VBO_0000931.
VBO_0011146 is Class.
VBO_0011146 SubClassOf VBO_0000931.
VBO_0011147 is Class.
VBO_0011147 SubClassOf VBO_0000931.
VBO_0011148 is Class.
VBO_0011148 SubClassOf VBO_0000931.
VBO_0011149 is Class.
VBO_0011149 SubClassOf VBO_0000931.
VBO_0011150 is Class.
VBO_0011150 SubClassOf VBO_0000931.
VBO_0011152 is Class.
VBO_0011152 SubClassOf VBO_0000931.
VBO_0011153 is Class.
VBO_0011153 SubClassOf VBO_0000931.
VBO_0011154 is Class.
VBO_0011154 SubClassOf VBO_0000931.
VBO_0011155 is Class.
VBO_0011155 SubClassOf VBO_0000931.
VBO_0011156 is Class.
VBO_0011156 SubClassOf VBO_0000931.
VBO_0011158 is Class.
VBO_0011158 SubClassOf VBO_0000931.
VBO_0011159 is Class.
VBO_0011159 SubClassOf VBO_0000931.
VBO_0011161 is Class.
VBO_0011161 SubClassOf VBO_0000931.
VBO_0011162 is Class.
VBO_0011162 SubClassOf VBO_0000931.
VBO_0011163 is Class.
VBO_0011163 SubClassOf VBO_0000931.
VBO_0011164 is Class.
VBO_0011164 SubClassOf VBO_0000931.
VBO_0011165 is Class.
VBO_0011165 SubClassOf VBO_0000931.
VBO_0011168 is Class.
VBO_0011168 SubClassOf VBO_0000931.
VBO_0011169 is Class.
VBO_0011169 SubClassOf VBO_0000931.
VBO_0011170 is Class.
VBO_0011170 SubClassOf VBO_0000931.
VBO_0011171 is Class.
VBO_0011171 SubClassOf VBO_0000931.
VBO_0011172 is Class.
VBO_0011172 SubClassOf VBO_0000931.
VBO_0011173 is Class.
VBO_0011173 SubClassOf VBO_0000931.
VBO_0011174 is Class.
VBO_0011174 SubClassOf VBO_0000931.
VBO_0011175 is Class.
VBO_0011175 SubClassOf VBO_0000931.
VBO_0011176 is Class.
VBO_0011176 SubClassOf VBO_0000931.
VBO_0011177 is Class.
VBO_0011177 SubClassOf VBO_0000931.
VBO_0011178 is Class.
VBO_0011178 SubClassOf VBO_0000931.
VBO_0011180 is Class.
VBO_0011180 SubClassOf VBO_0000931.
VBO_0011181 is Class.
VBO_0011181 SubClassOf VBO_0000931.
VBO_0011182 is Class.
VBO_0011182 SubClassOf VBO_0000931.
VBO_0011183 is Class.
VBO_0011183 SubClassOf VBO_0000931.
VBO_0011184 is Class.
VBO_0011184 SubClassOf VBO_0000931.
VBO_0011185 is Class.
VBO_0011185 SubClassOf VBO_0000931.
VBO_0011186 is Class.
VBO_0011186 SubClassOf VBO_0000931.
VBO_0011187 is Class.
VBO_0011187 SubClassOf VBO_0000931.
VBO_0011188 is Class.
VBO_0011188 SubClassOf VBO_0000931.
VBO_0011189 is Class.
VBO_0011189 SubClassOf VBO_0000931.
VBO_0011191 is Class.
VBO_0011191 SubClassOf VBO_0000931.
VBO_0011192 is Class.
VBO_0011192 SubClassOf VBO_0000931.
VBO_0011193 is Class.
VBO_0011193 SubClassOf VBO_0000931.
VBO_0011194 is Class.
VBO_0011194 SubClassOf VBO_0000931.
VBO_0011195 is Class.
VBO_0011195 SubClassOf VBO_0000931.
VBO_0011196 is Class.
VBO_0011196 SubClassOf VBO_0000931.
VBO_0011199 is Class.
VBO_0011199 SubClassOf VBO_0000931.
VBO_0011200 is Class.
VBO_0011200 SubClassOf VBO_0000931.
VBO_0011201 is Class.
VBO_0011201 SubClassOf VBO_0000931.
VBO_0011202 is Class.
VBO_0011202 SubClassOf VBO_0000931.
VBO_0011203 is Class.
VBO_0011203 SubClassOf VBO_0000931.
VBO_0011204 is Class.
VBO_0011204 SubClassOf VBO_0000931.
VBO_0011206 is Class.
VBO_0011206 SubClassOf VBO_0000931.
VBO_0011207 is Class.
VBO_0011207 SubClassOf VBO_0000931.
VBO_0011208 is Class.
VBO_0011208 SubClassOf VBO_0000931.
VBO_0011209 is Class.
VBO_0011209 SubClassOf VBO_0000931.
VBO_0011210 is Class.
VBO_0011210 SubClassOf VBO_0000931.
VBO_0011211 is Class.
VBO_0011211 SubClassOf VBO_0000931.
VBO_0011212 is Class.
VBO_0011212 SubClassOf VBO_0000931.
VBO_0011213 is Class.
VBO_0011213 SubClassOf VBO_0000931.
VBO_0011214 is Class.
VBO_0011214 SubClassOf VBO_0000931.
VBO_0011215 is Class.
VBO_0011215 SubClassOf VBO_0000931.
VBO_0011218 is Class.
VBO_0011218 SubClassOf VBO_0000931.
VBO_0011219 is Class.
VBO_0011219 SubClassOf VBO_0000931.
VBO_0011220 is Class.
VBO_0011220 SubClassOf VBO_0000931.
VBO_0011221 is Class.
VBO_0011221 SubClassOf VBO_0000931.
VBO_0011222 is Class.
VBO_0011222 SubClassOf VBO_0000931.
VBO_0011223 is Class.
VBO_0011223 SubClassOf VBO_0000931.
VBO_0011224 is Class.
VBO_0011224 SubClassOf VBO_0000931.
VBO_0011225 is Class.
VBO_0011225 SubClassOf VBO_0000931.
VBO_0011226 is Class.
VBO_0011226 SubClassOf VBO_0000931.
VBO_0011228 is Class.
VBO_0011228 SubClassOf VBO_0000931.
VBO_0011229 is Class.
VBO_0011229 SubClassOf VBO_0000931.
VBO_0011230 is Class.
VBO_0011230 SubClassOf VBO_0000931.
VBO_0011231 is Class.
VBO_0011231 SubClassOf VBO_0000931.
VBO_0011234 is Class.
VBO_0011234 SubClassOf VBO_0000931.
VBO_0011235 is Class.
VBO_0011235 SubClassOf VBO_0000931.
VBO_0011236 is Class.
VBO_0011236 SubClassOf VBO_0000931.
VBO_0011237 is Class.
VBO_0011237 SubClassOf VBO_0000931.
VBO_0011238 is Class.
VBO_0011238 SubClassOf VBO_0000931.
VBO_0011239 is Class.
VBO_0011239 SubClassOf VBO_0000931.
VBO_0011240 is Class.
VBO_0011240 SubClassOf VBO_0000931.
VBO_0011242 is Class.
VBO_0011242 SubClassOf VBO_0000931.
VBO_0011243 is Class.
VBO_0011243 SubClassOf VBO_0000931.
VBO_0011245 is Class.
VBO_0011245 SubClassOf VBO_0000931.
VBO_0011246 is Class.
VBO_0011246 SubClassOf VBO_0000931.
VBO_0011248 is Class.
VBO_0011248 SubClassOf VBO_0000931.
VBO_0011250 is Class.
VBO_0011250 SubClassOf VBO_0000931.
VBO_0011252 is Class.
VBO_0011252 SubClassOf VBO_0000931.
VBO_0011253 is Class.
VBO_0011253 SubClassOf VBO_0000931.
VBO_0011254 is Class.
VBO_0011254 SubClassOf VBO_0000931.
VBO_0011255 is Class.
VBO_0011255 SubClassOf VBO_0000931.
VBO_0011256 is Class.
VBO_0011256 SubClassOf VBO_0000931.
VBO_0011257 is Class.
VBO_0011257 SubClassOf VBO_0000931.
VBO_0011258 is Class.
VBO_0011258 SubClassOf VBO_0000931.
VBO_0011259 is Class.
VBO_0011259 SubClassOf VBO_0000931.
VBO_0011260 is Class.
VBO_0011260 SubClassOf VBO_0000931.
VBO_0011261 is Class.
VBO_0011261 SubClassOf VBO_0000931.
VBO_0011262 is Class.
VBO_0011262 SubClassOf VBO_0000931.
VBO_0011263 is Class.
VBO_0011263 SubClassOf VBO_0000931.
VBO_0011264 is Class.
VBO_0011264 SubClassOf VBO_0000931.
VBO_0011265 is Class.
VBO_0011265 SubClassOf VBO_0000931.
VBO_0011266 is Class.
VBO_0011266 SubClassOf VBO_0000931.
VBO_0011267 is Class.
VBO_0011267 SubClassOf VBO_0000931.
VBO_0011268 is Class.
VBO_0011268 SubClassOf VBO_0000931.
VBO_0011269 is Class.
VBO_0011269 SubClassOf VBO_0000931.
VBO_0011271 is Class.
VBO_0011271 SubClassOf VBO_0000931.
VBO_0011272 is Class.
VBO_0011272 SubClassOf VBO_0000931.
VBO_0011273 is Class.
VBO_0011273 SubClassOf VBO_0000931.
VBO_0011274 is Class.
VBO_0011274 SubClassOf VBO_0000931.
VBO_0011276 is Class.
VBO_0011276 SubClassOf VBO_0000931.
VBO_0011277 is Class.
VBO_0011277 SubClassOf VBO_0000931.
VBO_0011278 is Class.
VBO_0011278 SubClassOf VBO_0000931.
VBO_0011279 is Class.
VBO_0011279 SubClassOf VBO_0000931.
VBO_0011280 is Class.
VBO_0011280 SubClassOf VBO_0000931.
VBO_0011282 is Class.
VBO_0011282 SubClassOf VBO_0000931.
VBO_0011283 is Class.
VBO_0011283 SubClassOf VBO_0000931.
VBO_0011284 is Class.
VBO_0011284 SubClassOf VBO_0000931.
VBO_0011285 is Class.
VBO_0011285 SubClassOf VBO_0000931.
VBO_0011286 is Class.
VBO_0011286 SubClassOf VBO_0000931.
VBO_0011288 is Class.
VBO_0011288 SubClassOf VBO_0000931.
VBO_0011290 is Class.
VBO_0011290 SubClassOf VBO_0000931.
VBO_0011291 is Class.
VBO_0011291 SubClassOf VBO_0000931.
VBO_0011292 is Class.
VBO_0011292 SubClassOf VBO_0000931.
VBO_0011293 is Class.
VBO_0011293 SubClassOf VBO_0000931.
VBO_0011294 is Class.
VBO_0011294 SubClassOf VBO_0000931.
VBO_0011295 is Class.
VBO_0011295 SubClassOf VBO_0000931.
VBO_0011296 is Class.
VBO_0011296 SubClassOf VBO_0000931.
VBO_0011297 is Class.
VBO_0011297 SubClassOf VBO_0000931.
VBO_0011298 is Class.
VBO_0011298 SubClassOf VBO_0000931.
VBO_0011299 is Class.
VBO_0011299 SubClassOf VBO_0000931.
VBO_0011300 is Class.
VBO_0011300 SubClassOf VBO_0000931.
VBO_0011301 is Class.
VBO_0011301 SubClassOf VBO_0000931.
VBO_0011302 is Class.
VBO_0011302 SubClassOf VBO_0000931.
VBO_0011303 is Class.
VBO_0011303 SubClassOf VBO_0000931.
VBO_0011304 is Class.
VBO_0011304 SubClassOf VBO_0000931.
VBO_0011305 is Class.
VBO_0011305 SubClassOf VBO_0000931.
VBO_0011306 is Class.
VBO_0011306 SubClassOf VBO_0000931.
VBO_0011307 is Class.
VBO_0011307 SubClassOf VBO_0000931.
VBO_0011308 is Class.
VBO_0011308 SubClassOf VBO_0000931.
VBO_0011309 is Class.
VBO_0011309 SubClassOf VBO_0000931.
VBO_0011310 is Class.
VBO_0011310 SubClassOf VBO_0000931.
VBO_0011311 is Class.
VBO_0011311 SubClassOf VBO_0000931.
VBO_0011312 is Class.
VBO_0011312 SubClassOf VBO_0000931.
VBO_0011313 is Class.
VBO_0011313 SubClassOf VBO_0000931.
VBO_0011314 is Class.
VBO_0011314 SubClassOf VBO_0000931.
VBO_0011315 is Class.
VBO_0011315 SubClassOf VBO_0000931.
VBO_0011316 is Class.
VBO_0011316 SubClassOf VBO_0000931.
VBO_0011317 is Class.
VBO_0011317 SubClassOf VBO_0000931.
VBO_0011318 is Class.
VBO_0011318 SubClassOf VBO_0000931.
VBO_0011319 is Class.
VBO_0011319 SubClassOf VBO_0000931.
VBO_0011320 is Class.
VBO_0011320 SubClassOf VBO_0000931.
VBO_0011321 is Class.
VBO_0011321 SubClassOf VBO_0000931.
VBO_0011322 is Class.
VBO_0011322 SubClassOf VBO_0000931.
VBO_0011323 is Class.
VBO_0011323 SubClassOf VBO_0000931.
VBO_0011324 is Class.
VBO_0011324 SubClassOf VBO_0000931.
VBO_0011325 is Class.
VBO_0011325 SubClassOf VBO_0000931.
VBO_0011326 is Class.
VBO_0011326 SubClassOf VBO_0000931.
VBO_0011327 is Class.
VBO_0011327 SubClassOf VBO_0000931.
VBO_0011328 is Class.
VBO_0011328 SubClassOf VBO_0000931.
VBO_0011329 is Class.
VBO_0011329 SubClassOf VBO_0000931.
VBO_0011330 is Class.
VBO_0011330 SubClassOf VBO_0000931.
VBO_0011331 is Class.
VBO_0011331 SubClassOf VBO_0000931.
VBO_0011332 is Class.
VBO_0011332 SubClassOf VBO_0000931.
VBO_0011333 is Class.
VBO_0011333 SubClassOf VBO_0000931.
VBO_0011334 is Class.
VBO_0011334 SubClassOf VBO_0000931.
VBO_0011335 is Class.
VBO_0011335 SubClassOf VBO_0000931.
VBO_0011337 is Class.
VBO_0011337 SubClassOf VBO_0000931.
VBO_0011338 is Class.
VBO_0011338 SubClassOf VBO_0000931.
VBO_0011339 is Class.
VBO_0011339 SubClassOf VBO_0000931.
VBO_0011340 is Class.
VBO_0011340 SubClassOf VBO_0000931.
VBO_0011341 is Class.
VBO_0011341 SubClassOf VBO_0000931.
VBO_0011342 is Class.
VBO_0011342 SubClassOf VBO_0000931.
VBO_0011343 is Class.
VBO_0011343 SubClassOf VBO_0000931.
VBO_0011344 is Class.
VBO_0011344 SubClassOf VBO_0000931.
VBO_0011347 is Class.
VBO_0011347 SubClassOf VBO_0000931.
VBO_0011349 is Class.
VBO_0011349 SubClassOf VBO_0000931.
VBO_0011351 is Class.
VBO_0011351 SubClassOf VBO_0000931.
VBO_0011352 is Class.
VBO_0011352 SubClassOf VBO_0000931.
VBO_0011353 is Class.
VBO_0011353 SubClassOf VBO_0000931.
VBO_0011354 is Class.
VBO_0011354 SubClassOf VBO_0000931.
VBO_0011355 is Class.
VBO_0011355 SubClassOf VBO_0000931.
VBO_0011356 is Class.
VBO_0011356 SubClassOf VBO_0000931.
VBO_0011357 is Class.
VBO_0011357 SubClassOf VBO_0000931.
VBO_0011358 is Class.
VBO_0011358 SubClassOf VBO_0000931.
VBO_0011359 is Class.
VBO_0011359 SubClassOf VBO_0000931.
VBO_0011360 is Class.
VBO_0011360 SubClassOf VBO_0000931.
VBO_0011361 is Class.
VBO_0011361 SubClassOf VBO_0000931.
VBO_0011362 is Class.
VBO_0011362 SubClassOf VBO_0000931.
VBO_0011363 is Class.
VBO_0011363 SubClassOf VBO_0000931.
VBO_0011364 is Class.
VBO_0011364 SubClassOf VBO_0000931.
VBO_0011365 is Class.
VBO_0011365 SubClassOf VBO_0000931.
VBO_0011366 is Class.
VBO_0011366 SubClassOf VBO_0000931.
VBO_0011367 is Class.
VBO_0011367 SubClassOf VBO_0000931.
VBO_0011368 is Class.
VBO_0011368 SubClassOf VBO_0000931.
VBO_0011369 is Class.
VBO_0011369 SubClassOf VBO_0000931.
VBO_0011371 is Class.
