www.obofoundry.org/ro/ro.# is ObjectProperty.
sao1049717962 SubClassOf sao864921383.
sao1049717962 DisjointWith sao866168499.
sao1049717962 DisjointWith sao553711217.
sao1049717962 DisjointWith sao1922892319.
sao1049717962 DisjointWith sao1877927224.
sao1049717962 DisjointWith sao1579007712.
sao1049717962 DisjointWith sao1425028079.
sao1049717962 DisjointWith sao1299635018.
sao1049717962 DisjointWith sao1289190043.
sao1049717962 DisjointWith sao1186862860.
sao1049717962 DisjointWith sao1044911821.
sao1049717962 DisjointWith sao-867568886.
sao1049717962 DisjointWith sao-596411490.
sao1049717962 DisjointWith sao-420949334.
sao1049717962 DisjointWith sao-250931889.
sao1049717962 DisjointWith sao-1367457321.
sao1071221672 is Class.
sao1071221672 SubClassOf sao180601769.
sao1081228141 is Class.
sao1081228141 SubClassOf sao-1337158144.
sao1081228141 DisjointWith sao830981606.
sao1081228141 DisjointWith sao787716553.
sao1081228141 DisjointWith sao730872736.
sao1081228141 DisjointWith sao628508602.
sao1081228141 DisjointWith sao221389602.
sao1081228141 DisjointWith sao1969557946.
sao1081228141 DisjointWith sao1938587839.
sao1081228141 DisjointWith sao1784069613.
sao1081228141 DisjointWith sao1663586795.
sao1081228141 DisjointWith sao1635329413.
sao1081228141 DisjointWith sao1539965131.
sao1081228141 DisjointWith sao1397492660.
sao1081228141 DisjointWith sao120573470.
sao1081228141 DisjointWith sao11978067.
sao1081228141 DisjointWith sao101633890.
sao110773650 is Class.
sao110773650 SubClassOf sao1846835077.
sao1111202255 is Class.
sao1111202255 SubClassOf sao386529203.
sao113580911 is Class.
sao113580911 SubClassOf sao-1819020575.
sao113580911 DisjointWith sao2019617624.
sao113580911 DisjointWith sao1682692988.
sao113580911 DisjointWith sao1546288504.
sao113580911 DisjointWith sao-1686050947.
sao1145756102 is Class.
sao1145756102 SubClassOf sao-250931889.
sao1153182838 is Class.
sao1153182838 SubClassOf sao830981606.
sao1177708494 is Class.
sao1177708494 SubClassOf sao1455064842.
sao1186327184 is Class.
sao1186327184 SubClassOf sao666410040.
sao1186862860 is Class.
sao1186862860 DisjointWith sao1049717962.
sao1191319089 is Class.
sao1191319089 SubClassOf sao340271629,.
proper_part_of some sao1770195789 is www.obofoundry.org/ro/ro.#.
proper_part_of some sao1770195789 DisjointWith sao936144858.
proper_part_of some sao1770195789 DisjointWith sao830092290.
proper_part_of some sao1770195789 DisjointWith sao-188049490.
sao1196688972 is Class.
sao1196688972 SubClassOf sao1507566336.
sao11978067 is Class.
sao11978067 SubClassOf sao-1337158144.
sao11978067 DisjointWith sao830981606.
sao11978067 DisjointWith sao787716553.
sao11978067 DisjointWith sao730872736.
sao11978067 DisjointWith sao628508602.
sao11978067 DisjointWith sao221389602.
sao11978067 DisjointWith sao1969557946.
sao11978067 DisjointWith sao1938587839.
sao11978067 DisjointWith sao1784069613.
sao11978067 DisjointWith sao1663586795.
sao11978067 DisjointWith sao1635329413.
sao11978067 DisjointWith sao1539965131.
sao11978067 DisjointWith sao1397492660.
sao11978067 DisjointWith sao120573470.
sao11978067 DisjointWith sao1081228141.
sao11978067 DisjointWith sao101633890.
sao120573470 is Class.
sao120573470 SubClassOf sao-1337158144.
sao120573470 DisjointWith sao830981606.
sao120573470 DisjointWith sao787716553.
sao120573470 DisjointWith sao730872736.
sao120573470 DisjointWith sao628508602.
sao120573470 DisjointWith sao221389602.
sao120573470 DisjointWith sao1969557946.
sao120573470 DisjointWith sao1938587839.
sao120573470 DisjointWith sao1784069613.
sao120573470 DisjointWith sao1663586795.
sao120573470 DisjointWith sao1635329413.
sao120573470 DisjointWith sao1539965131.
sao120573470 DisjointWith sao1397492660.
sao120573470 DisjointWith sao11978067.
sao120573470 DisjointWith sao1081228141.
sao120573470 DisjointWith sao101633890.
sao1211023249 is Class.
sao1211023249 SubClassOf sao-867568886.
sao1217793903 is Class.
sao1217793903 SubClassOf sao113580911.
sao1217793903 DisjointWith sao1841764412.
sao124393998 is Class.
sao124393998 SubClassOf sao2019617624.
sao1253297813 is Class.
sao1253297813 SubClassOf sao895885284.
sao1253297813 DisjointWith sao831502550.
sao1253297813 DisjointWith sao685712019.
sao1253297813 DisjointWith sao195217619.
sao1279474730 is Class.
sao1279474730 SubClassOf sao831502550.
sao128470897 is Class.
sao128470897 SubClassOf sao1634374950.
sao1289190043 is Class.
sao1289190043 DisjointWith sao1049717962.
sao1299635018 is Class.
sao1299635018 DisjointWith sao1049717962.
sao1311109124 is Class.
sao1311109124 SubClassOf sao914572699.
sao1316272517 is Class.
sao1316272517 SubClassOf sao952483289.
sao1362520468 is Class.
sao1362520468 SubClassOf sao180601769.
sao1376748732 is Class.
sao1376748732 SubClassOf sao195217619.
sao1379604862 is Class.
sao1379604862 SubClassOf sao120573470.
sao138219748 is Class.
sao138219748 SubClassOf sao1546288504.
sao138219748 DisjointWith sao9456487.
sao138219748 DisjointWith sao632188024.
sao138219748 DisjointWith sao1039242387.
sao138430598 is Class.
sao138430598 SubClassOf sao120573470.
sao1395777368 is Class.
sao1395777368 SubClassOf sao508165343.
sao1395777368 DisjointWith sao732341560.
sao1395777368 DisjointWith sao205380252.
sao1397492660 is Class.
sao1397492660 SubClassOf sao9117790637.
sao1397492660 DisjointWith sao830981606.
sao1397492660 DisjointWith sao787716553.
sao1397492660 DisjointWith sao730872736.
sao1397492660 DisjointWith sao628508602.
sao1397492660 DisjointWith sao221389602.
sao1397492660 DisjointWith sao1969557946.
sao1397492660 DisjointWith sao1938587839.
sao1397492660 DisjointWith sao1784069613.
sao1397492660 DisjointWith sao1663586795.
sao1397492660 DisjointWith sao1635329413.
sao1397492660 DisjointWith sao1539965131.
sao1397492660 DisjointWith sao120573470.
sao1397492660 DisjointWith sao11978067.
sao1397492660 DisjointWith sao1081228141.
sao1397492660 DisjointWith sao101633890.
sao1425028079 is Class.
sao1425028079 DisjointWith sao1049717962.
sao1429207766 is Class.
sao1429207766 SubClassOf sao1456184038.
sao1447478620 is Class.
sao1447478620 SubClassOf sao877341397.
sao1455064842 is Class.
sao1455064842 SubClassOf sao628508602.
sao1455996588 is Class.
sao1455996588 SubClassOf sao1499850686.
sao1456184038 is Class.
sao1456184038 SubClassOf sao1539965131.
sao1456184038 DisjointWith sao414196390.
sao1490223249 is Class.
sao1490223249 SubClassOf sao1455064842.
sao1499850686 is Class.
sao1499850686 SubClassOf sao628508602.
sao1506103497 is Class.
sao1506103497 SubClassOf sao914572699.
sao1507566336 is Class.
sao1507566336 SubClassOf sao1784069613.
sao1507566336 DisjointWith sao386529203.
sao1539965131 is Class.
sao1539965131 EquivalentTo sao101633890.
sao1539965131 DisjointWith sao830981606.
sao1539965131 DisjointWith sao787716553.
sao1539965131 DisjointWith sao730872736.
sao1539965131 DisjointWith sao628508602.
sao1539965131 DisjointWith sao221389602.
sao1539965131 DisjointWith sao1969557946.
sao1539965131 DisjointWith sao1938587839.
sao1539965131 DisjointWith sao1784069613.
sao1539965131 DisjointWith sao1663586795.
sao1539965131 DisjointWith sao1635329413.
sao1539965131 DisjointWith sao1397492660.
sao1539965131 DisjointWith sao120573470.
sao1539965131 DisjointWith sao11978067.
sao1539965131 DisjointWith sao1081228141.
sao1539965131 DisjointWith sao101633890.
sao1546288504 is Class.
sao1546288504 SubClassOf sao-1819020575.
sao1546288504 DisjointWith sao2019617624.
sao1546288504 DisjointWith sao1682692988.
sao1546288504 DisjointWith sao113580911.
sao1546288504 DisjointWith sao-1686050947.
sao1571698684 is Class.
sao1571698684 SubClassOf sao1499850686.
sao1579007712 is Class.
sao1579007712 DisjointWith sao1049717962.
sao1588493326 is Class.
sao1588493326 SubClassOf sao2006047981.
sao1596955044 is Class.
sao1596955044 SubClassOf sao830981606.
sao1615953555 is Class.
sao1615953555 SubClassOf sao1499850686.
sao1630537580 is Class.
sao1630537580 SubClassOf sao685712019.
sao1634374950 is Class.
sao1634374950 SubClassOf sao-699412220.
sao1635329413 is Class.
sao1635329413 SubClassOf sao-1337158144.
sao1635329413 DisjointWith sao830981606.
sao1635329413 DisjointWith sao787716553.
sao1635329413 DisjointWith sao730872736.
sao1635329413 DisjointWith sao628508602.
sao1635329413 DisjointWith sao221389602.
sao1635329413 DisjointWith sao1969557946.
sao1635329413 DisjointWith sao1938587839.
sao1635329413 DisjointWith sao1784069613.
sao1635329413 DisjointWith sao1663586795.
sao1635329413 DisjointWith sao1539965131.
sao1635329413 DisjointWith sao1397492660.
sao1635329413 DisjointWith sao120573470.
sao1635329413 DisjointWith sao11978067.
sao1635329413 DisjointWith sao1081228141.
sao1642908940 is Class.
sao1642908940 SubClassOf sao866168499.
sao1663586795 is Class.
sao1663586795 SubClassOf sao6433132645.
sao1663586795 DisjointWith sao830981606.
sao1663586795 DisjointWith sao787716553.
sao1663586795 DisjointWith sao730872736.
sao1663586795 DisjointWith sao628508602.
sao1663586795 DisjointWith sao221389602.
sao1663586795 DisjointWith sao1969557946.
sao1663586795 DisjointWith sao1938587839.
sao1663586795 DisjointWith sao1784069613.
sao1663586795 DisjointWith sao1635329413.
sao1663586795 DisjointWith sao1539965131.
sao1663586795 DisjointWith sao1397492660.
sao1663586795 DisjointWith sao120573470.
sao1663586795 DisjointWith sao11978067.
sao1663586795 DisjointWith sao1081228141.
sao1663586795 DisjointWith sao101633890.
sao1682692988 is Class.
sao1682692988 SubClassOf sao-1819020575.
sao1682692988 DisjointWith sao2019617624.
sao1682692988 DisjointWith sao1546288504.
sao1682692988 DisjointWith sao113580911.
sao1682692988 DisjointWith sao-1686050947.
sao1683772610 is Class.
sao1683772610 SubClassOf sao628508602.
sao1687101204 is Class.
sao1687101204 SubClassOf sao830981606.
sao1702920020 is Class.
sao1702920020 SubClassOf sao414196390.
sao1720343330 is Class.
sao1720343330 SubClassOf sao414196390.
sao172297168 is Class.
sao172297168 SubClassOf sao1970895398.
sao172297168 DisjointWith sao2128156969.
sao1747012216 is Class.
sao1747012216 SubClassOf nlx_subcell_100315.
sao1747012216 DisjointWith sao445019788.
sao1747012216 DisjointWith sao1038025871.
sao1749953771 is Class.
sao1749953771 SubClassOf sao877341397.
sao1770195789 is Class.
sao1770195789 SubClassOf sao-867568886.
sao1770195789 DisjointWith nlx_subcell_20090202.
sao1784069613 is Class.
sao1784069613 SubClassOf sao-1337158144.
sao1784069613 DisjointWith sao830981606.
sao1784069613 DisjointWith sao787716553.
sao1784069613 DisjointWith sao730872736.
sao1784069613 DisjointWith sao628508602.
sao1784069613 DisjointWith sao221389602.
sao1784069613 DisjointWith sao1969557946.
sao1784069613 DisjointWith sao1938587839.
sao1784069613 DisjointWith sao1663586795.
sao1784069613 DisjointWith sao1635329413.
sao1784069613 DisjointWith sao1539965131.
sao1784069613 DisjointWith sao1397492660.
sao1784069613 DisjointWith sao120573470.
sao1784069613 DisjointWith sao11978067.
sao1784069613 DisjointWith sao1081228141.
sao1784069613 DisjointWith sao101633890.
sao1804523077 is Class.
sao1804523077 SubClassOf sao666410040.
sao1804523077 DisjointWith sao333328131.
sao180601769 is Class.
sao180601769 SubClassOf sao221389602.
sao1820400233 is Class.
sao1820400233 SubClassOf sao1499850686.
sao1841764412 is Class.
sao1841764412 SubClassOf sao113580911.
sao1841764412 DisjointWith sao1217793903.
sao1842028314 is Class.
sao1842028314 SubClassOf sao628508602.
sao18461326 is Class.
sao18461326 SubClassOf sao-1686050947.
sao1846835077 is Class.
sao1846835077 SubClassOf sao1635329413.
sao1846835077 DisjointWith sao952483289.
sao1846835077 DisjointWith sao2006047981.
sao1860313010 is Class.
sao1860313010 SubClassOf sao414196390.
sao1872343973 is Class.
sao1872343973 SubClassOf sao1846835077.
sao1877927224 is Class.
sao1877927224 DisjointWith sao1049717962.
sao1890444066 is Class.
sao1890444066 SubClassOf sao195217619.
sao1894609662 is Class.
sao1894609662 SubClassOf sao-1819020575.
sao1911631652 is Class.
sao1911631652 SubClassOf sao386529203.
sao1922892319 is Class.
sao1922892319 DisjointWith sao1049717962.
sao1933817066 is Class.
sao1933817066 SubClassOf sao666410040.
sao1938587839 is Class.
sao1938587839 SubClassOf sao-1337158144.
sao1938587839 DisjointWith sao830981606.
sao1938587839 DisjointWith sao787716553.
sao1938587839 DisjointWith sao730872736.
sao1938587839 DisjointWith sao628508602.
sao1938587839 DisjointWith sao221389602.
sao1938587839 DisjointWith sao1969557946.
sao1938587839 DisjointWith sao1784069613.
sao1938587839 DisjointWith sao1663586795.
sao1938587839 DisjointWith sao1635329413.
sao1938587839 DisjointWith sao1539965131.
sao1938587839 DisjointWith sao1397492660.
sao1938587839 DisjointWith sao120573470.
sao1938587839 DisjointWith sao11978067.
sao1938587839 DisjointWith sao1081228141.
sao1938587839 DisjointWith sao101633890.
sao195217619 is Class.
sao195217619 SubClassOf sao895885284.
sao195217619 DisjointWith sao831502550.
sao195217619 DisjointWith sao685712019.
sao195217619 DisjointWith sao1253297813.
sao1969557946 is Class.
sao1969557946 SubClassOf sao-1337158144.
sao1969557946 DisjointWith sao830981606.
sao1969557946 DisjointWith sao787716553.
sao1969557946 DisjointWith sao730872736.
sao1969557946 DisjointWith sao628508602.
sao1969557946 DisjointWith sao221389602.
sao1969557946 DisjointWith sao1938587839.
sao1969557946 DisjointWith sao1784069613.
sao1969557946 DisjointWith sao1663586795.
sao1969557946 DisjointWith sao1635329413.
sao1969557946 DisjointWith sao1539965131.
sao1969557946 DisjointWith sao1397492660.
sao1969557946 DisjointWith sao120573470.
sao1969557946 DisjointWith sao11978067.
sao1969557946 DisjointWith sao1081228141.
sao1970895398 is Class.
sao1970895398 SubClassOf sao340271629.
sao1970895398 DisjointWith sao991156472.
sao1970895398 DisjointWith sao508165343.
sao1974433376 is Class.
sao1974433376 SubClassOf sao340271629.
sao1974433376 DisjointWith sao877341397.
sao2006047981 is Class.
sao2006047981 SubClassOf sao1635329413.
sao2006047981 DisjointWith sao952483289.
sao2006047981 DisjointWith sao1846835077.
sao2017162875 is Class.
sao2017162875 SubClassOf sao120573470.
sao2019617624 is Class.
sao2019617624 SubClassOf sao-1819020575.
sao2019617624 DisjointWith sao1682692988.
sao2019617624 DisjointWith sao1546288504.
sao2019617624 DisjointWith sao113580911.
sao2019617624 DisjointWith sao-1686050947.
sao2045955158 is Class.
sao2045955158 SubClassOf sao414196390.
sao205380252 is Class.
sao205380252 SubClassOf sao508165343.
sao205380252 DisjointWith sao732341560.
sao205380252 DisjointWith sao1395777368.
sao2064469343 is Class.
sao2064469343 SubClassOf sao877341397.
sao2114874506 is Class.
sao2114874506 SubClassOf nlx_subcell_100315.
sao2127666702 is Class.
sao2127666702 SubClassOf sao195217619.
sao2128156969 is Class.
sao2128156969 SubClassOf sao1970895398.
sao2128156969 DisjointWith sao172297168.
sao220861693 is Class.
sao220861693 SubClassOf sao1499850686.
sao221389602 is Class.
sao221389602 SubClassOf sao-1337158144.
sao221389602 DisjointWith sao830981606.
sao221389602 DisjointWith sao787716553.
sao221389602 DisjointWith sao730872736.
sao221389602 DisjointWith sao628508602.
sao221389602 DisjointWith sao1969557946.
sao221389602 DisjointWith sao1938587839.
sao221389602 DisjointWith sao1784069613.
sao221389602 DisjointWith sao1663586795.
sao221389602 DisjointWith sao1635329413.
sao221389602 DisjointWith sao1539965131.
sao221389602 DisjointWith sao1397492660.
sao221389602 DisjointWith sao120573470.
sao221389602 DisjointWith sao11978067.
sao221389602 DisjointWith sao1081228141.
sao221389602 DisjointWith sao101633890.
sao2409833926 is Class.
sao2409833926 SubClassOf sao120573470.
sao248349196 is Class.
sao248349196 SubClassOf sao1846835077.
sao250772229 is Class.
sao250772229 SubClassOf sao1663586795.
sao289211478 is Class.
sao289211478 SubClassOf sao914572699.
sao3089754107 is Class.
sao3089754107 SubClassOf sao830981606.
sao333328131 is Class.
sao333328131 SubClassOf sao-1686050947.
sao333328131 DisjointWith sao1804523077.
sao340271629 is Class.
sao340271629 SubClassOf nlx_subcell_100315.
sao340271629 DisjointWith sao-1819020575.
sao386529203 is Class.
sao386529203 SubClassOf sao1784069613.
sao386529203 DisjointWith sao1507566336.
sao401910342 is Class.
sao401910342 SubClassOf sao877341397.
sao4040591221 is Class.
sao4040591221 SubClassOf sao4933778419.
sao414196390 is Class.
sao414196390 SubClassOf sao1539965131.
sao414196390 DisjointWith sao1456184038.
sao445019788 is Class.
sao445019788 SubClassOf nlx_subcell_100315.
sao445019788 DisjointWith sao1747012216.
sao445019788 DisjointWith sao1038025871.
sao451912436 is Class.
sao451912436 SubClassOf sao414196390.
sao4749542545 is Class.
sao4749542545 SubClassOf sao4933778419.
sao478230652 is Class.
sao478230652 SubClassOf sao180601769.
sao4933778419 is Class.
sao4933778419 SubClassOf sao120573470.
sao499555322 is Class.
sao499555322 SubClassOf sao414196390.
sao505137457 is Class.
sao505137457 SubClassOf sao1499850686.
sao506721981 is Class.
sao506721981 SubClassOf sao120573470.
sao508165343 is Class.
sao508165343 SubClassOf nlx_subcell_100315.
sao508165343 DisjointWith sao991156472.
sao508165343 DisjointWith sao1970895398.
sao553711217 is Class.
sao553711217 DisjointWith sao1049717962.
sao553737851 is Class.
sao553737851 SubClassOf sao866168499.
sao561419532 is Class.
sao561419532 SubClassOf sao624292949.
sao5764355747 is Class.
sao5764355747 SubClassOf sao1894609662.
sao577473346 is Class.
sao577473346 SubClassOf sao180601769.
sao585356902 is Class.
sao585356902 SubClassOf sao414196390.
sao587858733 is Class.
sao587858733 SubClassOf sao205380252.
sao601362597 is Class.
sao601362597 SubClassOf sao-867568886.
sao624292949 is Class.
sao624292949 SubClassOf sao628508602.
sao628508602 is Class.
sao628508602 SubClassOf sao-1337158144.
sao628508602 DisjointWith sao830981606.
sao628508602 DisjointWith sao787716553.
sao628508602 DisjointWith sao730872736.
sao628508602 DisjointWith sao221389602.
sao628508602 DisjointWith sao1969557946.
sao628508602 DisjointWith sao1938587839.
sao628508602 DisjointWith sao1784069613.
sao628508602 DisjointWith sao1663586795.
sao628508602 DisjointWith sao1635329413.
sao628508602 DisjointWith sao1539965131.
sao628508602 DisjointWith sao1397492660.
sao628508602 DisjointWith sao120573470.
sao628508602 DisjointWith sao11978067.
sao628508602 DisjointWith sao1081228141.
sao628508602 DisjointWith sao101633890.
sao632188024 is Class.
sao632188024 SubClassOf sao1546288504.
sao632188024 DisjointWith sao9456487.
sao632188024 DisjointWith sao138219748.
sao632188024 DisjointWith sao1039242387.
sao6433132645 is Class.
sao6433132645 SubClassOf sao-1337158144.
sao6587439252 is Class.
sao6587439252 SubClassOf sao1894609662.
sao661522542 is Class.
sao661522542 SubClassOf sao1499850686.
sao666410040 is Class.
sao666410040 SubClassOf sao628508602.
sao671419673 is Class.
sao671419673 SubClassOf sao1974433376.
sao685712019 is Class.
sao685712019 SubClassOf sao895885284.
sao685712019 DisjointWith sao831502550.
sao685712019 DisjointWith sao195217619.
sao685712019 DisjointWith sao1253297813.
sao694815499 is Class.
sao694815499 SubClassOf sao1683772610.
sao700839054 is Class.
sao700839054 SubClassOf sao1395777368.
sao700839054 DisjointWith sao914572699.
sao725931194 is Class.
sao725931194 SubClassOf sao414196390.
sao730872736 is Class.
sao730872736 SubClassOf sao-1337158144.
sao730872736 DisjointWith sao830981606.
sao730872736 DisjointWith sao787716553.
sao730872736 DisjointWith sao628508602.
sao730872736 DisjointWith sao221389602.
sao730872736 DisjointWith sao1969557946.
sao730872736 DisjointWith sao1938587839.
sao730872736 DisjointWith sao1784069613.
sao730872736 DisjointWith sao1663586795.
sao730872736 DisjointWith sao1635329413.
sao730872736 DisjointWith sao1539965131.
sao730872736 DisjointWith sao1397492660.
sao730872736 DisjointWith sao120573470.
sao730872736 DisjointWith sao11978067.
sao730872736 DisjointWith sao1081228141.
sao730872736 DisjointWith sao101633890.
sao732341560 is Class.
sao732341560 SubClassOf sao508165343.
sao732341560 DisjointWith sao205380252.
sao732341560 DisjointWith sao1395777368.
sao787716553 is Class.
sao787716553 SubClassOf sao-1337158144.
sao787716553 DisjointWith sao830981606.
sao787716553 DisjointWith sao730872736.
sao787716553 DisjointWith sao628508602.
sao787716553 DisjointWith sao221389602.
sao787716553 DisjointWith sao1969557946.
sao787716553 DisjointWith sao1938587839.
sao787716553 DisjointWith sao1784069613.
sao787716553 DisjointWith sao1663586795.
sao787716553 DisjointWith sao1635329413.
sao787716553 DisjointWith sao1539965131.
sao787716553 DisjointWith sao1397492660.
sao787716553 DisjointWith sao120573470.
sao787716553 DisjointWith sao11978067.
sao787716553 DisjointWith sao1081228141.
sao787716553 DisjointWith sao101633890.
sao793088923 is Class.
sao793088923 SubClassOf nlx_subcell_100315.
sao819927218 is Class.
sao819927218 SubClassOf sao624292949.
sao830092290 is Class.
sao830092290 SubClassOf sao340271629,.
proper_part_of some sao1770195789, is www.obofoundry.org/ro/ro.#.
proper_part_of some is www.obofoundry.org/ro/ro.#.
proper_part_of some is (nlx_subcell_20090202 and sao1770195789),.
proper_part_of only nlx_subcell_20090202 is www.obofoundry.org/ro/ro.#.
