www.w3.org/2000/01/-schema# is AnnotationProperty.
XCO_0000222 is Class.
XCO_0000222 SubClassOf XCO_0000221.
XCO_0000223 is Class.
XCO_0000223 SubClassOf XCO_0000221.
XCO_0000224 is Class.
XCO_0000224 SubClassOf XCO_0000222.
XCO_0000225 is Class.
XCO_0000225 SubClassOf XCO_0000222.
XCO_0000228 is Class.
XCO_0000228 SubClassOf XCO_0000125,.
XCO_0000228 SubClassOf XCO_0000193.
XCO_0000229 is Class.
XCO_0000229 SubClassOf XCO_0000091,.
XCO_0000229 SubClassOf XCO_0000125.
XCO_0000230 is Class.
XCO_0000230 SubClassOf XCO_0000125.
XCO_0000239 is Class.
XCO_0000239 SubClassOf XCO_0000341.
XCO_0000240 is Class.
XCO_0000240 SubClassOf XCO_0000239.
XCO_0000241 is Class.
XCO_0000241 SubClassOf XCO_0000240,.
XCO_0000241 SubClassOf XCO_0000435,.
XCO_0000241 SubClassOf XCO_0000482,.
XCO_0000241 SubClassOf XCO_0000885.
XCO_0000242 is Class.
XCO_0000242 SubClassOf XCO_0000239,.
XCO_0000242 SubClassOf XCO_0000885.
XCO_0000245 is Class.
XCO_0000245 SubClassOf XCO_0000228.
XCO_0000251 is Class.
XCO_0000251 SubClassOf XCO_0000214.
XCO_0000252 is Class.
XCO_0000252 SubClassOf XCO_0000225,.
XCO_0000252 SubClassOf XCO_0000251,.
XCO_0000252 SubClassOf XCO_0000407.
XCO_0000253 is Class.
XCO_0000257 is Class.
XCO_0000257 SubClassOf XCO_0000163.
XCO_0000258 is Class.
XCO_0000259 is Class.
XCO_0000259 SubClassOf XCO_0000258,.
XCO_0000259 SubClassOf XCO_0000341.
XCO_0000260 is Class.
XCO_0000260 SubClassOf XCO_0000133,.
XCO_0000260 SubClassOf XCO_0000193,.
XCO_0000260 SubClassOf XCO_0001036.
XCO_0000261 is Class.
XCO_0000261 SubClassOf XCO_0000259,.
XCO_0000261 SubClassOf XCO_0000349.
XCO_0000262 is Class.
XCO_0000262 SubClassOf XCO_0000260,.
XCO_0000262 SubClassOf XCO_0000261.
XCO_0000263 is Class.
XCO_0000263 SubClassOf XCO_0000133,.
XCO_0000263 SubClassOf XCO_0000261.
XCO_0000264 is Class.
XCO_0000264 SubClassOf XCO_0000133.
XCO_0000265 is Class.
XCO_0000265 SubClassOf XCO_0000264.
XCO_0000266 is Class.
XCO_0000266 SubClassOf XCO_0000264.
XCO_0000267 is Class.
XCO_0000267 SubClassOf XCO_0000133,.
XCO_0000267 SubClassOf XCO_0000173,.
XCO_0000267 SubClassOf XCO_0000261.
XCO_0000269 is Class.
XCO_0000269 SubClassOf XCO_0000222.
XCO_0000270 is Class.
XCO_0000270 SubClassOf XCO_0000140,.
XCO_0000270 SubClassOf XCO_0000524.
XCO_0000271 is Class.
XCO_0000271 SubClassOf XCO_0000341.
XCO_0000272 is Class.
XCO_0000272 SubClassOf XCO_0000271.
XCO_0000276 is Class.
XCO_0000278 is Class.
XCO_0000279 is Class.
XCO_0000281 is Class.
XCO_0000281 SubClassOf XCO_0000262.
XCO_0000285 is Class.
XCO_0000285 SubClassOf XCO_0000163.
XCO_0000286 is Class.
XCO_0000286 SubClassOf XCO_0000260.
XCO_0000287 is Class.
XCO_0000287 SubClassOf XCO_0000260.
XCO_0000290 is Class.
XCO_0000290 SubClassOf XCO_0000260,.
XCO_0000290 SubClassOf BFO_0000050 some XCO_0000292.
XCO_0000292 is Class.
XCO_0000292 SubClassOf XCO_0000352.
XCO_0000294 is Class.
XCO_0000294 SubClassOf XCO_0000229.
XCO_0000295 is Class.
XCO_0000295 SubClassOf XCO_0000294,.
XCO_0000295 SubClassOf XCO_0000435.
XCO_0000298 is Class.
XCO_0000298 SubClassOf XCO_0000163.
XCO_0000310 is Class.
XCO_0000310 SubClassOf XCO_0000120.
XCO_0000314 is Class.
XCO_0000314 SubClassOf XCO_0000341.
XCO_0000315 is Class.
XCO_0000315 SubClassOf XCO_0000314,.
XCO_0000315 SubClassOf XCO_0000340.
XCO_0000316 is Class.
XCO_0000316 SubClassOf XCO_0000315.
XCO_0000317 is Class.
XCO_0000317 SubClassOf XCO_0000185,.
XCO_0000317 SubClassOf XCO_0000315.
XCO_0000327 is Class.
XCO_0000327 SubClassOf XCO_0000163.
XCO_0000328 is Class.
XCO_0000328 SubClassOf XCO_0000163.
XCO_0000330 is Class.
XCO_0000330 SubClassOf XCO_0000229.
XCO_0000331 is Class.
XCO_0000331 SubClassOf XCO_0000135.
XCO_0000332 is Class.
XCO_0000332 SubClassOf XCO_0000163.
XCO_0000336 is Class.
XCO_0000336 SubClassOf XCO_0000160.
XCO_0000340 is Class.
XCO_0000341 is Class.
XCO_0000341 SubClassOf XCO_0000088.
XCO_0000342 is Class.
XCO_0000343 is Class.
XCO_0000344 is Class.
XCO_0000344 SubClassOf XCO_0000089,.
XCO_0000344 SubClassOf XCO_0000205,.
XCO_0000344 SubClassOf XCO_0000343.
XCO_0000345 is Class.
XCO_0000345 SubClassOf XCO_0000205,.
XCO_0000345 SubClassOf XCO_0000343.
XCO_0000346 is Class.
XCO_0000346 SubClassOf XCO_0000089,.
XCO_0000346 SubClassOf XCO_0000205,.
XCO_0000346 SubClassOf XCO_0000343.
XCO_0000349 is Class.
XCO_0000351 is Class.
XCO_0000351 SubClassOf XCO_0000089,.
XCO_0000351 SubClassOf XCO_0000205.
XCO_0000352 is Class.
XCO_0000352 SubClassOf XCO_0000133.
XCO_0000353 is Class.
XCO_0000353 SubClassOf XCO_0000352.
XCO_0000354 is Class.
XCO_0000354 SubClassOf XCO_0000089,.
XCO_0000354 SubClassOf XCO_0000205.
XCO_0000355 is Class.
XCO_0000355 SubClassOf XCO_0000163.
XCO_0000356 is Class.
XCO_0000356 SubClassOf XCO_0000133.
XCO_0000358 is Class.
XCO_0000358 SubClassOf XCO_0000341.
XCO_0000359 is Class.
XCO_0000359 SubClassOf XCO_0000358.
XCO_0000368 is Class.
XCO_0000368 SubClassOf XCO_0000259.
XCO_0000369 is Class.
XCO_0000369 SubClassOf XCO_0000368.
XCO_0000372 is Class.
XCO_0000372 SubClassOf XCO_0000091,.
XCO_0000372 SubClassOf XCO_0000505,.
XCO_0000372 SubClassOf XCO_0000636.
XCO_0000377 is Class.
XCO_0000377 SubClassOf XCO_0000341.
XCO_0000378 is Class.
XCO_0000378 SubClassOf XCO_0000271,.
XCO_0000378 SubClassOf XCO_0000377.
XCO_0000381 is Class.
XCO_0000381 SubClassOf XCO_0000229.
XCO_0000382 is Class.
XCO_0000382 SubClassOf XCO_0000163.
XCO_0000383 is Class.
XCO_0000383 SubClassOf XCO_0000163.
XCO_0000384 is Class.
XCO_0000384 SubClassOf XCO_0000163.
XCO_0000388 is Class.
XCO_0000388 SubClassOf XCO_0000106.
XCO_0000390 is Class.
XCO_0000390 SubClassOf XCO_0000341.
XCO_0000391 is Class.
XCO_0000391 SubClassOf XCO_0000390,.
XCO_0000391 SubClassOf XCO_0000392,.
XCO_0000391 SubClassOf XCO_0000435.
XCO_0000392 is Class.
XCO_0000393 is Class.
XCO_0000393 SubClassOf XCO_0000089,.
XCO_0000393 SubClassOf XCO_0000205.
XCO_0000395 is Class.
XCO_0000395 SubClassOf XCO_0000163.
XCO_0000396 is Class.
XCO_0000398 is Class.
XCO_0000398 SubClassOf XCO_0000205,.
XCO_0000398 SubClassOf XCO_0000399,.
XCO_0000398 SubClassOf XCO_0000435.
XCO_0000399 is Class.
XCO_0000405 is Class.
XCO_0000405 SubClassOf XCO_0000163.
XCO_0000406 is Class.
XCO_0000406 SubClassOf XCO_0000163.
XCO_0000407 is Class.
XCO_0000407 SubClassOf XCO_0000341,.
XCO_0000407 SubClassOf XCO_0000850.
XCO_0000408 is Class.
XCO_0000408 SubClassOf XCO_0000407.
XCO_0000409 is Class.
XCO_0000409 SubClassOf XCO_0000163.
XCO_0000422 is Class.
XCO_0000423 is Class.
XCO_0000423 SubClassOf XCO_0000271,.
XCO_0000423 SubClassOf XCO_0000422.
XCO_0000424 is Class.
XCO_0000424 SubClassOf XCO_0000271.
XCO_0000427 is Class.
XCO_0000427 SubClassOf XCO_0000271,.
XCO_0000427 SubClassOf XCO_0000279.
XCO_0000429 is Class.
XCO_0000429 SubClassOf XCO_0000163.
XCO_0000430 is Class.
XCO_0000430 SubClassOf XCO_0000271.
XCO_0000433 is Class.
XCO_0000433 SubClassOf XCO_0000163.
XCO_0000434 is Class.
XCO_0000434 SubClassOf XCO_0000239,.
XCO_0000434 SubClassOf XCO_0000396.
XCO_0000435 is Class.
XCO_0000435 SubClassOf XCO_0000341,.
XCO_0000435 SubClassOf XCO_0000850.
XCO_0000437 is Class.
XCO_0000437 SubClassOf XCO_0000163.
XCO_0000438 is Class.
XCO_0000438 SubClassOf XCO_0000140,.
XCO_0000438 SubClassOf XCO_0000536.
XCO_0000439 is Class.
XCO_0000439 SubClassOf XCO_0000163.
XCO_0000441 is Class.
XCO_0000441 SubClassOf XCO_0000163.
XCO_0000444 is Class.
XCO_0000444 SubClassOf XCO_0000163.
XCO_0000445 is Class.
XCO_0000445 SubClassOf XCO_0000155,.
XCO_0000445 SubClassOf XCO_0000315.
XCO_0000456 is Class.
XCO_0000456 SubClassOf XCO_0000271.
XCO_0000457 is Class.
XCO_0000457 SubClassOf XCO_0000690.
XCO_0000458 is Class.
XCO_0000458 SubClassOf XCO_0000457.
XCO_0000467 is Class.
XCO_0000468 is Class.
XCO_0000468 SubClassOf XCO_0000377,.
XCO_0000468 SubClassOf XCO_0000467.
XCO_0000470 is Class.
XCO_0000470 SubClassOf XCO_0000341.
XCO_0000471 is Class.
XCO_0000471 SubClassOf XCO_0000470.
XCO_0000472 is Class.
XCO_0000472 SubClassOf XCO_0000470.
XCO_0000473 is Class.
XCO_0000473 SubClassOf XCO_0000470.
XCO_0000474 is Class.
XCO_0000474 SubClassOf XCO_0000120.
XCO_0000482 is Class.
XCO_0000482 SubClassOf XCO_0000341.
XCO_0000483 is Class.
XCO_0000483 SubClassOf XCO_0000482.
XCO_0000484 is Class.
XCO_0000484 SubClassOf XCO_0000483.
XCO_0000495 is Class.
XCO_0000495 SubClassOf XCO_0000239.
XCO_0000496 is Class.
XCO_0000496 SubClassOf XCO_0000240,.
XCO_0000496 SubClassOf XCO_0000495.
XCO_0000497 is Class.
XCO_0000497 SubClassOf XCO_0000259.
XCO_0000498 is Class.
XCO_0000498 SubClassOf XCO_0000495,.
XCO_0000498 SubClassOf XCO_0000497.
XCO_0000499 is Class.
XCO_0000499 SubClassOf XCO_0000495,.
XCO_0000499 SubClassOf XCO_0000497.
XCO_0000500 is Class.
XCO_0000500 SubClassOf XCO_0000495,.
XCO_0000500 SubClassOf XCO_0000497.
XCO_0000501 is Class.
XCO_0000501 SubClassOf XCO_0000496,.
XCO_0000501 SubClassOf XCO_0000497.
XCO_0000505 is Class.
XCO_0000505 SubClassOf XCO_0000341,.
XCO_0000505 SubClassOf XCO_0000850.
XCO_0000506 is Class.
XCO_0000506 SubClassOf XCO_0000505.
XCO_0000507 is Class.
XCO_0000507 SubClassOf XCO_0000106,.
XCO_0000507 SubClassOf XCO_0000506.
XCO_0000511 is Class.
XCO_0000512 is Class.
XCO_0000512 SubClassOf XCO_0000259.
XCO_0000513 is Class.
XCO_0000513 SubClassOf XCO_0000511,.
XCO_0000513 SubClassOf XCO_0000512.
XCO_0000514 is Class.
XCO_0000514 SubClassOf XCO_0000336.
XCO_0000523 is Class.
XCO_0000524 is Class.
XCO_0000524 SubClassOf XCO_0000523,.
XCO_0000524 SubClassOf XCO_0000863.
XCO_0000525 is Class.
XCO_0000525 SubClassOf XCO_0000524.
XCO_0000532 is Class.
XCO_0000532 SubClassOf XCO_0000120.
XCO_0000533 is Class.
XCO_0000533 SubClassOf XCO_0000435,.
XCO_0000533 SubClassOf XCO_0000482,.
XCO_0000533 SubClassOf XCO_0000532.
XCO_0000534 is Class.
XCO_0000534 SubClassOf XCO_0000160,.
XCO_0000534 SubClassOf XCO_0000435,.
XCO_0000534 SubClassOf XCO_0000970.
XCO_0000535 is Class.
XCO_0000535 SubClassOf XCO_0000524.
XCO_0000536 is Class.
XCO_0000536 SubClassOf XCO_0000160,.
XCO_0000536 SubClassOf XCO_0000863.
XCO_0000537 is Class.
XCO_0000537 SubClassOf XCO_0000536.
XCO_0000538 is Class.
XCO_0000538 SubClassOf XCO_0000524.
XCO_0000539 is Class.
XCO_0000539 SubClassOf XCO_0000435,.
XCO_0000539 SubClassOf XCO_0000482.
XCO_0000540 is Class.
XCO_0000540 SubClassOf XCO_0000524.
XCO_0000541 is Class.
XCO_0000541 SubClassOf XCO_0000730.
XCO_0000542 is Class.
XCO_0000542 SubClassOf XCO_0000524.
XCO_0000543 is Class.
XCO_0000543 SubClassOf XCO_0000377.
XCO_0000544 is Class.
XCO_0000544 SubClassOf XCO_0000543.
XCO_0000545 is Class.
XCO_0000545 SubClassOf XCO_0000543.
XCO_0000546 is Class.
XCO_0000546 SubClassOf XCO_0000377.
XCO_0000547 is Class.
XCO_0000547 SubClassOf XCO_0000546.
XCO_0000548 is Class.
XCO_0000548 SubClassOf XCO_0000524.
XCO_0000550 is Class.
XCO_0000550 SubClassOf XCO_0000120,.
XCO_0000550 SubClassOf XCO_0000863.
XCO_0000551 is Class.
XCO_0000551 SubClassOf XCO_0000140.
XCO_0000552 is Class.
XCO_0000552 SubClassOf XCO_0000163.
XCO_0000553 is Class.
XCO_0000553 SubClassOf XCO_0000435,.
XCO_0000553 SubClassOf XCO_0000523.
XCO_0000555 is Class.
XCO_0000555 SubClassOf XCO_0000163.
XCO_0000558 is Class.
XCO_0000558 SubClassOf XCO_0000470,.
XCO_0000558 SubClassOf XCO_0000506.
XCO_0000559 is Class.
XCO_0000559 SubClassOf XCO_0000125,.
XCO_0000559 SubClassOf XCO_0000271.
XCO_0000560 is Class.
XCO_0000560 SubClassOf XCO_0000559.
XCO_0000561 is Class.
XCO_0000561 SubClassOf XCO_0000341,.
XCO_0000561 SubClassOf XCO_0000850.
XCO_0000562 is Class.
XCO_0000562 SubClassOf XCO_0000561,.
XCO_0000562 SubClassOf XCO_0001122.
XCO_0000563 is Class.
XCO_0000563 SubClassOf XCO_0000511,.
XCO_0000563 SubClassOf XCO_0000680.
XCO_0000564 is Class.
XCO_0000564 SubClassOf XCO_0000506.
XCO_0000565 is Class.
XCO_0000565 SubClassOf XCO_0000407.
XCO_0000566 is Class.
XCO_0000566 SubClassOf XCO_0000014,.
XCO_0000566 SubClassOf XCO_0000565.
XCO_0000567 is Class.
XCO_0000567 SubClassOf XCO_0000140,.
XCO_0000567 SubClassOf XCO_0000228.
XCO_0000568 is Class.
XCO_0000568 SubClassOf XCO_0000271,.
XCO_0000568 SubClassOf XCO_0000551.
XCO_0000569 is Class.
XCO_0000569 SubClassOf XCO_0000163.
XCO_0000570 is Class.
XCO_0000570 SubClassOf XCO_0000160.
XCO_0000571 is Class.
XCO_0000571 SubClassOf XCO_0000570.
XCO_0000572 is Class.
XCO_0000572 SubClassOf XCO_0000483.
XCO_0000574 is Class.
XCO_0000574 SubClassOf XCO_0000163,.
XCO_0000574 SubClassOf XCO_0000572.
XCO_0000575 is Class.
XCO_0000575 SubClassOf XCO_0000483.
XCO_0000576 is Class.
XCO_0000576 SubClassOf XCO_0000163.
XCO_0000577 is Class.
XCO_0000577 SubClassOf XCO_0000523.
XCO_0000578 is Class.
XCO_0000578 SubClassOf XCO_0000577.
XCO_0000588 is Class.
XCO_0000588 SubClassOf XCO_0000524.
XCO_0000589 is Class.
XCO_0000589 SubClassOf XCO_0000524.
XCO_0000590 is Class.
XCO_0000590 SubClassOf XCO_0000160.
XCO_0000591 is Class.
XCO_0000591 SubClassOf XCO_0000524.
XCO_0000592 is Class.
XCO_0000592 SubClassOf XCO_0000524.
XCO_0000594 is Class.
XCO_0000594 SubClassOf XCO_0000536.
XCO_0000599 is Class.
XCO_0000599 SubClassOf XCO_0000229.
XCO_0000600 is Class.
XCO_0000600 SubClassOf XCO_0000135.
XCO_0000602 is Class.
XCO_0000602 SubClassOf XCO_0000135,.
XCO_0000602 SubClassOf XCO_0000407.
XCO_0000603 is Class.
XCO_0000603 SubClassOf XCO_0000470.
XCO_0000604 is Class.
XCO_0000604 SubClassOf XCO_0000748.
XCO_0000605 is Class.
XCO_0000605 SubClassOf XCO_0000240.
XCO_0000606 is Class.
XCO_0000606 SubClassOf XCO_0000523.
XCO_0000608 is Class.
XCO_0000608 SubClassOf XCO_0000435,.
XCO_0000608 SubClassOf XCO_0000482.
XCO_0000610 is Class.
XCO_0000610 SubClassOf XCO_0000135,.
XCO_0000610 SubClassOf XCO_0001329.
XCO_0000611 is Class.
XCO_0000611 SubClassOf XCO_0000140,.
XCO_0000611 SubClassOf XCO_0000269.
XCO_0000614 is Class.
XCO_0000614 SubClassOf XCO_0000523.
XCO_0000617 is Class.
XCO_0000617 SubClassOf XCO_0000225,.
XCO_0000617 SubClassOf XCO_0000336,.
XCO_0000617 SubClassOf XCO_0000523,.
XCO_0000617 SubClassOf XCO_0000618,.
XCO_0000617 SubClassOf XCO_0000630.
XCO_0000618 is Class.
XCO_0000618 SubClassOf XCO_0000222.
XCO_0000619 is Class.
XCO_0000619 SubClassOf XCO_0000139.
XCO_0000620 is Class.
XCO_0000620 SubClassOf XCO_0000435.
XCO_0000622 is Class.
XCO_0000622 SubClassOf XCO_0000617.
XCO_0000623 is Class.
XCO_0000623 SubClassOf XCO_0000171,.
XCO_0000623 SubClassOf XCO_0000619.
XCO_0000624 is Class.
XCO_0000624 SubClassOf XCO_0000106,.
XCO_0000624 SubClassOf XCO_0000950.
XCO_0000625 is Class.
XCO_0000625 SubClassOf XCO_0000106,.
XCO_0000625 SubClassOf XCO_0000435.
XCO_0000627 is Class.
XCO_0000627 SubClassOf XCO_0000122,.
XCO_0000627 SubClassOf XCO_0000838.
XCO_0000628 is Class.
XCO_0000628 SubClassOf XCO_0000523,.
XCO_0000628 SubClassOf XCO_0000680.
XCO_0000630 is Class.
XCO_0000630 SubClassOf XCO_0000160.
XCO_0000631 is Class.
XCO_0000631 SubClassOf XCO_0000630.
XCO_0000632 is Class.
XCO_0000632 SubClassOf XCO_0000407,.
XCO_0000632 SubClassOf XCO_0000523.
XCO_0000633 is Class.
XCO_0000633 SubClassOf XCO_0000229.
XCO_0000634 is Class.
XCO_0000634 SubClassOf XCO_0000341,.
XCO_0000634 SubClassOf XCO_0000850.
XCO_0000636 is Class.
XCO_0000636 SubClassOf XCO_0000341,.
XCO_0000636 SubClassOf XCO_0000850.
XCO_0000637 is Class.
XCO_0000637 SubClassOf XCO_0000636.
XCO_0000638 is Class.
XCO_0000638 SubClassOf XCO_0000160.
XCO_0000642 is Class.
XCO_0000642 SubClassOf XCO_0000239.
XCO_0000645 is Class.
XCO_0000645 SubClassOf XCO_0000106,.
XCO_0000645 SubClassOf XCO_0000950,.
XCO_0000645 SubClassOf XCO_0001245.
XCO_0000646 is Class.
XCO_0000646 SubClassOf XCO_0000089.
XCO_0000647 is Class.
XCO_0000647 SubClassOf XCO_0000730.
XCO_0000648 is Class.
XCO_0000648 SubClassOf XCO_0000435.
XCO_0000649 is Class.
XCO_0000649 SubClassOf XCO_0000259.
XCO_0000650 is Class.
XCO_0000650 SubClassOf XCO_0000163.
XCO_0000651 is Class.
XCO_0000651 SubClassOf XCO_0000536.
XCO_0000652 is Class.
XCO_0000652 SubClassOf XCO_0000163.
XCO_0000653 is Class.
XCO_0000653 SubClassOf XCO_0000160.
XCO_0000654 is Class.
XCO_0000654 SubClassOf XCO_0000653.
XCO_0000656 is Class.
XCO_0000656 SubClassOf XCO_0000657.
XCO_0000657 is Class.
XCO_0000657 SubClassOf XCO_0000482.
XCO_0000658 is Class.
XCO_0000658 SubClassOf XCO_0000140,.
XCO_0000658 SubClassOf XCO_0000269.
XCO_0000659 is Class.
XCO_0000659 SubClassOf XCO_0000658.
XCO_0000660 is Class.
XCO_0000660 SubClassOf XCO_0000163.
XCO_0000664 is Class.
XCO_0000664 SubClassOf XCO_0000135.
XCO_0000665 is Class.
XCO_0000665 SubClassOf XCO_0000664.
XCO_0000666 is Class.
XCO_0000666 SubClassOf XCO_0000341.
XCO_0000667 is Class.
XCO_0000667 SubClassOf XCO_0000665,.
XCO_0000667 SubClassOf XCO_0000666.
XCO_0000669 is Class.
XCO_0000669 SubClassOf XCO_0000140,.
XCO_0000669 SubClassOf XCO_0000618.
XCO_0000671 is Class.
XCO_0000671 SubClassOf XCO_0000483,.
XCO_0000671 SubClassOf XCO_0000672,.
XCO_0000671 SubClassOf BFO_0000050 some XCO_0000965,.
XCO_0000671 SubClassOf BFO_0000050 only XCO_0000976.
XCO_0000672 is Class.
XCO_0000673 is Class.
XCO_0000673 SubClassOf XCO_0000664.
XCO_0000674 is Class.
XCO_0000674 SubClassOf XCO_0000673,.
XCO_0000674 SubClassOf XCO_0000863.
XCO_0000677 is Class.
XCO_0000677 SubClassOf XCO_0000163.
XCO_0000679 is Class.
XCO_0000679 SubClassOf XCO_0000511,.
XCO_0000679 SubClassOf XCO_0000680.
XCO_0000680 is Class.
XCO_0000680 SubClassOf XCO_0000341,.
XCO_0000680 SubClassOf XCO_0000850.
XCO_0000681 is Class.
XCO_0000681 SubClassOf XCO_0000135,.
XCO_0000681 SubClassOf XCO_0000523,.
XCO_0000681 SubClassOf XCO_0000680.
XCO_0000682 is Class.
XCO_0000682 SubClassOf XCO_0000511,.
XCO_0000682 SubClassOf XCO_0000680.
XCO_0000683 is Class.
XCO_0000683 SubClassOf XCO_0000680.
XCO_0000684 is Class.
XCO_0000684 SubClassOf XCO_0000407.
XCO_0000685 is Class.
XCO_0000685 SubClassOf XCO_0000341.
XCO_0000686 is Class.
XCO_0000686 SubClassOf XCO_0000685.
XCO_0000687 is Class.
XCO_0000687 SubClassOf XCO_0000160,.
XCO_0000687 SubClassOf XCO_0000657.
XCO_0000688 is Class.
XCO_0000688 SubClassOf XCO_0000260,.
XCO_0000688 SubClassOf XCO_0000292.
XCO_0000689 is Class.
XCO_0000689 SubClassOf XCO_0000271,.
XCO_0000689 SubClassOf XCO_0000377.
