has_template is ObjectProperty.
CAMK2_mRNA SubClassOf UnprocessedmRNA.
CAPN2_mRNA is Class.
CAPN2_mRNA SubClassOf UnprocessedmRNA.
CAPN_mRNA is Class.
CAPN_mRNA SubClassOf UnprocessedmRNA.
CASK_mRNA is Class.
CASK_mRNA SubClassOf UnprocessedmRNA.
CASP12_mRNA is Class.
CASP12_mRNA SubClassOf UnprocessedmRNA.
CASP1_mRNA is Class.
CASP1_mRNA SubClassOf UnprocessedmRNA.
CASP2_mRNA is Class.
CASP2_mRNA SubClassOf UnprocessedmRNA.
CASP3_mRNA is Class.
CASP3_mRNA SubClassOf UnprocessedmRNA.
CASP6_mRNA is Class.
CASP6_mRNA SubClassOf UnprocessedmRNA.
CASP7_mRNA is Class.
CASP7_mRNA SubClassOf UnprocessedmRNA.
CASP8_mRNA is Class.
CASP8_mRNA SubClassOf UnprocessedmRNA.
CASP9_mRNA is Class.
CASP9_mRNA SubClassOf UnprocessedmRNA.
CAT_mRNA is Class.
CAT_mRNA SubClassOf UnprocessedmRNA.
CAV1_mRNA is Class.
CAV1_mRNA SubClassOf UnprocessedmRNA.
CBS_mRNA is Class.
CBS_mRNA SubClassOf UnprocessedmRNA.
CCL2_mRNA is Class.
CCL2_mRNA SubClassOf UnprocessedmRNA.
CCNA_mRNA is Class.
CCNA_mRNA SubClassOf UnprocessedmRNA.
CCNB_mRNA is Class.
CCNB_mRNA SubClassOf UnprocessedmRNA.
CCND1_mRNA is Class.
CCND1_mRNA SubClassOf UnprocessedmRNA.
CCNE_mRNA is Class.
CCNE_mRNA SubClassOf UnprocessedmRNA.
CD93_mRNA is Class.
CD93_mRNA SubClassOf UnprocessedmRNA.
CDC42_mRNA is Class.
CDC42_mRNA SubClassOf UnprocessedmRNA.
CDK1_mRNA is Class.
CDK1_mRNA SubClassOf UnprocessedmRNA.
CDK4-6_mRNA is Class.
CDK4-6_mRNA SubClassOf UnprocessedmRNA.
CDK4_mRNA is Class.
CDK4_mRNA SubClassOf UnprocessedmRNA.
CDKN1A_mRNA is Class.
CDKN1A_mRNA SubClassOf UnprocessedmRNA.
CDKN2A_mRNA is Class.
CDKN2A_mRNA SubClassOf UnprocessedmRNA.
CDO_mRNA is Class.
CDO_mRNA SubClassOf UnprocessedmRNA.
CEX1_mRNA is Class.
CEX1_mRNA SubClassOf UnprocessedmRNA.
CHRFAM7A_mRNA is Class.
CHRFAM7A_mRNA SubClassOf UnprocessedmRNA.
CHRM1_mRNA is Class.
CHRM1_mRNA SubClassOf UnprocessedmRNA.
CHRM_mRNA is Class.
CHRM_mRNA SubClassOf UnprocessedmRNA.
CHRNA4_mRNA is Class.
CHRNA4_mRNA SubClassOf UnprocessedmRNA.
CHRNA_mRNA is Class.
CHRNA_mRNA SubClassOf UnprocessedmRNA.
CHRN_mRNA is Class.
CHRN_mRNA SubClassOf UnprocessedmRNA.
CIB1_mRNA is Class.
CIB1_mRNA SubClassOf UnprocessedmRNA.
CLU_mRNA is Class.
CLU_mRNA SubClassOf UnprocessedmRNA.
CN_mRNA is Class.
CN_mRNA SubClassOf UnprocessedmRNA.
COX2_mRNA is Class.
COX2_mRNA SubClassOf UnprocessedmRNA.
CREB_mRNA is Class.
CREB_mRNA SubClassOf UnprocessedmRNA.
CSAD_mRNA is Class.
CSAD_mRNA SubClassOf UnprocessedmRNA.
CSNK1A1_mRNA is Class.
CSNK1A1_mRNA SubClassOf UnprocessedmRNA.
CTH_mRNA is Class.
CTH_mRNA SubClassOf UnprocessedmRNA.
CTNNB1_mRNA is Class.
CTNNB1_mRNA SubClassOf UnprocessedmRNA.
CYC_mRNA is Class.
CYC_mRNA SubClassOf UnprocessedmRNA.
CYP19A1_mRNA is Class.
CYP19A1_mRNA SubClassOf UnprocessedmRNA.
CYP46A1_mRNA is Class.
CYP46A1_mRNA SubClassOf UnprocessedmRNA.
DAB1_mRNA is Class.
DAB1_mRNA SubClassOf UnprocessedmRNA.
DKK1_mRNA is Class.
DKK1_mRNA SubClassOf UnprocessedmRNA.
DMRT1_mRNA is Class.
DMRT1_mRNA SubClassOf UnprocessedmRNA.
DR6_mRNA is Class.
DR6_mRNA SubClassOf UnprocessedmRNA.
DVL_mRNA is Class.
DVL_mRNA SubClassOf UnprocessedmRNA.
Delta_mRNA is Class.
Delta_mRNA SubClassOf UnprocessedmRNA.
EDN1_mRNA is Class.
EDN1_mRNA SubClassOf UnprocessedmRNA.
EGFR_mRNA is Class.
EGFR_mRNA SubClassOf UnprocessedmRNA.
EGF_mRNA is Class.
EGF_mRNA SubClassOf UnprocessedmRNA.
EIF2AK3_mRNA is Class.
EIF2AK3_mRNA SubClassOf UnprocessedmRNA.
EIF2A_mRNA is Class.
EIF2A_mRNA SubClassOf UnprocessedmRNA.
EIF4EBP1_mRNA is Class.
EIF4EBP1_mRNA SubClassOf UnprocessedmRNA.
ENAH_mRNA is Class.
ENAH_mRNA SubClassOf UnprocessedmRNA.
ERN1_mRNA is Class.
ERN1_mRNA SubClassOf UnprocessedmRNA.
ESR1_mRNA is Class.
ESR1_mRNA SubClassOf UnprocessedmRNA.
Exendin4_mRNA is Class.
Exendin4_mRNA SubClassOf UnprocessedmRNA.
FADD_mRNA is Class.
FADD_mRNA SubClassOf UnprocessedmRNA.
FAS_mRNA is Class.
FAS_mRNA SubClassOf UnprocessedmRNA.
FDFT1_mRNA is Class.
FDFT1_mRNA SubClassOf UnprocessedmRNA.
FDPS_mRNA is Class.
FDPS_mRNA SubClassOf UnprocessedmRNA.
FKBP8_mRNA is Class.
FKBP8_mRNA SubClassOf UnprocessedmRNA.
FMR1_mRNA is Class.
FMR1_mRNA SubClassOf UnprocessedmRNA.
FNTA_mRNA is Class.
FNTA_mRNA SubClassOf UnprocessedmRNA.
FOXO1_mRNA is Class.
FOXO1_mRNA SubClassOf UnprocessedmRNA.
FPRL1_mRNA is Class.
FPRL1_mRNA SubClassOf UnprocessedmRNA.
FTH_mRNA is Class.
FTH_mRNA SubClassOf UnprocessedmRNA.
FYN_mRNA is Class.
FYN_mRNA SubClassOf UnprocessedmRNA.
GABARAPL2_mRNA is Class.
GABARAPL2_mRNA SubClassOf UnprocessedmRNA.
GABR_mRNA is Class.
GABR_mRNA SubClassOf UnprocessedmRNA.
GAPDH_mRNA is Class.
GAPDH_mRNA SubClassOf UnprocessedmRNA.
GAP_mRNA is Class.
GAP_mRNA SubClassOf UnprocessedmRNA.
GDF_mRNA is Class.
GDF_mRNA SubClassOf UnprocessedmRNA.
GDI_mRNA is Class.
GDI_mRNA SubClassOf UnprocessedmRNA.
GEF_mRNA is Class.
GEF_mRNA SubClassOf UnprocessedmRNA.
GFAT_mRNA is Class.
GFAT_mRNA SubClassOf UnprocessedmRNA.
GGPS1_mRNA is Class.
GGPS1_mRNA SubClassOf UnprocessedmRNA.
GGTI_mRNA is Class.
GGTI_mRNA SubClassOf UnprocessedmRNA.
GLP1_mRNA is Class.
GLP1_mRNA SubClassOf UnprocessedmRNA.
GLUT1_mRNA is Class.
GLUT1_mRNA SubClassOf UnprocessedmRNA.
GLUT3_mRNA is Class.
GLUT3_mRNA SubClassOf UnprocessedmRNA.
GLUT_mRNA is Class.
GLUT_mRNA SubClassOf UnprocessedmRNA.
GNAQ_mRNA is Class.
GNAQ_mRNA SubClassOf UnprocessedmRNA.
GNB2L1_mRNA is Class.
GNB2L1_mRNA SubClassOf UnprocessedmRNA.
GOT1_mRNA is Class.
GOT1_mRNA SubClassOf UnprocessedmRNA.
GOT2_mRNA is Class.
GOT2_mRNA SubClassOf UnprocessedmRNA.
GPCR_mRNA is Class.
GPCR_mRNA SubClassOf UnprocessedmRNA.
GPCRhomolog_mRNA is Class.
GPCRhomolog_mRNA SubClassOf UnprocessedmRNA.
GPX_mRNA is Class.
GPX_mRNA SubClassOf UnprocessedmRNA.
GRIA_mRNA is Class.
GRIA_mRNA SubClassOf UnprocessedmRNA.
GRI_mRNA is Class.
GRI_mRNA SubClassOf UnprocessedmRNA.
GRN_mRNA is Class.
GRN_mRNA SubClassOf UnprocessedmRNA.
GR_mRNA is Class.
GR_mRNA SubClassOf UnprocessedmRNA.
GSK3B_mRNA is Class.
GSK3B_mRNA SubClassOf UnprocessedmRNA.
GSK3Binhibitors_mRNA is Class.
GSK3Binhibitors_mRNA SubClassOf UnprocessedmRNA.
GSR_mRNA is Class.
GSR_mRNA SubClassOf UnprocessedmRNA.
GTPase_mRNA is Class.
GTPase_mRNA SubClassOf UnprocessedmRNA.
GUCY1_mRNA is Class.
GUCY1_mRNA SubClassOf UnprocessedmRNA.
GluR_mRNA is Class.
GluR_mRNA SubClassOf UnprocessedmRNA.
Glucosamine-6-phosphateAcetyltransferase_mRNA is Class.
Glucosamine-6-phosphateAcetyltransferase_mRNA SubClassOf UnprocessedmRNA.
GrowthFactor_mRNA is Class.
GrowthFactor_mRNA SubClassOf UnprocessedmRNA.
HAT1_mRNA is Class.
HAT1_mRNA SubClassOf UnprocessedmRNA.
HDAC_mRNA is Class.
HDAC_mRNA SubClassOf UnprocessedmRNA.
HIF_mRNA is Class.
HIF_mRNA SubClassOf UnprocessedmRNA.
HK_mRNA is Class.
HK_mRNA SubClassOf UnprocessedmRNA.
HMGB1_mRNA is Class.
HMGB1_mRNA SubClassOf UnprocessedmRNA.
HMGCRI_mRNA is Class.
HMGCRI_mRNA SubClassOf UnprocessedmRNA.
HMGCR_mRNA is Class.
HMGCR_mRNA SubClassOf UnprocessedmRNA.
HMGCS_mRNA is Class.
HMGCS_mRNA SubClassOf UnprocessedmRNA.
HRK_mRNA is Class.
HRK_mRNA SubClassOf UnprocessedmRNA.
HSD17B10_mRNA is Class.
HSD17B10_mRNA SubClassOf UnprocessedmRNA.
HSP60_mRNA is Class.
HSP60_mRNA SubClassOf UnprocessedmRNA.
HSPA5_mRNA is Class.
HSPA5_mRNA SubClassOf UnprocessedmRNA.
Hexokinase_mRNA is Class.
Hexokinase_mRNA SubClassOf UnprocessedmRNA.
ICAM1_mRNA is Class.
ICAM1_mRNA SubClassOf UnprocessedmRNA.
IDE_mRNA is Class.
IDE_mRNA SubClassOf UnprocessedmRNA.
IDI_mRNA is Class.
IDI_mRNA SubClassOf UnprocessedmRNA.
IFI44_mRNA is Class.
IFI44_mRNA SubClassOf UnprocessedmRNA.
IGF1R_mRNA is Class.
IGF1R_mRNA SubClassOf UnprocessedmRNA.
IGF1_mRNA is Class.
IGF1_mRNA SubClassOf UnprocessedmRNA.
IKBKB_mRNA is Class.
IKBKB_mRNA SubClassOf UnprocessedmRNA.
IKBK_mRNA is Class.
IKBK_mRNA SubClassOf UnprocessedmRNA.
IL1B_mRNA is Class.
IL1B_mRNA SubClassOf UnprocessedmRNA.
IL1_mRNA is Class.
IL1_mRNA SubClassOf UnprocessedmRNA.
IL4R_mRNA is Class.
IL4R_mRNA SubClassOf UnprocessedmRNA.
IL4_mRNA is Class.
IL4_mRNA SubClassOf UnprocessedmRNA.
IL6R_mRNA is Class.
IL6R_mRNA SubClassOf UnprocessedmRNA.
IL6_mRNA is Class.
IL6_mRNA SubClassOf UnprocessedmRNA.
INFG_mRNA is Class.
INFG_mRNA SubClassOf UnprocessedmRNA.
INPP5K_mRNA is Class.
INPP5K_mRNA SubClassOf UnprocessedmRNA.
INSR_mRNA is Class.
INSR_mRNA SubClassOf UnprocessedmRNA.
IPAF_mRNA is Class.
IPAF_mRNA SubClassOf UnprocessedmRNA.
IREB2_mRNA is Class.
IREB2_mRNA SubClassOf UnprocessedmRNA.
IRF_mRNA is Class.
IRF_mRNA SubClassOf UnprocessedmRNA.
IRS1_mRNA is Class.
IRS1_mRNA SubClassOf UnprocessedmRNA.
IRS2_mRNA is Class.
IRS2_mRNA SubClassOf UnprocessedmRNA.
IRS_mRNA is Class.
IRS_mRNA SubClassOf UnprocessedmRNA.
ITPR_mRNA is Class.
ITPR_mRNA SubClassOf UnprocessedmRNA.
Insulinreceptor_mRNA is Class.
Insulinreceptor_mRNA SubClassOf UnprocessedmRNA.
JAK2_mRNA is Class.
JAK2_mRNA SubClassOf UnprocessedmRNA.
JUN_mRNA is Class.
JUN_mRNA SubClassOf UnprocessedmRNA.
KAT5_mRNA is Class.
KAT5_mRNA SubClassOf UnprocessedmRNA.
KCNIP3_mRNA is Class.
KCNIP3_mRNA SubClassOf UnprocessedmRNA.
KCN_mRNA is Class.
KCN_mRNA SubClassOf UnprocessedmRNA.
KREMEN2_mRNA is Class.
KREMEN2_mRNA SubClassOf UnprocessedmRNA.
Kv3_4_mRNA is Class.
Kv3_4_mRNA SubClassOf UnprocessedmRNA.
LAG3_mRNA is Class.
LAG3_mRNA SubClassOf UnprocessedmRNA.
LCK_mRNA is Class.
LCK_mRNA SubClassOf UnprocessedmRNA.
LDLR_mRNA is Class.
LDLR_mRNA SubClassOf UnprocessedmRNA.
LGALS1_mRNA is Class.
LGALS1_mRNA SubClassOf UnprocessedmRNA.
LIN7_mRNA is Class.
LIN7_mRNA SubClassOf UnprocessedmRNA.
LIPC_mRNA is Class.
LIPC_mRNA SubClassOf UnprocessedmRNA.
LOX_mRNA is Class.
LOX_mRNA SubClassOf UnprocessedmRNA.
LPL_mRNA is Class.
LPL_mRNA SubClassOf UnprocessedmRNA.
LRP1_mRNA is Class.
LRP1_mRNA SubClassOf UnprocessedmRNA.
LRP5-6_mRNA is Class.
LRP5-6_mRNA SubClassOf UnprocessedmRNA.
LRP8_mRNA is Class.
LRP8_mRNA SubClassOf UnprocessedmRNA.
LRP_mRNA is Class.
LRP_mRNA SubClassOf UnprocessedmRNA.
MAP2K1_mRNA is Class.
MAP2K1_mRNA SubClassOf UnprocessedmRNA.
MAP2K3_mRNA is Class.
MAP2K3_mRNA SubClassOf UnprocessedmRNA.
MAP2K3_mRNA DisjointWith gene.
MAP2K4_mRNA is Class.
MAP2K4_mRNA SubClassOf UnprocessedmRNA.
MAP2K6_mRNA is Class.
MAP2K6_mRNA SubClassOf UnprocessedmRNA.
MAP2K7_mRNA is Class.
MAP2K7_mRNA SubClassOf UnprocessedmRNA.
MAP2K_mRNA is Class.
MAP2K_mRNA SubClassOf UnprocessedmRNA.
MAP3K9-10-11_mRNA is Class.
MAP3K9-10-11_mRNA SubClassOf UnprocessedmRNA.
MAP3K_mRNA is Class.
MAP3K_mRNA SubClassOf UnprocessedmRNA.
MAPK1-3_mRNA is Class.
MAPK1-3_mRNA SubClassOf UnprocessedmRNA.
MAPK11_mRNA is Class.
MAPK11_mRNA SubClassOf UnprocessedmRNA.
MAPK12_mRNA is Class.
MAPK12_mRNA SubClassOf UnprocessedmRNA.
MAPK13_mRNA is Class.
MAPK13_mRNA SubClassOf UnprocessedmRNA.
MAPK14_mRNA is Class.
MAPK14_mRNA SubClassOf UnprocessedmRNA.
MAPK8IP1_mRNA is Class.
MAPK8IP1_mRNA SubClassOf UnprocessedmRNA.
MAPK8_mRNA is Class.
MAPK8_mRNA SubClassOf UnprocessedmRNA.
MAPT_mRNA is Class.
MAPT_mRNA SubClassOf UnprocessedmRNA.
MARCO_mRNA is Class.
MARCO_mRNA SubClassOf UnprocessedmRNA.
MAT1A_mRNA is Class.
MAT1A_mRNA SubClassOf UnprocessedmRNA.
MIF_mRNA is Class.
MIF_mRNA SubClassOf UnprocessedmRNA.
MME_mRNA is Class.
MME_mRNA SubClassOf UnprocessedmRNA.
MMP2_mRNA is Class.
MMP2_mRNA SubClassOf UnprocessedmRNA.
MMP3_mRNA is Class.
MMP3_mRNA SubClassOf UnprocessedmRNA.
MMP_mRNA is Class.
MMP_mRNA SubClassOf UnprocessedmRNA.
MPM-2_mRNA is Class.
MPM-2_mRNA SubClassOf UnprocessedmRNA.
MPST_mRNA is Class.
MPST_mRNA SubClassOf UnprocessedmRNA.
MSRA_mRNA is Class.
MSRA_mRNA SubClassOf UnprocessedmRNA.
MSRB2_mRNA is Class.
MSRB2_mRNA SubClassOf UnprocessedmRNA.
MT-ND_mRNA is Class.
MT-ND_mRNA SubClassOf UnprocessedmRNA.
MTHFR_mRNA is Class.
MTHFR_mRNA SubClassOf UnprocessedmRNA.
MTOR_mRNA is Class.
MTOR_mRNA SubClassOf UnprocessedmRNA.
MVD_mRNA is Class.
MVD_mRNA SubClassOf UnprocessedmRNA.
MVK_mRNA is Class.
MVK_mRNA SubClassOf UnprocessedmRNA.
MY_mRNA is Class.
MY_mRNA SubClassOf UnprocessedmRNA.
NALP1_mRNA is Class.
NALP1_mRNA SubClassOf UnprocessedmRNA.
NALP3_mRNA is Class.
NALP3_mRNA SubClassOf UnprocessedmRNA.
NALP_mRNA is Class.
NALP_mRNA SubClassOf UnprocessedmRNA.
NCOR2_mRNA is Class.
NCOR2_mRNA SubClassOf UnprocessedmRNA.
NEDD8_mRNA is Class.
NEDD8_mRNA SubClassOf UnprocessedmRNA.
NF1_mRNA is Class.
NF1_mRNA SubClassOf UnprocessedmRNA.
NFAT_mRNA is Class.
NFAT_mRNA SubClassOf UnprocessedmRNA.
NFKB1_mRNA is Class.
NFKB1_mRNA SubClassOf UnprocessedmRNA.
NFKBI_mRNA is Class.
NFKBI_mRNA SubClassOf UnprocessedmRNA.
NFKBResponsivegenes_mRNA is Class.
NFKBResponsivegenes_mRNA SubClassOf UnprocessedmRNA.
NFKB_mRNA is Class.
NFKB_mRNA SubClassOf UnprocessedmRNA.
NGFR_mRNA is Class.
NGFR_mRNA SubClassOf UnprocessedmRNA.
NLRs_mRNA is Class.
NLRs_mRNA SubClassOf UnprocessedmRNA.
NMDAR_mRNA is Class.
NMDAR_mRNA SubClassOf UnprocessedmRNA.
NOD1_mRNA is Class.
NOD1_mRNA SubClassOf UnprocessedmRNA.
NOD2_mRNA is Class.
NOD2_mRNA SubClassOf UnprocessedmRNA.
NOS_mRNA is Class.
NOS_mRNA SubClassOf UnprocessedmRNA.
NPC_mRNA is Class.
NPC_mRNA SubClassOf UnprocessedmRNA.
NR1-NR2BR_mRNA is Class.
NR1-NR2BR_mRNA SubClassOf UnprocessedmRNA.
NR1H_mRNA is Class.
NR1H_mRNA SubClassOf UnprocessedmRNA.
NTF3_mRNA is Class.
NTF3_mRNA SubClassOf UnprocessedmRNA.
NTF4_mRNA is Class.
NTF4_mRNA SubClassOf UnprocessedmRNA.
NTRK1_mRNA is Class.
NTRK1_mRNA SubClassOf UnprocessedmRNA.
NTRK2_mRNA is Class.
NTRK2_mRNA SubClassOf UnprocessedmRNA.
NTRK3_mRNA is Class.
NTRK3_mRNA SubClassOf UnprocessedmRNA.
NUDT6_mRNA is Class.
NUDT6_mRNA SubClassOf UnprocessedmRNA.
O-acetylhomoserineaminocarboxypropyltransferase_mRNA is Class.
O-acetylhomoserineaminocarboxypropyltransferase_mRNA SubClassOf UnprocessedmRNA.
OGT_mRNA is Class.
OGT_mRNA SubClassOf UnprocessedmRNA.
ORAI1_mRNA is Class.
ORAI1_mRNA SubClassOf UnprocessedmRNA.
OSCinhibitor_mRNA is Class.
OSCinhibitor_mRNA SubClassOf UnprocessedmRNA.
OXCT1_mRNA is Class.
OXCT1_mRNA SubClassOf UnprocessedmRNA.
P2X7_mRNA is Class.
P2X7_mRNA SubClassOf UnprocessedmRNA.
PCBP1_mRNA is Class.
PCBP1_mRNA SubClassOf UnprocessedmRNA.
PCBP2_mRNA is Class.
PCBP2_mRNA SubClassOf UnprocessedmRNA.
PCSK1_mRNA is Class.
PCSK1_mRNA SubClassOf UnprocessedmRNA.
PDE5A_mRNA is Class.
PDE5A_mRNA SubClassOf UnprocessedmRNA.
PDH_mRNA is Class.
PDH_mRNA SubClassOf UnprocessedmRNA.
PDK1_mRNA is Class.
PDK1_mRNA SubClassOf UnprocessedmRNA.
PDK_mRNA is Class.
PDK_mRNA SubClassOf UnprocessedmRNA.
PDP_mRNA is Class.
PDP_mRNA SubClassOf UnprocessedmRNA.
PEBP1_mRNA is Class.
PEBP1_mRNA SubClassOf UnprocessedmRNA.
PFK_mRNA is Class.
PFK_mRNA SubClassOf UnprocessedmRNA.
PGGT1B_mRNA is Class.
PGGT1B_mRNA SubClassOf UnprocessedmRNA.
PGK_mRNA is Class.
PGK_mRNA SubClassOf UnprocessedmRNA.
PIK3_mRNA is Class.
PIK3_mRNA SubClassOf UnprocessedmRNA.
PKC_mRNA is Class.
PKC_mRNA SubClassOf UnprocessedmRNA.
PK_mRNA is Class.
PK_mRNA SubClassOf UnprocessedmRNA.
PLA2G1B_mRNA is Class.
PLA2G1B_mRNA SubClassOf UnprocessedmRNA.
PLA2G4A_mRNA is Class.
PLA2G4A_mRNA SubClassOf UnprocessedmRNA.
PLA2_mRNA is Class.
PLA2_mRNA SubClassOf UnprocessedmRNA.
PLAT_mRNA is Class.
PLAT_mRNA SubClassOf UnprocessedmRNA.
PLCB_mRNA is Class.
PLCB_mRNA SubClassOf UnprocessedmRNA.
PLCG_mRNA is Class.
PLCG_mRNA SubClassOf UnprocessedmRNA.
PLG_mRNA is Class.
PLG_mRNA SubClassOf UnprocessedmRNA.
PMVK_mRNA is Class.
PMVK_mRNA SubClassOf UnprocessedmRNA.
POLB_mRNA is Class.
POLB_mRNA SubClassOf UnprocessedmRNA.
PORC_mRNA is Class.
PORC_mRNA SubClassOf UnprocessedmRNA.
PP1_mRNA is Class.
PP1_mRNA SubClassOf UnprocessedmRNA.
PPARA_mRNA is Class.
PPARA_mRNA SubClassOf UnprocessedmRNA.
PPARG_mRNA is Class.
PPARG_mRNA SubClassOf UnprocessedmRNA.
PPARGligand_mRNA is Class.
PPARGligand_mRNA SubClassOf UnprocessedmRNA.
PPP2CA_mRNA is Class.
PPP2CA_mRNA SubClassOf UnprocessedmRNA.
PPP3_mRNA is Class.
PPP3_mRNA SubClassOf UnprocessedmRNA.
PRKAA2_mRNA is Class.
PRKAA2_mRNA SubClassOf UnprocessedmRNA.
PRKC_mRNA is Class.
PRKC_mRNA SubClassOf UnprocessedmRNA.
PRKG1_mRNA is Class.
PRKG1_mRNA SubClassOf UnprocessedmRNA.
PRNP_mRNA is Class.
PRNP_mRNA SubClassOf UnprocessedmRNA.
PSD95_mRNA is Class.
PSD95_mRNA SubClassOf UnprocessedmRNA.
PSEN_mRNA is Class.
PSEN_mRNA SubClassOf UnprocessedmRNA.
PSMD9_mRNA is Class.
PSMD9_mRNA SubClassOf UnprocessedmRNA.
